Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-04-04,23.5,23.75,21.75,22.13,4784900,2.46,0.0
1995-05-01,22.5,23.13,20.75,22.75,1007100,2.53,0.028455284552845406
1995-06-01,22.88,24.5,22.5,22.81,576800,2.54,0.0039525691699606735
1995-07-03,22.75,23.25,21.25,22.25,528100,2.48,-0.023622047244094557
1995-08-01,22.25,23.25,19.75,22.75,1037700,2.53,0.020161290322580516
1995-09-01,22.25,27.75,22.0,27.0,588200,3.01,0.18972332015810278
1995-10-02,26.0,27.75,25.25,27.25,696900,3.03,0.006644518272425293
1995-11-01,28.0,30.25,27.25,29.0,451300,3.23,0.06600660066006614
1995-12-01,29.0,34.25,29.0,33.0,425100,3.67,0.13622291021671828
1996-01-02,32.5,33.0,31.0,31.25,344900,3.48,-0.05177111716621252
1996-02-01,30.75,31.75,28.0,29.0,648300,3.23,-0.07183908045977017
1996-03-01,28.0,34.0,28.0,33.0,481100,3.67,0.13622291021671828
1996-04-01,32.5,37.5,32.5,36.0,273000,4.01,0.0926430517711172
1996-05-01,35.25,37.25,33.0,33.75,1408200,3.76,-0.06234413965087282
1996-06-03,33.63,36.5,31.63,33.25,702100,3.7,-0.015957446808510523
1996-07-01,33.0,34.88,27.88,34.38,664000,3.83,0.035135135135135
1996-08-01,34.13,38.63,33.88,38.13,418700,4.24,0.10704960835509136
1996-09-03,37.88,44.5,37.0,44.5,610900,4.95,0.1674528301886793
1996-10-01,44.5,45.75,40.13,42.38,370900,4.72,-0.04646464646464654
1996-11-01,42.13,42.25,37.63,39.38,399500,4.38,-0.07203389830508466
1996-12-02,39.38,48.25,39.38,48.25,315000,5.37,0.226027397260274
1997-01-02,48.0,50.25,42.5,49.0,448700,5.45,0.014897579143389184
1997-02-03,49.0,51.75,46.0,50.38,735400,5.61,0.029357798165137616
1997-03-03,50.38,53.0,43.75,43.75,578100,4.87,-0.13190730837789666
1997-04-01,43.88,46.5,43.38,44.63,620800,4.97,0.02053388090349073
1997-05-01,44.88,46.13,41.25,42.63,990700,4.74,-0.046277665995975714
1997-06-02,42.75,51.38,42.25,49.88,1089400,5.55,0.1708860759493669
1997-07-01,49.63,49.63,45.13,47.0,808700,5.23,-0.05765765765765751
1997-08-01,46.88,51.94,46.19,50.06,946300,5.57,0.06500956022944537
1997-09-02,50.06,65.25,50.06,58.44,1636300,6.5,0.16696588868940743
1997-10-01,58.44,62.5,55.25,59.5,991500,6.62,0.01846153846153853
1997-11-03,59.63,64.88,58.5,64.75,726400,7.21,0.08912386706948627
1997-12-01,64.75,66.31,52.0,58.25,742600,6.48,-0.10124826629680994
1998-01-02,58.25,59.44,53.63,56.63,1075000,6.3,-0.0277777777777779
1998-02-02,56.88,63.38,56.69,58.5,1235200,6.51,0.03333333333333344
1998-03-02,58.63,60.94,55.0,60.13,1085900,6.69,0.02764976958525356
1998-04-01,60.0,64.0,53.88,54.5,1357500,6.07,-0.09267563527653211
1998-05-01,54.38,56.0,50.38,54.38,1752700,6.05,-0.0032948929159802853
1998-06-01,54.5,70.0,51.63,65.69,1619400,7.31,0.20826446280991728
1998-07-01,66.25,80.75,63.0,76.13,3397600,8.47,0.15868673050615612
1998-08-03,54.5,57.25,46.63,47.06,3227300,5.24,-0.3813459268004723
1998-09-01,47.0,63.88,44.47,54.44,1412400,6.06,0.1564885496183206
1998-10-01,54.44,59.38,45.88,52.44,1280200,5.84,-0.0363036303630363
1998-11-02,52.69,65.5,52.63,64.0,1446400,7.12,0.2191780821917808
1998-12-01,64.06,65.25,59.5,65.0,483200,7.23,0.015449438202247201
1999-01-04,64.75,82.75,64.75,77.5,1140700,8.63,0.19363762102351312
1999-02-01,77.75,78.56,71.31,74.63,1918900,8.31,-0.037079953650058006
1999-03-01,74.63,76.88,33.75,34.19,797000,7.61,-0.08423586040914566
1999-04-01,34.0,34.0,24.0,27.69,1908200,6.16,-0.19053876478318
1999-05-03,27.88,31.81,27.88,29.56,982300,6.58,0.06818181818181812
1999-06-01,29.69,29.75,25.0,25.5,1037500,5.68,-0.13677811550151986
1999-07-01,25.56,29.25,23.62,28.0,1087300,6.23,0.096830985915493
1999-08-02,28.62,29.5,25.25,25.81,876800,5.75,-0.07704654895666141
1999-09-01,26.0,26.75,22.94,23.69,878500,5.27,-0.08347826086956533
1999-10-01,23.75,24.0,11.0,15.0,2984400,3.34,-0.36622390891840606
1999-11-01,15.12,15.12,11.75,12.38,2618900,2.75,-0.17664670658682635
1999-12-01,12.5,15.5,11.56,15.19,1330400,3.38,0.229090909090909
2000-01-03,15.5,23.81,14.0,18.12,1831000,4.03,0.1923076923076925
2000-02-01,19.75,20.19,13.75,14.56,2130300,3.24,-0.19602977667493793
2000-03-01,14.62,16.94,12.0,15.0,1410200,3.34,0.030864197530864113
2000-04-03,14.94,20.0,14.25,20.0,892900,4.45,0.3323353293413174
2000-05-01,20.0,26.0,17.62,24.25,1515400,5.4,0.2134831460674158
2000-06-01,24.5,32.38,24.12,31.02,1558900,6.9,0.2777777777777777
2000-07-03,31.19,36.25,29.0,34.94,1476300,7.78,0.12753623188405805
2000-08-01,34.94,38.5,33.5,35.12,1097000,7.82,0.005141388174807249
2000-09-01,34.94,48.0,31.94,47.0,1644300,10.46,0.3375959079283888
2000-10-02,47.5,49.5,39.69,43.44,2633500,9.67,-0.07552581261950297
2000-11-01,42.81,52.25,38.38,49.25,2142600,10.96,0.13340227507755964
2000-12-01,49.0,53.69,40.06,50.5,3568900,11.24,0.025547445255474477
2001-01-02,50.25,53.31,40.12,47.83,2826900,10.65,-0.052491103202847
2001-02-01,48.4,57.3,46.26,53.72,1976400,11.96,0.12300469483568088
2001-03-01,54.1,57.97,42.0,49.05,3944100,10.92,-0.08695652173913049
2001-04-02,49.3,55.4,47.15,54.0,2855300,12.02,0.1007326007326006
2001-05-01,53.8,58.45,50.0,57.71,2992400,12.85,0.06905158069883521
2001-06-01,57.77,62.5,55.0,55.35,3521000,12.32,-0.04124513618677039
2001-07-02,55.3,60.25,52.12,58.14,3084400,12.94,0.05032467532467533
2001-08-01,58.35,66.5,54.86,64.44,6045100,14.35,0.10896445131375576
2001-09-04,64.3,71.59,62.25,70.95,6536600,15.79,0.10034843205574906
2001-10-01,71.18,72.0,62.99,63.56,4890200,14.15,-0.10386320455984799
2001-11-01,64.5,64.5,53.85,59.5,7571500,13.25,-0.06360424028268552
2001-12-03,60.0,64.2,56.37,63.55,4344600,14.15,0.06792452830188678
2002-01-02,63.55,65.2,56.62,64.73,5257800,14.42,0.0190812720848057
2002-02-04,63.68,67.89,61.35,67.7,3907000,15.08,0.04576976421636614
2002-03-01,67.71,70.92,64.6,68.3,4068200,15.22,0.009283819628647327
2002-04-01,68.31,79.7,65.0,77.5,5040900,17.27,0.13469119579500655
2002-05-01,76.95,79.5,73.59,77.09,3671400,17.18,-0.005211349160393786
2002-06-03,77.09,82.85,74.39,76.0,4664100,16.94,-0.013969732246798539
2002-07-01,75.1,75.35,56.24,66.99,8482800,14.93,-0.11865407319952781
2002-08-01,67.0,74.2,61.83,72.51,3495200,16.17,0.08305425318151394
2002-09-03,72.52,73.8,67.1,71.42,4712100,15.92,-0.01546072974644419
2002-10-01,71.67,76.95,69.75,71.15,4813500,15.86,-0.0037688442211055717
2002-11-01,71.15,73.45,56.0,58.02,10245500,12.94,-0.18411097099621687
2002-12-02,59.2,63.8,50.2,54.31,9323700,12.11,-0.06414219474497684
2003-01-02,55.25,59.71,52.6,58.2,7324100,12.98,0.07184145334434366
2003-02-03,58.34,58.5,51.65,55.0,6155400,12.27,-0.054699537750385274
2003-03-03,55.0,55.48,45.65,52.5,7071200,11.71,-0.04563977180114087
2003-04-01,52.45,58.28,49.66,57.85,6732900,12.91,0.10247651579846284
2003-05-01,57.86,62.69,56.0,62.69,6253700,13.99,0.08365608055770712
2003-06-02,62.8,71.5,62.25,69.35,6194300,15.48,0.10650464617583988
2003-07-01,69.25,73.44,61.74,63.09,6474800,14.08,-0.09043927648578809
2003-08-01,63.09,63.69,56.2,58.21,5265900,13.0,-0.07670454545454541
2003-09-02,58.75,59.28,52.85,54.05,9747800,12.07,-0.07153846153846155
2003-10-01,54.3,58.9,53.05,56.77,5660200,12.68,0.0505385252692625
2003-11-03,56.78,65.68,55.76,63.29,6424400,14.14,0.11514195583596232
2003-12-01,63.54,66.37,55.71,57.33,6682200,12.81,-0.09405940594059403
2004-01-02,53.75,58.0,52.85,55.05,10075400,12.3,-0.03981264637002335
2004-02-02,55.16,58.49,54.85,58.03,4745400,12.97,0.05447154471544713
2004-03-01,58.2,59.45,51.75,54.68,5012600,12.22,-0.05782575173477256
2004-04-01,54.67,59.4,53.51,57.89,4696000,12.94,0.05891980360065463
2004-05-03,58.04,61.93,57.38,59.98,5070500,13.41,0.036321483771251994
2004-06-01,59.99,61.93,58.11,59.78,3404800,13.37,-0.002982848620432632
2004-07-01,56.55,56.55,52.13,54.06,6127600,12.09,-0.09573672400897526
2004-08-02,54.06,54.62,49.74,54.1,4700100,12.1,0.0008271298593878207
2004-09-01,54.21,56.8,52.81,53.71,5494500,12.02,-0.006611570247933907
2004-10-01,53.98,55.86,50.23,55.04,7321000,12.31,0.024126455906821942
2004-11-01,55.04,59.49,54.46,58.94,5938500,13.19,0.07148659626320053
2004-12-01,59.19,64.02,56.24,58.68,7220400,13.13,-0.004548900682335044
2005-01-03,58.68,58.95,55.9,58.28,5690900,13.04,-0.006854531607006997
2005-02-01,58.18,61.9,58.05,59.9,5561900,13.41,0.02837423312883436
2005-03-01,60.03,63.4,52.95,57.29,5785300,12.83,-0.04325130499627139
2005-04-01,57.15,61.8,56.04,61.28,7494400,13.72,0.0693686671862821
2005-05-02,61.17,66.7,60.82,64.57,4436400,14.46,0.05393586005830908
2005-06-01,64.7,69.46,63.89,69.15,4550200,15.49,0.07123098201936373
2005-07-01,69.49,72.3,68.55,71.79,4613200,16.08,0.038089089735313
2005-08-01,71.79,75.16,69.96,74.67,2935100,16.73,0.040422885572139355
2005-09-01,74.55,79.05,73.5,77.3,3769800,17.32,0.03526598924088464
2005-10-03,77.5,78.6,73.32,76.27,4356800,17.09,-0.013279445727482742
