Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-02-27,18.0,18.5,17.88,17.88,1379700,8.94,0.0
1995-03-01,17.88,23.5,17.88,20.88,163700,10.44,0.16778523489932895
1995-04-03,21.0,21.12,18.75,20.62,47700,10.31,-0.01245210727969337
1995-05-01,20.37,22.38,19.25,21.5,47800,10.75,0.04267701260911738
1995-06-01,21.75,26.75,21.0,25.75,75500,12.88,0.19813953488372094
1995-07-03,25.88,28.0,25.0,27.5,35200,13.75,0.06754658385093171
1995-08-01,27.5,27.75,23.5,24.5,213700,12.25,-0.10909090909090913
1995-09-01,24.5,26.75,24.25,26.75,67100,13.37,0.09142857142857141
1995-10-02,26.75,26.75,25.0,26.0,94200,13.0,-0.027673896783844354
1995-11-01,26.0,29.88,25.75,27.25,58500,13.63,0.048461538461538556
1995-12-01,27.25,33.75,27.25,33.75,66100,16.88,0.23844460748349205
1996-01-02,32.75,37.0,32.75,34.62,106700,17.31,0.02547393364928907
1996-02-01,35.0,36.25,32.75,35.25,199700,17.62,0.01790872328134041
1996-03-01,35.75,41.25,34.25,40.75,106000,20.38,0.1566401816118046
1996-04-01,39.75,57.25,39.75,53.5,213200,26.75,0.3125613346418057
1996-05-01,53.75,58.5,47.75,56.25,147800,28.12,0.051214953271027985
1996-06-03,55.75,68.0,55.5,67.0,330500,33.5,0.19132290184921752
1996-07-01,67.25,72.25,24.75,31.5,113600,31.5,-0.05970149253731338
1996-08-01,31.5,32.0,28.25,30.5,76800,30.5,-0.031746031746031744
1996-09-03,30.5,45.75,29.5,42.25,127000,42.25,0.38524590163934436
1996-10-01,42.75,45.25,36.75,41.5,86700,41.5,-0.017751479289940808
1996-11-01,40.5,40.5,33.25,36.25,128200,36.25,-0.12650602409638556
1996-12-02,37.25,37.75,32.25,33.25,72600,33.25,-0.08275862068965523
1997-01-02,33.25,35.5,25.5,26.62,174100,26.62,-0.19939849624060146
1997-02-03,26.75,31.0,25.0,26.0,158200,26.0,-0.023290758827948954
1997-03-03,25.88,29.0,24.0,27.5,118300,27.5,0.05769230769230771
1997-04-01,26.5,30.88,23.0,30.0,165600,30.0,0.09090909090909083
1997-05-01,29.5,42.75,28.75,42.0,188500,42.0,0.3999999999999999
1997-06-02,41.25,43.0,34.12,34.5,132700,34.5,-0.1785714285714286
1997-07-01,34.63,39.88,31.25,37.0,260100,37.0,0.07246376811594213
1997-08-01,36.94,37.63,31.25,34.63,259900,34.63,-0.06405405405405395
1997-09-02,34.75,40.88,34.75,40.63,188200,40.63,0.17326017903551838
1997-10-01,40.88,45.0,37.63,39.13,255100,39.13,-0.036918533103618034
1997-11-03,39.0,40.12,38.0,38.78,166100,38.78,-0.008944543828264817
1997-12-01,39.0,39.88,36.13,38.0,152800,38.0,-0.020113460546673623
1998-01-02,38.19,41.0,34.0,40.5,154300,40.5,0.06578947368421062
1998-02-02,40.75,43.5,40.25,43.5,165600,43.5,0.07407407407407418
1998-03-02,43.25,43.5,38.0,38.87,196600,38.87,-0.10643678160919545
1998-04-01,39.13,43.0,37.25,42.0,230500,42.0,0.08052482634422442
1998-05-01,41.87,42.5,38.0,40.5,104400,40.5,-0.0357142857142857
1998-06-01,40.12,41.56,36.75,38.5,131700,38.5,-0.04938271604938271
1998-07-01,38.69,40.63,33.13,38.62,340600,38.62,0.0031168831168830735
1998-08-03,38.5,38.75,32.47,33.13,169200,33.13,-0.14215432418436036
1998-09-01,33.5,36.62,32.56,35.5,207000,35.5,0.07153637186839723
1998-10-01,35.5,36.25,27.06,36.09,428700,36.09,0.01661971830985931
1998-11-02,36.25,39.81,35.87,38.0,233900,38.0,0.05292324743696297
1998-12-01,37.75,50.5,37.12,50.0,162200,50.0,0.3157894736842106
1999-01-04,49.88,51.0,44.0,47.62,182300,47.62,-0.04760000000000009
1999-02-01,47.75,48.25,38.87,39.31,336600,39.31,-0.17450650986980254
1999-03-01,39.38,40.88,35.0,36.0,338700,36.0,-0.0842024930043247
1999-04-01,36.13,40.25,26.0,32.44,679800,32.44,-0.09888888888888892
1999-05-03,32.5,34.25,30.38,31.88,398000,31.88,-0.01726263871763256
1999-06-01,31.88,40.75,31.88,39.0,512000,39.0,0.22333751568381444
1999-07-01,38.75,40.37,30.5,30.62,593200,30.62,-0.21487179487179486
1999-08-02,30.56,33.94,27.0,29.44,470400,29.44,-0.03853690398432397
1999-09-01,29.81,31.25,24.19,26.94,582000,26.94,-0.08491847826086951
1999-10-01,26.19,33.13,24.75,30.75,730900,30.75,0.14142538975501107
1999-11-01,30.47,37.0,30.31,34.94,542700,34.94,0.136260162601626
1999-12-01,34.72,36.62,20.25,28.0,919200,28.0,-0.19862621637092148
2000-01-03,28.0,29.87,20.5,21.5,1107400,21.5,-0.2321428571428571
2000-02-01,21.31,48.13,20.25,45.13,1965000,45.13,1.0990697674418608
2000-03-01,45.75,47.0,25.81,28.88,757000,28.88,-0.3600709062707734
2000-04-03,28.97,29.94,12.75,16.31,1491000,16.31,-0.4352493074792244
2000-05-01,17.19,18.25,11.38,12.13,644100,12.13,-0.2562844880441446
2000-06-01,12.25,18.31,12.19,17.12,367300,17.12,0.4113767518549052
2000-07-03,17.0,22.31,15.38,17.69,311400,17.69,0.03329439252336441
2000-08-01,17.44,19.5,17.25,18.38,153200,18.38,0.039005087620124224
2000-09-01,18.44,19.25,14.25,16.25,275800,16.25,-0.11588683351468987
2000-10-02,16.25,16.88,11.19,13.5,212500,13.5,-0.16923076923076918
2000-11-01,13.5,17.12,12.75,13.88,239900,13.88,0.028148148148148255
2000-12-01,13.78,16.12,10.75,11.56,290800,11.56,-0.16714697406340062
2001-01-02,11.56,14.06,11.06,11.44,301200,11.44,-0.01038062283737029
2001-02-01,11.14,12.25,9.0,9.38,217300,9.38,-0.18006993006993
2001-03-01,9.25,9.5,6.25,7.16,247100,7.16,-0.2366737739872069
2001-04-02,7.0,8.85,5.69,8.44,273600,8.44,0.1787709497206702
2001-05-01,8.43,15.1,8.35,11.5,294300,11.5,0.36255924170616116
2001-06-01,11.36,15.5,10.24,14.25,173500,14.25,0.23913043478260865
2001-07-02,12.61,13.03,9.25,11.2,197200,11.2,-0.21403508771929824
2001-08-01,11.39,11.57,10.0,11.21,194700,11.21,0.0008928571428572507
2001-09-04,11.25,11.78,5.9,6.28,147700,6.28,-0.43978590544157004
2001-10-01,6.77,11.2,5.81,9.72,187000,9.72,0.5477707006369428
2001-11-01,9.9,12.45,9.79,12.42,257100,12.42,0.2777777777777777
2001-12-03,12.45,14.1,11.65,12.26,241400,12.26,-0.012882447665056418
2002-01-02,12.15,12.5,9.76,10.74,210900,10.74,-0.12398042414355626
2002-02-04,10.06,10.31,9.35,9.95,161000,9.95,-0.07355679702048423
2002-03-01,10.05,11.4,9.23,11.4,302200,11.4,0.14572864321608048
2002-04-01,11.46,12.77,10.38,11.6,136700,11.6,0.01754385964912264
2002-05-01,11.1,11.56,10.01,11.05,172800,11.05,-0.047413793103448176
2002-06-03,11.05,12.22,10.15,11.76,198800,11.76,0.06425339366515836
2002-07-01,11.43,12.3,8.33,9.01,162200,9.01,-0.233843537414966
2002-08-01,9.01,10.81,6.02,8.6,256300,8.6,-0.0455049944506104
2002-09-03,8.09,8.5,6.0,6.2,127700,6.2,-0.2790697674418604
2002-10-01,6.21,7.48,4.81,7.46,85400,7.46,0.2032258064516128
2002-11-01,7.2,10.8,6.5,7.2,216100,7.2,-0.034852546916890104
2002-12-02,7.1,7.83,5.9,6.5,160200,6.5,-0.09722222222222221
2003-01-02,6.6,7.3,6.25,6.75,204500,6.75,0.03846153846153855
2003-02-03,6.75,6.97,4.26,5.71,233500,5.71,-0.15407407407407403
