Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-03-03,1.4,1.5,1.2,1.31,384500,13.15,0.0
2010-04-01,1.3,1.48,1.29,1.37,1025500,13.7,0.041825095057034245
2010-05-03,1.37,1.54,1.24,1.35,132700,13.5,-0.014598540145985384
2010-06-01,1.34,1.43,1.24,1.27,72600,12.7,-0.059259259259259345
2010-07-01,1.27,1.31,1.12,1.19,50800,11.9,-0.06299212598425186
2010-08-02,1.18,1.36,1.1,1.1,26200,11.0,-0.0756302521008404
2010-09-01,1.1,1.17,1.09,1.1,15800,11.0,0.0
2010-10-01,1.11,1.26,1.01,1.24,90100,12.4,0.1272727272727272
2010-11-01,1.23,13.0,1.22,11.6,127800,11.6,-0.06451612903225812
2010-12-01,11.65,16.05,11.65,15.88,252200,15.88,0.3689655172413795
2011-01-03,16.18,16.34,13.91,14.96,583900,14.96,-0.057934508816120944
2011-02-01,15.01,16.0,13.4,13.99,383900,13.99,-0.06483957219251346
2011-03-01,13.95,14.29,12.74,13.89,288300,13.89,-0.0071479628305932685
2011-04-01,13.91,14.4,12.98,13.85,214400,13.85,-0.0028797696184306165
2011-05-02,13.9,13.9,12.69,13.1,401200,13.1,-0.054151624548736454
2011-06-01,13.11,13.4,11.81,12.63,803200,12.63,-0.03587786259541981
2011-07-01,12.62,13.13,11.25,11.45,524100,11.45,-0.09342834520981802
2011-08-01,11.6,11.64,6.8,8.43,650700,8.43,-0.2637554585152838
2011-09-01,8.69,9.36,5.01,5.12,936900,5.12,-0.39264531435349936
2011-10-03,5.07,6.91,4.35,6.32,585600,6.32,0.234375
2011-11-01,5.95,7.25,5.55,6.11,613700,6.11,-0.03322784810126578
2011-12-01,6.07,7.21,5.84,7.12,363000,7.12,0.16530278232405893
2012-01-03,7.31,7.63,6.9,7.49,360700,7.49,0.05196629213483139
2012-02-01,7.61,9.14,7.55,7.95,382400,7.95,0.06141522029372504
2012-03-01,7.95,9.14,7.35,8.69,373100,8.69,0.09308176100628929
2012-04-02,8.69,9.03,6.68,7.25,325300,7.25,-0.16570771001150741
2012-05-01,7.22,7.4,5.39,5.92,278200,5.92,-0.18344827586206902
2012-06-01,5.8,6.25,5.5,6.0,287700,6.0,0.013513513513513598
2012-07-02,6.05,6.24,4.49,5.19,353600,5.19,-0.1349999999999999
2012-08-01,5.23,6.24,4.95,5.02,205700,5.02,-0.032755298651252596
2012-09-04,5.0,5.45,4.55,4.66,345600,4.66,-0.0717131474103585
2012-10-01,4.69,4.92,2.55,2.67,597400,2.67,-0.42703862660944214
2012-11-01,2.67,3.07,2.21,3.07,703500,3.07,0.14981273408239693
2012-12-03,3.11,3.39,2.76,3.21,317000,3.21,0.0456026058631922
2013-01-02,3.3,3.92,3.12,3.76,174600,3.76,0.17133956386292826
2013-02-01,3.78,4.45,3.56,4.05,276300,4.05,0.0771276595744681
2013-03-01,4.01,5.74,4.01,5.39,474000,5.39,0.33086419753086416
2013-04-01,5.37,5.4,4.26,5.14,243600,5.14,-0.04638218923933213
2013-05-01,5.12,5.83,5.05,5.12,242500,5.12,-0.0038910505836574627
2013-06-03,5.13,5.36,4.75,5.06,363800,5.06,-0.011718750000000111
2013-07-01,5.13,6.88,5.07,5.72,322300,5.72,0.1304347826086958
2013-08-01,5.74,6.09,4.8,5.24,319800,5.24,-0.08391608391608385
2013-09-03,5.33,5.6,5.07,5.14,224100,5.14,-0.019083969465648942
2013-10-01,5.15,5.33,4.35,4.5,216700,4.5,-0.12451361867704269
2013-11-01,4.44,4.44,3.1,3.22,1299200,3.22,-0.2844444444444444
