Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-08-10,22.0,29.0,20.62,27.25,1196900,5.62,0.0
1994-09-01,26.75,35.25,26.5,33.63,342500,6.93,0.23309608540925253
1994-10-03,33.5,36.5,29.0,36.5,346700,7.52,0.08513708513708518
1994-11-01,36.5,39.0,33.25,38.75,287500,7.99,0.0625
1994-12-01,39.0,46.75,35.25,45.75,219700,9.43,0.18022528160200246
1995-01-03,45.25,53.0,40.0,52.0,363600,10.72,0.1367974549310711
1995-02-01,51.75,55.25,49.5,53.25,252800,10.98,0.02425373134328357
1995-03-01,53.25,60.75,50.25,55.75,163800,11.49,0.04644808743169393
1995-04-03,54.75,69.5,53.75,66.12,283100,13.63,0.18624891209747618
1995-05-01,65.75,66.25,30.5,33.5,250400,13.81,0.013206162876008731
1995-06-01,34.25,37.75,30.75,33.5,392500,13.81,0.0
1995-07-03,33.5,38.25,32.75,36.75,378900,15.15,0.09703113685734976
1995-08-01,36.75,36.75,30.0,31.25,257400,12.88,-0.14983498349834978
1995-09-01,30.75,35.25,30.5,34.75,306400,14.33,0.11257763975155277
1995-10-02,34.75,44.25,33.25,44.25,287800,18.25,0.27355198883461274
1995-11-01,43.75,51.5,42.75,49.0,412200,20.2,0.10684931506849304
1995-12-01,49.25,55.5,44.0,54.31,326300,22.39,0.10841584158415851
1996-01-02,54.0,54.75,25.5,27.5,795800,11.34,-0.4935238945958017
1996-02-01,27.5,43.75,27.0,43.25,636100,17.83,0.5723104056437389
1996-03-01,43.5,47.25,40.0,45.75,333700,18.86,0.05776780706674156
1996-04-01,46.25,60.88,45.0,53.0,820500,21.85,0.1585365853658538
1996-05-01,53.75,70.5,52.0,69.12,581200,28.5,0.30434782608695654
1996-06-03,68.0,73.5,62.25,70.87,576400,29.22,0.025263157894736876
1996-07-01,71.0,75.25,52.75,60.75,889500,25.05,-0.1427104722792607
1996-08-01,60.75,70.25,57.5,63.0,396700,25.98,0.037125748502994105
1996-09-03,61.25,64.75,47.5,50.25,912000,20.72,-0.2024634334103157
1996-10-01,50.25,51.25,34.25,36.5,1266200,15.05,-0.2736486486486486
1996-11-01,36.5,45.75,33.5,44.63,691800,18.4,0.22259136212624564
1996-12-02,44.0,52.25,41.25,41.5,544800,17.11,-0.07010869565217392
1997-01-02,41.75,53.25,41.13,42.75,843500,17.63,0.030391583869082472
1997-02-03,42.5,43.5,34.5,35.63,754400,14.69,-0.16676120249574589
1997-03-03,35.75,37.0,20.87,25.0,1353900,10.31,-0.29816201497617423
1997-04-01,24.75,31.0,20.87,29.62,1146100,12.21,0.18428709990300685
1997-05-01,29.87,35.63,25.75,26.75,1458400,11.03,-0.09664209664209678
1997-06-02,26.75,27.0,21.62,24.75,1319700,10.2,-0.07524932003626472
1997-07-01,24.75,34.44,23.0,31.0,1493500,12.78,0.2529411764705882
1997-08-01,30.75,44.0,29.25,39.0,1746900,16.08,0.2582159624413145
1997-09-02,39.0,43.88,38.25,42.19,834600,17.4,0.0820895522388061
1997-10-01,42.0,45.5,30.37,36.0,976100,14.84,-0.14712643678160908
1997-11-03,36.13,39.13,33.88,35.88,474000,14.79,-0.003369272237196852
1997-12-01,36.63,37.75,26.0,27.5,656100,11.34,-0.23326572008113589
1998-01-02,27.62,32.38,24.0,29.25,849500,12.06,0.06349206349206349
1998-02-02,29.87,34.75,29.12,29.87,610300,12.32,0.021558872305140975
1998-03-02,30.25,32.0,26.5,29.69,688000,12.24,-0.006493506493506551
1998-04-01,29.75,29.75,25.75,26.56,659700,10.95,-0.10539215686274517
1998-05-01,26.62,28.87,24.12,24.31,357900,10.02,-0.08493150684931505
1998-06-01,24.37,28.5,19.62,26.12,910600,10.77,0.0748502994011977
1998-07-01,26.12,26.87,22.87,25.37,463400,10.46,-0.02878365831012064
1998-08-03,25.25,29.12,21.37,21.5,546600,8.86,-0.15296367112810716
1998-09-01,21.62,24.25,20.37,21.25,407600,8.76,-0.011286681715575564
1998-10-01,20.5,26.12,15.63,25.34,656200,10.45,0.19292237442922366
1998-11-02,25.0,28.87,24.5,24.56,341100,10.13,-0.030622009569377884
1998-12-01,24.0,25.0,16.5,18.31,580300,7.55,-0.2546890424481738
1999-01-04,18.75,23.94,18.12,21.62,460800,8.91,0.1801324503311259
1999-02-01,21.62,25.5,19.87,20.5,337200,8.45,-0.05162738496071839
1999-03-01,20.37,21.0,15.75,16.44,443800,6.78,-0.19763313609467448
1999-04-01,16.5,22.87,16.0,17.37,393600,7.16,0.05604719764011801
1999-05-03,17.12,25.87,16.62,25.75,742800,10.62,0.483240223463687
1999-06-01,25.5,36.88,25.25,36.38,1025400,15.0,0.41242937853107353
1999-07-01,36.44,38.88,33.0,37.81,832100,15.59,0.03933333333333322
1999-08-02,37.81,42.69,37.06,38.13,923000,15.72,0.00833867864015403
1999-09-01,38.0,40.5,36.5,38.31,410200,15.8,0.0050890585241729624
1999-10-01,38.5,40.25,34.75,37.13,683600,15.31,-0.031012658227848156
1999-11-01,37.38,42.5,33.38,39.0,649000,16.08,0.05029392553886325
1999-12-01,39.13,55.5,37.31,51.44,647100,21.21,0.3190298507462688
2000-01-03,52.38,71.5,49.06,64.75,845800,26.7,0.2588401697312588
2000-02-01,65.0,75.87,63.5,73.56,716200,30.33,0.13595505617977532
2000-03-01,73.75,80.5,56.77,59.44,577300,24.51,-0.19188921859544994
2000-04-03,58.94,71.25,44.0,67.56,472800,27.86,0.13667890656874726
2000-05-01,67.5,73.0,55.5,61.63,423700,25.41,-0.0879396984924623
2000-06-01,62.81,69.62,54.5,59.88,952700,24.69,-0.02833530106257376
2000-07-03,60.0,73.25,56.63,60.19,719900,24.82,0.0052652895909275355
2000-08-01,61.13,64.75,49.13,53.56,748900,22.08,-0.11039484286865442
2000-09-01,53.31,56.88,41.13,42.55,606000,17.54,-0.20561594202898548
2000-10-02,43.97,48.19,33.25,38.0,779900,15.67,-0.10661345496009123
2000-11-01,37.94,46.94,33.25,34.94,547500,14.41,-0.08040842373962986
2000-12-01,35.63,36.69,16.56,21.25,1726600,8.76,-0.39208882720333105
2001-01-02,21.81,29.5,19.87,28.12,926900,11.59,0.3230593607305936
2001-02-01,28.0,28.25,22.56,23.81,657400,9.82,-0.15271786022433131
2001-03-01,22.75,28.06,22.75,24.56,806800,10.13,0.031568228105906426
2001-04-02,23.69,29.0,19.12,27.35,893500,11.28,0.1135241855873641
2001-05-01,27.39,30.65,24.64,25.45,464400,10.49,-0.0700354609929077
2001-06-01,25.35,27.25,18.0,20.5,791000,8.45,-0.19447092469018123
2001-07-02,20.61,25.9,17.85,23.25,801900,9.59,0.13491124260355036
2001-08-01,23.99,24.99,22.26,23.15,341200,9.55,-0.004171011470281427
2001-09-04,22.99,23.22,18.21,19.1,718800,7.88,-0.17486910994764404
2001-10-01,18.96,25.11,18.0,23.2,407900,9.57,0.21446700507614214
2001-11-01,23.26,28.25,22.47,26.11,342200,10.77,0.12539184952978055
2001-12-03,26.11,29.05,25.0,25.52,465200,10.52,-0.0232126276694522
2002-01-02,25.6,29.75,24.6,26.88,483000,11.08,0.05323193916349811
2002-02-01,26.9,27.04,23.4,24.1,403000,9.94,-0.1028880866425993
2002-03-01,24.5,28.5,23.4,24.14,349000,9.95,0.001006036217303885
2002-04-01,24.03,27.29,22.46,24.86,369600,10.25,0.03015075376884435
2002-05-01,24.85,25.73,21.7,23.69,294100,9.77,-0.04682926829268297
2002-06-03,23.49,24.11,18.22,18.99,734800,7.83,-0.1985670419651996
2002-07-01,19.5,20.03,16.39,18.75,553100,7.73,-0.012771392081736832
2002-08-01,18.66,20.75,17.34,17.39,357900,7.17,-0.07244501940491599
2002-09-03,17.35,19.22,14.9,15.6,590500,6.43,-0.10320781032078108
2002-10-01,15.66,25.93,14.92,25.39,1540800,10.47,0.6283048211508555
2002-11-01,25.2,33.75,25.07,33.2,1003500,13.69,0.30754536771728747
2002-12-02,33.45,34.34,30.4,32.9,868700,13.57,-0.008765522279035709
2003-01-02,32.86,41.28,32.14,33.62,2238800,13.86,0.021370670596904784
2003-02-03,33.69,36.87,30.46,32.19,1704400,13.27,-0.04256854256854259
2003-03-03,32.25,38.14,28.8,35.91,1574600,14.81,0.11605124340617934
2003-04-01,36.2,41.21,35.25,40.48,1719100,16.69,0.12694125590817018
2003-05-01,40.4,49.55,39.95,48.3,2443500,19.91,0.1929298981426002
2003-06-02,48.46,56.25,47.83,51.62,1962900,21.28,0.06880964339527873
2003-07-01,51.5,62.15,46.73,48.84,2993600,21.03,-0.011748120300751896
2003-08-01,48.7,56.17,44.72,54.84,1382900,23.62,0.12315739419876359
2003-09-02,54.91,70.69,54.87,61.31,2485900,26.41,0.11812023708721409
2003-10-01,61.26,75.46,59.3,68.04,2481400,29.37,0.1120787580461946
2003-11-03,67.91,73.1,61.9,65.82,2072300,28.41,-0.03268641470888667
2003-12-01,65.52,70.8,30.4,31.1,1276100,26.85,-0.05491024287222801
2004-01-02,31.28,38.0,31.05,34.42,1553000,29.78,0.10912476722532594
2004-02-02,34.53,35.57,29.26,32.59,1237800,28.2,-0.05305574210879793
2004-03-01,32.7,35.32,28.06,30.03,1297900,25.98,-0.0787234042553191
2004-04-01,30.2,31.9,24.37,24.52,1842200,21.28,-0.18090839107005385
2004-05-03,24.66,29.24,24.37,28.55,1126300,24.78,0.16447368421052633
2004-06-01,28.4,33.61,27.23,33.37,1079100,28.97,0.1690879741727198
2004-07-01,33.44,33.54,24.55,26.71,1655300,23.26,-0.19710044874007582
2004-08-02,26.5,27.08,22.74,26.78,725500,23.32,0.002579535683576939
2004-09-01,26.87,27.16,21.8,22.68,805400,19.75,-0.1530874785591767
2004-10-01,22.85,24.4,19.85,21.6,1576800,18.88,-0.04405063291139244
2004-11-01,21.61,23.9,20.59,22.41,852900,19.58,0.037076271186440746
2004-12-01,22.5,24.39,18.06,19.14,1506600,16.73,-0.14555669050051068
2005-01-03,19.19,19.37,15.75,17.91,1798200,15.65,-0.06455469216975496
2005-02-01,17.9,19.07,17.26,18.71,923200,16.42,0.04920127795527174
2005-03-01,18.73,19.01,16.96,17.64,910100,15.49,-0.05663824604141299
2005-04-01,17.73,22.07,17.14,20.73,1487800,18.2,0.17495158166559066
2005-05-02,20.82,22.86,20.06,21.97,755800,19.36,0.06373626373626373
2005-06-01,22.05,27.5,21.9,24.73,1640300,21.79,0.12551652892561993
2005-07-01,24.96,29.29,24.75,26.76,1338700,23.58,0.08214777420835251
2005-08-01,27.0,27.7,24.77,25.82,747500,22.83,-0.03180661577608146
2005-09-01,25.67,32.05,24.75,31.5,1295900,27.86,0.22032413491020586
2005-10-03,31.67,33.48,27.29,30.25,1259800,26.75,-0.039842067480258425
2005-11-01,30.18,31.55,26.27,29.56,1167000,26.22,-0.019813084112149548
2005-12-01,29.51,32.87,29.49,29.71,974400,26.35,0.0049580472921435526
