Date,Open,High,Low,Close,Volume,Adj Close,Return
1998-01-02,36.88,36.99,30.5,31.41,431500,12.52,0.0
1998-02-02,31.52,33.24,31.09,32.97,334200,13.14,0.04952076677316297
1998-03-02,32.75,37.01,32.6,36.74,530200,14.93,0.13622526636225252
1998-04-01,36.79,37.12,33.31,34.56,389400,14.04,-0.05961152042866713
1998-05-01,34.61,34.61,32.82,34.12,174000,13.87,-0.012108262108262102
1998-06-01,34.01,35.88,33.96,35.22,305100,14.57,0.050468637346791745
1998-07-01,35.49,35.83,33.33,33.5,170100,13.86,-0.04873026767330135
1998-08-03,33.67,36.32,32.78,35.05,217000,14.5,0.046176046176046315
1998-09-01,35.22,38.05,34.05,37.77,297800,15.92,0.09793103448275864
1998-10-01,38.22,39.91,35.18,35.97,294800,15.16,-0.047738693467336724
1998-11-02,35.97,37.77,35.97,37.09,201900,15.63,0.031002638522427572
1998-12-01,37.09,39.49,36.98,39.03,413500,16.73,0.07037747920665383
1999-01-04,38.92,39.26,35.43,35.89,270200,15.38,-0.08069336521219361
1999-02-01,35.66,35.66,33.38,34.12,259300,14.63,-0.04876462938881665
1999-03-01,34.01,36.23,33.64,33.64,251300,14.68,0.0034176349965822084
1999-04-01,33.69,36.25,33.29,35.96,298900,15.69,0.06880108991825606
1999-05-03,35.84,38.05,35.79,38.05,212100,16.6,0.05799872530274075
1999-06-01,37.88,38.13,36.24,36.24,263200,16.08,-0.03132530120481947
1999-07-01,36.59,37.65,36.24,37.06,197000,16.45,0.023009950248756184
1999-08-02,37.18,38.48,36.41,37.83,239100,16.79,0.020668693009118444
1999-09-01,37.59,38.86,35.38,36.28,278500,16.38,-0.024419297200714674
1999-10-01,36.4,38.26,34.48,36.28,292000,16.38,0.0
1999-11-01,36.34,36.94,31.66,33.22,316700,15.0,-0.08424908424908417
1999-12-01,33.22,33.46,31.28,32.01,496400,14.73,-0.018000000000000016
2000-01-03,31.83,33.48,30.85,31.83,436500,14.65,-0.005431093007467802
2000-02-01,32.07,32.68,27.86,29.32,392600,13.5,-0.07849829351535842
2000-03-01,29.14,31.19,27.37,30.94,495400,14.58,0.08000000000000007
2000-04-03,30.88,38.0,30.62,36.69,455100,17.28,0.18518518518518534
2000-05-01,36.44,37.63,34.69,36.69,268700,17.28,0.0
2000-06-01,36.44,36.81,33.31,33.75,528700,16.19,-0.06307870370370372
2000-07-03,34.06,37.0,34.06,36.19,303600,17.36,0.07226683137739331
2000-08-01,36.25,40.62,36.19,40.45,355500,19.41,0.11808755760368661
2000-09-01,40.25,43.69,37.44,41.89,723600,20.41,0.05151983513652758
2000-10-02,42.12,42.5,37.38,39.75,401000,19.36,-0.05144536991670756
2000-11-01,39.88,44.44,39.88,44.38,397500,21.62,0.11673553719008267
2000-12-01,44.38,46.94,42.88,46.31,423600,22.89,0.05874190564292325
2001-01-02,45.88,46.0,37.31,40.78,415100,20.15,-0.11970292704237662
