Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-11-16,14.5,15.53,11.49,11.66,978800,11.66,0.0
2006-12-01,11.58,11.81,10.0,11.71,189000,11.71,0.004288164665523286
2007-01-03,11.45,11.79,9.77,10.42,164300,10.42,-0.1101622544833476
2007-02-01,10.59,11.29,8.85,9.66,160400,9.66,-0.07293666026871404
2007-03-01,9.41,9.73,8.34,9.15,85000,9.15,-0.052795031055900554
2007-04-02,8.6,8.6,6.73,7.72,190400,7.72,-0.1562841530054645
2007-05-01,7.56,8.03,6.3,6.79,114000,6.79,-0.1204663212435233
2007-06-01,6.75,7.3,6.6,6.8,104200,6.8,0.0014727540500736325
2007-07-02,6.76,8.18,6.43,7.01,110600,7.01,0.03088235294117636
2007-08-01,6.85,7.26,5.75,6.13,84100,6.13,-0.12553495007132665
2007-09-04,6.17,6.37,5.55,6.0,77300,6.0,-0.021207177814029365
2007-10-01,5.98,6.98,5.6,6.25,62300,6.25,0.04166666666666674
2007-11-01,6.24,6.3,4.51,4.84,49800,4.84,-0.22560000000000002
2007-12-03,4.62,4.94,4.23,4.85,53800,4.85,0.0020661157024792765
2008-01-02,4.77,4.88,3.87,3.97,36600,3.97,-0.18144329896907208
2008-02-01,3.95,4.42,2.75,2.8,74100,2.8,-0.2947103274559195
2008-03-03,2.88,2.98,2.24,2.4,97500,2.4,-0.1428571428571428
2008-04-01,2.48,3.55,2.43,3.45,49600,3.45,0.4375000000000002
2008-05-01,3.49,3.49,2.91,3.1,15700,3.1,-0.10144927536231885
2008-06-02,3.1,3.1,2.7,2.94,22200,2.94,-0.05161290322580647
2008-07-01,2.95,2.97,2.28,2.65,26100,2.65,-0.09863945578231292
2008-08-01,2.53,2.63,2.26,2.48,10700,2.48,-0.0641509433962264
2008-09-02,2.5,2.64,2.25,2.43,25100,2.43,-0.020161290322580627
2008-10-01,2.43,2.5,2.03,2.25,29000,2.25,-0.07407407407407418
2008-11-03,2.28,2.4,1.71,1.99,17900,1.99,-0.11555555555555552
2008-12-01,1.99,2.17,1.5,1.65,22100,1.65,-0.170854271356784
2009-01-02,1.65,1.81,1.48,1.6,52200,1.6,-0.030303030303030165
2009-02-02,1.54,1.65,1.44,1.49,34800,1.49,-0.06875000000000009
2009-03-02,1.45,1.75,1.25,1.6,74500,1.6,0.0738255033557047
2009-04-01,1.57,2.32,1.5,2.1,67700,2.1,0.3125
2009-05-01,2.16,2.86,1.99,2.65,31200,2.65,0.26190476190476186
2009-06-01,2.65,3.45,2.58,3.05,43100,3.05,0.15094339622641506
2009-07-01,3.02,4.14,2.8,4.0,41800,4.0,0.3114754098360657
2009-08-03,4.04,4.25,3.31,3.79,51600,3.79,-0.05249999999999999
2009-09-01,3.77,3.91,3.37,3.84,110700,3.84,0.01319261213720302
2009-10-01,3.76,4.3,3.57,4.11,54000,4.11,0.07031250000000022
2009-11-02,4.05,4.3,3.56,4.16,34300,4.16,0.012165450121654375
2009-12-01,4.2,4.2,3.59,3.94,39000,3.94,-0.05288461538461542
2010-01-04,3.99,4.67,3.96,4.23,62300,4.23,0.07360406091370564
2010-02-01,4.23,4.28,3.88,4.0,70200,4.0,-0.05437352245862892
2010-03-01,4.1,5.15,4.0,5.03,79300,5.03,0.25750000000000006
2010-04-01,5.05,5.87,5.05,5.8,74100,5.8,0.15308151093439348
2010-05-03,5.79,5.87,4.09,4.88,66100,4.88,-0.1586206896551724
2010-06-01,4.91,5.09,4.3,4.4,36000,4.4,-0.0983606557377048
2010-07-01,4.37,4.85,4.12,4.84,18700,4.84,0.09999999999999987
2010-08-02,4.76,5.35,4.55,4.98,46500,4.98,0.02892561983471076
2010-09-01,5.12,6.32,5.08,5.98,60700,5.98,0.20080321285140568
2010-10-01,6.01,7.31,5.95,7.3,105200,7.3,0.2207357859531771
