Date,Open,High,Low,Close,Volume,Adj Close,Return
2008-02-12,15.0,15.15,14.8,15.0,28000,10.0,0.0
2008-03-03,14.8,14.8,13.51,13.9,34300,9.34,-0.06600000000000006
2008-04-01,13.92,15.0,13.71,14.45,26200,9.79,0.04817987152034253
2008-05-01,14.54,14.98,14.5,14.8,24500,10.1,0.03166496424923393
2008-06-02,14.91,14.91,13.84,14.26,23600,9.81,-0.028712871287128627
2008-07-01,14.31,14.8,12.3,13.01,22700,9.02,-0.08053007135575951
2008-08-01,13.18,13.55,11.76,12.66,32400,8.86,-0.0177383592017738
2008-09-02,12.56,13.29,9.76,10.23,48500,7.22,-0.1851015801354402
2008-10-01,10.25,12.45,6.3,10.87,67800,7.78,0.07756232686980624
2008-11-03,10.87,11.45,7.8,9.4,42300,6.8,-0.12596401028277637
2008-12-01,9.26,9.99,7.99,9.17,47200,6.8,0.0
2009-01-02,9.26,10.3,8.91,9.75,24500,7.23,0.06323529411764706
2009-02-02,9.74,10.5,9.26,9.35,29800,7.01,-0.03042876901798075
2009-03-02,9.45,9.5,8.54,9.06,29900,6.85,-0.022824536376604865
2009-04-01,9.0,10.44,8.93,10.18,30600,7.77,0.13430656934306562
2009-05-01,10.26,11.62,9.88,10.84,38100,8.34,0.07335907335907343
2009-06-01,11.02,11.05,10.08,10.16,48000,7.86,-0.05755395683453235
2009-07-01,10.18,10.64,10.04,10.59,31100,8.24,0.04834605597964381
2009-08-03,10.65,11.21,10.6,11.03,37000,8.63,0.047330097087378675
2009-09-01,10.98,12.24,10.92,11.7,32200,9.2,0.0660486674391656
2009-10-01,11.7,11.79,11.28,11.41,31900,9.02,-0.019565217391304346
2009-11-02,11.39,11.65,11.03,11.43,33600,9.08,0.006651884700665134
2009-12-01,11.45,12.13,11.4,11.94,31500,9.57,0.05396475770925102
2010-01-04,11.94,12.66,11.88,12.15,45000,9.74,0.017763845350052154
2010-02-01,12.16,12.69,11.97,12.62,26700,10.16,0.04312114989733051
2010-03-01,12.66,13.06,12.52,12.88,40100,10.42,0.025590551181102317
2010-04-01,12.86,13.56,12.77,13.2,61600,10.72,0.028790786948176716
2010-05-03,13.24,13.43,11.8,12.44,59000,10.15,-0.05317164179104483
2010-06-01,11.81,12.75,11.66,12.43,35400,10.19,0.003940886699507207
2010-07-01,12.43,12.96,12.32,12.82,25200,10.56,0.036310107948969605
2010-08-02,12.84,12.99,12.64,12.86,20500,10.65,0.008522727272727293
2010-09-01,12.87,13.26,12.81,13.25,43800,11.03,0.035680751173708725
2010-10-01,13.33,13.42,13.02,13.39,39700,11.2,0.015412511332728807
2010-11-01,13.35,13.67,13.06,13.43,32200,11.29,0.008035714285714368
2010-12-01,13.6,13.98,13.29,13.51,48000,11.47,0.015943312666076404
2011-01-03,13.65,14.19,13.54,14.02,67800,11.9,0.037489102005231034
2011-02-01,14.07,14.72,13.99,14.69,66700,12.52,0.05210084033613449
2011-03-01,14.7,15.17,14.06,14.95,102000,12.8,0.022364217252396346
2011-04-01,14.98,15.3,14.38,15.18,73100,13.06,0.020312499999999956
2011-05-02,15.32,15.75,14.36,14.51,73400,12.54,-0.039816232771822446
2011-06-01,14.53,14.69,13.5,14.06,43400,12.2,-0.027113237639553422
2011-07-01,14.11,14.26,13.54,13.75,28400,11.99,-0.017213114754098258
2011-08-01,13.77,13.99,11.77,12.6,44000,11.05,-0.07839866555462882
2011-09-01,12.66,12.8,12.07,12.26,25100,10.81,-0.021719457013574694
2011-10-03,12.12,12.88,11.58,12.82,22300,11.36,0.050878815911193254
2011-11-01,12.67,12.8,12.08,12.55,21700,11.18,-0.015845070422535135
2011-12-01,12.47,12.75,12.16,12.45,26000,11.21,0.0026833631484795006
2012-01-03,12.49,13.28,12.47,13.15,25800,11.84,0.05619982158786785
2012-02-01,13.15,13.58,13.09,13.45,32600,12.17,0.02787162162162171
2012-03-01,13.43,13.66,13.12,13.4,61600,12.19,0.0016433853738702098
2012-04-02,13.4,13.75,13.38,13.56,27000,12.39,0.016406890894175685
2012-05-01,13.61,13.71,13.02,13.17,26100,12.1,-0.023405972558514954
2012-06-01,13.1,13.68,12.86,13.63,20600,12.58,0.03966942148760344
2012-07-02,13.54,13.77,13.21,13.58,12000,12.6,0.0015898251192367763
2012-08-01,13.58,13.94,13.49,13.94,14500,13.0,0.031746031746031855
2012-09-04,13.86,14.08,13.71,14.04,30800,13.16,0.012307692307692353
2012-10-01,13.99,14.2,13.59,14.02,26700,13.21,0.0037993920972645423
2012-11-01,14.08,14.36,12.92,13.97,33200,13.22,0.0007570022710068347
2012-12-03,13.98,14.18,13.5,14.18,32500,13.59,0.02798789712556715
2013-01-02,14.32,14.89,13.94,14.71,49500,14.09,0.03679175864606332
2013-02-01,14.77,14.93,14.5,14.75,43500,14.2,0.0078069552874378
2013-03-01,14.76,15.47,14.6,15.47,32600,14.96,0.05352112676056353
2013-04-01,15.4,15.5,14.42,14.68,28900,14.26,-0.046791443850267456
2013-05-01,14.62,14.98,14.43,14.45,26100,14.11,-0.01051893408134641
2013-06-03,14.45,14.72,13.24,14.06,46400,13.79,-0.0226789510985117
2013-07-01,14.15,14.24,13.59,13.89,36900,13.69,-0.007251631617113841
2013-08-01,13.91,14.0,13.43,13.77,27000,13.64,-0.0036523009495981196
2013-09-03,13.85,14.09,13.56,13.98,26300,13.91,0.019794721407624616
2013-10-01,13.96,13.98,13.48,13.83,21000,13.83,-0.005751258087706712
2013-11-01,13.92,14.01,13.73,13.84,16500,13.84,0.000723065798987621
