Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,11.38,12.5,11.13,12.38,384100,11.92,0.0
1990-04-02,12.0,12.63,10.0,10.88,135200,10.48,-0.12080536912751672
1990-05-01,11.0,13.5,10.63,12.25,170500,11.79,0.12499999999999978
1990-06-01,12.38,13.0,11.0,12.75,121000,12.28,0.04156064461407971
1990-07-02,12.63,14.0,12.5,13.25,140800,12.76,0.039087947882736174
1990-08-01,13.13,14.75,11.38,11.88,105900,11.44,-0.10344827586206895
1990-09-04,11.63,13.75,10.0,10.88,162700,10.48,-0.08391608391608385
1990-10-01,11.0,11.13,8.13,9.0,124200,8.67,-0.1727099236641222
1990-11-01,9.13,10.38,7.38,8.5,109000,8.18,-0.056516724336793556
1990-12-03,8.75,8.75,6.63,7.75,148200,7.46,-0.08801955990220045
1991-01-02,7.88,8.63,6.38,7.63,201800,7.35,-0.014745308310991967
1991-02-01,7.63,9.75,7.38,9.63,457300,9.27,0.2612244897959184
1991-03-01,9.5,10.0,8.5,9.25,167800,8.91,-0.03883495145631066
1991-04-01,9.13,9.5,7.88,8.88,227400,8.55,-0.04040404040404033
1991-05-01,8.63,10.0,8.38,9.88,215600,9.51,0.11228070175438587
1991-06-03,9.75,10.75,8.63,8.75,194200,8.42,-0.11461619348054675
1991-07-01,8.88,10.13,8.38,9.63,165800,9.27,0.10095011876484561
1991-08-01,10.0,10.13,8.38,8.63,189800,8.31,-0.10355987055016169
1991-09-03,8.75,9.13,7.25,8.13,160300,7.83,-0.0577617328519856
1991-10-01,8.13,8.63,7.25,7.75,133800,7.46,-0.047254150702426556
1991-11-01,8.0,8.5,7.5,7.88,116900,7.59,0.01742627345844494
1991-12-02,7.88,8.75,7.63,8.63,140400,8.31,0.0948616600790515
1992-01-02,8.5,9.13,7.88,8.38,150700,8.07,-0.028880866425992857
1992-02-03,8.13,8.63,7.88,7.88,115100,7.59,-0.059479553903345805
1992-03-02,8.0,8.25,7.0,7.25,132100,6.98,-0.08036890645586292
1992-04-01,7.13,9.13,7.0,9.0,172400,8.67,0.2421203438395414
1992-05-01,9.13,9.88,8.5,9.88,92500,9.51,0.09688581314878886
1992-06-01,9.75,9.88,8.13,8.5,86200,8.18,-0.13985278654048372
1992-07-01,8.5,10.75,8.5,10.25,94500,9.87,0.20660146699266502
1992-08-03,10.25,11.13,9.38,10.75,132600,10.35,0.04863221884498481
