Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-08-11,10.8,21.1,10.8,14.81,254800,14.81,0.0
2011-09-01,14.9,14.99,11.33,12.04,152100,12.04,-0.187035786630655
2011-10-03,11.82,14.65,11.06,12.62,83000,12.62,0.04817275747508298
2011-11-01,12.5,12.87,10.62,12.12,74900,12.12,-0.03961965134706813
2011-12-01,12.1,13.46,10.95,11.1,49800,11.1,-0.08415841584158412
2012-01-03,11.4,11.69,9.85,9.97,109100,9.97,-0.10180180180180176
2012-02-01,9.97,10.7,9.1,9.69,168900,9.69,-0.028084252758274975
2012-03-01,9.75,11.25,7.9,11.01,205700,11.01,0.13622291021671828
2012-04-02,11.0,11.7,7.79,7.99,125100,7.99,-0.27429609445958214
2012-05-01,7.96,11.35,6.74,7.71,256700,7.71,-0.03504380475594493
2012-06-01,7.71,9.04,7.25,8.94,110400,8.94,0.15953307392996097
2012-07-02,8.9,10.14,7.48,9.69,147200,9.69,0.08389261744966436
2012-08-01,9.68,9.68,7.14,7.56,121900,7.56,-0.2198142414860681
2012-09-04,7.53,8.27,5.78,7.01,126200,7.01,-0.07275132275132268
2012-10-01,7.02,7.75,5.75,7.73,169500,7.73,0.10271041369472189
2012-11-01,7.71,9.6,7.5,9.54,133600,9.54,0.23415265200517443
2012-12-03,9.57,10.12,8.61,9.25,61800,9.25,-0.03039832285115296
2013-01-02,9.41,10.03,9.12,9.62,80400,9.62,0.039999999999999813
2013-02-01,9.63,10.78,9.56,9.82,88200,9.82,0.020790020790020902
2013-03-01,9.72,11.03,9.72,10.95,75200,10.95,0.11507128309572301
2013-04-01,10.88,11.33,9.57,10.64,73400,10.64,-0.028310502283104944
2013-05-01,10.6,10.96,9.54,10.57,61200,10.57,-0.006578947368421129
2013-06-03,10.6,13.5,10.03,12.39,104400,12.39,0.17218543046357615
2013-07-01,12.41,14.1,12.15,13.19,119000,13.19,0.06456820016142051
2013-08-01,13.28,15.88,12.94,15.4,197000,15.4,0.16755117513267637
2013-09-03,15.0,16.5,13.79,15.0,176400,15.0,-0.025974025974025983
2013-10-01,14.97,16.02,12.53,13.24,115400,13.24,-0.11733333333333329
2013-11-01,13.12,13.35,10.11,10.53,286000,10.53,-0.2046827794561934
