Date,Open,High,Low,Close,Volume,Adj Close,Return
2008-01-07,9.25,9.7,7.5,7.83,144300,7.83,0.0
2008-02-01,7.85,8.44,6.95,7.22,79600,7.22,-0.07790549169859518
2008-03-03,7.22,8.0,6.6,6.97,158600,6.97,-0.03462603878116344
2008-04-01,7.14,9.37,5.88,8.29,110900,8.29,0.1893830703012911
2008-05-01,8.25,10.44,7.45,9.86,127400,9.86,0.18938480096501809
2008-06-02,9.86,9.95,7.63,8.87,134300,8.87,-0.10040567951318458
2008-07-01,8.73,9.48,6.86,8.6,68100,8.6,-0.030439684329199523
2008-08-01,8.6,9.32,6.92,7.82,63700,7.82,-0.09069767441860455
2008-09-02,8.0,8.5,3.37,7.86,99900,7.86,0.005115089514066584
2008-10-01,7.5,8.16,4.06,5.58,99300,5.58,-0.29007633587786263
2008-11-03,5.54,5.77,0.47,1.34,196300,1.34,-0.7598566308243727
2008-12-01,1.31,2.24,0.91,1.29,188500,1.29,-0.03731343283582089
2009-01-02,1.29,1.57,0.8,0.85,118800,0.85,-0.3410852713178295
2009-02-02,0.83,1.9,0.79,1.4,108400,1.4,0.6470588235294117
2009-03-02,1.37,2.13,0.88,1.77,63700,1.77,0.26428571428571446
2009-04-01,1.77,2.89,1.65,2.45,46900,2.45,0.384180790960452
2009-05-01,2.46,3.42,2.25,3.2,83000,3.2,0.30612244897959173
2009-06-01,3.14,4.15,3.05,3.81,62300,3.81,0.19062500000000004
2009-07-01,3.86,4.39,3.25,4.21,45700,4.21,0.10498687664041984
2009-08-03,4.33,8.47,4.1,7.88,265200,7.88,0.8717339667458432
2009-09-01,7.87,8.11,7.24,7.82,113300,7.82,-0.0076142131979695105
2009-10-01,7.8,10.0,7.55,9.95,234900,9.95,0.2723785166240409
2009-11-02,9.87,11.68,9.3,11.05,198000,11.05,0.11055276381909573
2009-12-01,11.24,12.42,10.74,11.06,209600,11.06,0.0009049773755656076
2010-01-04,11.21,11.56,10.2,10.89,170200,10.89,-0.015370705244122984
2010-02-01,10.93,12.78,9.54,9.88,321500,9.88,-0.09274563820018367
2010-03-01,9.79,13.44,9.51,12.57,658800,12.57,0.2722672064777327
2010-04-01,12.64,14.58,12.45,13.94,404200,13.94,0.10898965791567217
2010-05-03,14.08,14.34,10.4,12.95,641500,12.95,-0.07101865136298424
2010-06-01,12.87,13.66,11.3,12.96,390500,12.96,0.0007722007722008595
2010-07-01,12.93,13.43,11.55,12.95,165900,12.95,-0.0007716049382717749
2010-08-02,13.09,15.07,12.95,13.86,496600,13.86,0.07027027027027022
2010-09-01,14.1,15.47,13.75,15.42,258900,15.42,0.11255411255411252
2010-10-01,15.54,17.14,14.91,16.95,394500,16.95,0.09922178988326835
2010-11-01,16.98,18.52,16.32,16.9,338000,16.9,-0.002949852507374673
2010-12-01,17.1,18.79,16.71,17.7,294500,17.7,0.047337278106508895
2011-01-03,17.9,18.03,16.4,17.09,280300,17.09,-0.03446327683615813
2011-02-01,17.14,19.78,16.97,18.95,589300,18.95,0.10883557636044472
2011-03-01,18.98,20.5,18.01,20.35,282400,20.35,0.07387862796833788
2011-04-01,20.6,21.61,18.57,21.25,246900,21.25,0.04422604422604426
2011-05-02,21.37,22.47,19.89,22.14,307400,22.14,0.04188235294117648
2011-06-01,22.19,23.61,19.71,23.45,374900,23.45,0.05916892502258353
2011-07-01,23.12,25.0,21.61,22.98,269600,22.98,-0.020042643923240844
2011-08-01,23.34,25.0,19.46,24.76,434700,24.76,0.0774586597040905
2011-09-01,24.99,25.92,21.24,22.92,496200,22.92,-0.07431340872374792
2011-10-03,22.77,25.85,19.74,24.93,386800,24.93,0.08769633507853403
2011-11-01,23.94,28.46,23.26,27.18,343100,27.18,0.09025270758122739
2011-12-01,27.21,28.74,24.74,27.06,370300,27.06,-0.004415011037527616
2012-01-03,27.9,28.3,25.22,25.55,386100,25.55,-0.05580192165558007
2012-02-01,25.81,28.34,23.7,26.59,489600,26.59,0.040704500978473446
2012-03-01,26.85,28.5,25.88,26.25,327700,26.25,-0.01278676194057915
2012-04-02,26.15,26.99,24.77,26.36,311900,26.36,0.004190476190476078
2012-05-01,28.27,30.0,27.52,28.02,366400,28.02,0.06297420333839154
2012-06-01,27.49,30.25,26.4,30.21,261100,30.21,0.0781584582441115
2012-07-02,30.26,31.46,28.6,31.01,235700,31.01,0.02648129758358153
2012-08-01,30.6,31.41,28.03,28.25,286100,28.25,-0.08900354724282489
2012-09-04,28.1,31.16,27.79,29.76,217200,29.76,0.05345132743362835
2012-10-01,29.81,30.92,28.14,28.41,201500,28.41,-0.045362903225806495
2012-11-01,28.37,28.68,22.48,22.94,345200,22.94,-0.19253783878915876
2012-12-03,23.1,24.7,22.2,23.74,283400,23.74,0.03487358326067991
2013-01-02,24.3,26.68,23.13,25.89,366400,25.89,0.09056444818871112
2013-02-01,25.98,28.46,25.27,26.36,371900,26.36,0.018153727307840928
2013-03-01,26.23,27.96,25.9,27.46,223500,27.46,0.041729893778452265
2013-04-01,27.5,28.55,26.29,28.01,253000,28.01,0.020029133284777956
2013-05-01,27.82,30.0,27.17,28.53,204200,28.53,0.0185647982863264
2013-06-03,28.58,29.93,27.04,27.6,278300,27.6,-0.03259726603575186
2013-07-01,27.85,29.87,27.36,29.46,202200,29.46,0.06739130434782603
2013-08-01,31.71,37.08,29.8,34.69,244400,34.69,0.17752885268160212
2013-09-03,35.16,38.16,34.01,37.11,224600,37.11,0.06976073796483151
2013-10-01,37.06,39.84,35.46,39.25,253200,39.25,0.05766639719752087
2013-11-01,39.02,41.82,37.77,40.5,389000,40.5,0.031847133757961776
