Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-02-04,18.12,22.12,17.25,21.88,847500,10.33,0.0
1997-03-03,21.88,32.12,21.38,28.75,271200,13.58,0.31461761858664095
1997-04-01,29.0,33.38,27.75,31.12,58600,14.7,0.08247422680412364
1997-05-01,30.88,31.5,28.25,29.62,13200,13.99,-0.048299319727891143
1997-06-02,29.62,29.75,23.25,26.0,33400,12.28,-0.12223016440314516
1997-07-01,26.0,27.0,24.44,26.38,19300,12.46,0.014657980456026287
1997-08-01,26.62,39.88,26.12,35.62,44900,16.83,0.35072231139646837
1997-09-02,31.0,34.37,27.5,28.88,40300,13.64,-0.1895424836601306
1997-10-01,28.88,29.12,18.06,22.38,115400,10.57,-0.22507331378299122
1997-11-03,24.38,24.44,17.75,18.25,54900,8.62,-0.1844843897824031
1997-12-01,17.75,21.5,15.81,16.19,48400,7.65,-0.11252900232018548
1998-01-02,16.25,16.62,9.5,11.81,229600,5.58,-0.2705882352941177
1998-02-02,13.25,16.62,11.69,14.81,305900,7.0,0.2544802867383513
1998-03-02,14.75,15.38,13.12,14.5,83400,6.85,-0.021428571428571463
1998-04-01,14.38,14.44,11.75,11.94,64700,5.64,-0.1766423357664234
1998-05-01,11.94,11.94,9.56,10.06,97600,4.75,-0.1578014184397163
1998-06-01,9.56,9.88,7.63,8.88,122000,4.19,-0.11789473684210516
1998-07-01,8.88,9.38,7.0,7.19,61100,3.4,-0.1885441527446302
1998-08-03,7.12,7.12,4.12,4.5,82000,2.13,-0.3735294117647059
1998-09-01,4.37,7.19,4.0,6.44,77500,3.04,0.427230046948357
1998-10-01,6.31,8.38,5.25,7.63,52800,3.6,0.18421052631578938
1998-11-02,7.75,8.94,7.37,7.63,53000,3.6,0.0
1998-12-01,7.25,7.63,6.06,6.25,76700,2.95,-0.18055555555555558
1999-01-04,6.25,7.25,5.25,5.62,71400,2.66,-0.09830508474576272
1999-02-01,5.5,5.69,5.0,5.25,40900,2.48,-0.06766917293233088
1999-03-01,5.25,7.44,5.0,6.0,69200,2.83,0.1411290322580645
1999-04-01,6.25,8.44,6.0,7.81,101000,3.69,0.30388692579505294
1999-05-03,8.31,9.25,7.5,7.88,43800,3.72,0.008130081300813163
1999-06-01,8.12,13.88,8.0,13.12,102200,6.2,0.6666666666666665
1999-07-01,13.06,14.94,10.62,11.38,83800,5.37,-0.13387096774193552
1999-08-02,12.19,12.69,9.88,12.19,43200,5.76,0.07262569832402233
1999-09-01,12.06,13.5,11.5,11.62,27300,5.49,-0.04687499999999989
1999-10-01,11.5,12.0,10.44,11.0,24800,5.2,-0.05282331511839711
1999-11-01,11.12,15.44,10.75,13.38,69200,6.32,0.2153846153846155
1999-12-01,13.38,13.44,11.0,11.25,35400,5.31,-0.15981012658227856
2000-01-03,11.5,12.25,10.5,10.5,19500,4.96,-0.06591337099811667
2000-02-01,10.5,10.88,8.5,9.38,26300,4.43,-0.10685483870967749
2000-03-01,9.44,10.56,8.94,9.56,14800,4.52,0.020316027088036037
2000-04-03,9.44,11.25,8.94,10.5,23500,4.96,0.09734513274336298
2000-05-01,10.5,12.62,9.75,10.81,22300,5.11,0.030241935483870996
2000-06-01,11.38,13.75,11.38,12.44,21100,5.88,0.15068493150684925
2000-07-03,12.56,20.25,12.5,19.0,60800,8.98,0.5272108843537415
2000-08-01,19.0,19.62,15.88,16.38,19100,7.74,-0.13808463251670378
2000-09-01,17.0,17.0,12.38,15.75,14800,7.44,-0.03875968992248058
