Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-10-05,9.25,9.63,9.25,9.5,17300,0.58,0.0
1988-11-01,9.5,9.75,8.88,9.13,20000,0.57,-0.017241379310344862
1988-12-01,9.25,9.5,8.75,9.25,25900,0.58,0.01754385964912286
1989-01-03,9.38,9.5,9.0,9.25,17100,0.59,0.01724137931034475
1989-02-01,9.38,9.63,9.13,9.25,16800,0.59,0.0
1989-03-01,9.25,9.63,9.0,9.25,21900,0.6,0.016949152542372836
1989-04-03,9.13,9.38,9.0,9.13,23100,0.6,0.0
1989-05-01,9.13,9.38,9.0,9.38,21100,0.62,0.03333333333333344
1989-06-01,9.38,9.63,8.63,9.38,20500,0.63,0.016129032258064502
1989-07-03,9.38,9.38,8.88,9.13,23200,0.62,-0.015873015873015928
1989-08-01,9.13,9.38,8.63,8.75,27800,0.6,-0.032258064516129115
1989-09-01,8.75,8.88,8.0,8.25,33500,0.57,-0.050000000000000044
1989-10-02,8.25,8.5,7.13,7.38,39700,0.52,-0.08771929824561397
1989-11-01,7.38,8.25,7.38,8.0,31900,0.57,0.09615384615384603
1989-12-01,7.88,8.0,7.13,7.25,34700,0.52,-0.08771929824561397
1990-01-02,7.25,8.13,7.13,7.25,24600,0.53,0.019230769230769162
1990-02-01,7.25,7.5,6.88,7.25,35800,0.54,0.018867924528301883
1990-03-01,7.38,7.38,5.75,6.25,34100,0.47,-0.12962962962962976
1990-04-02,6.25,6.63,6.0,6.5,31100,0.49,0.042553191489361764
1990-05-01,6.38,6.63,6.25,6.5,21900,0.5,0.020408163265306145
1990-06-01,6.38,7.13,6.25,6.5,26400,0.51,0.020000000000000018
1990-07-02,6.63,6.88,6.38,6.75,21200,0.53,0.03921568627450989
1990-08-01,6.75,6.75,4.88,5.5,34300,0.44,-0.16981132075471705
1990-09-04,5.5,5.5,4.25,4.63,36100,0.38,-0.13636363636363635
1990-10-01,4.63,5.25,4.38,4.5,27700,0.38,0.0
1990-11-01,4.5,5.13,3.75,3.88,60700,0.33,-0.13157894736842102
1990-12-03,4.0,4.13,3.63,4.0,66600,0.34,0.030303030303030276
1991-01-02,3.88,4.0,3.63,3.88,35300,0.34,0.0
1991-02-01,3.88,4.88,3.88,4.75,55800,0.42,0.23529411764705865
