Date,Open,High,Low,Close,Volume,Adj Close,Return
1983-03-21,28.87,30.12,28.0,29.12,932600,1.52,0.0
1983-04-04,29.25,33.13,27.62,33.13,956900,1.73,0.13815789473684204
1983-05-02,33.88,34.0,30.62,31.5,708400,1.65,-0.046242774566474076
1983-06-01,31.25,36.5,31.12,33.25,749300,1.74,0.054545454545454675
1983-07-01,33.25,34.38,30.75,32.88,631800,1.73,-0.005747126436781658
1983-08-01,32.88,34.0,25.37,27.12,509600,1.43,-0.17341040462427748
1983-09-01,27.37,28.25,24.5,25.0,1346900,1.32,-0.07692307692307687
1983-10-03,24.75,29.87,24.62,25.25,1273400,1.35,0.022727272727272707
1983-11-01,25.37,27.0,25.0,26.12,625900,1.39,0.02962962962962945
1983-12-01,26.25,27.5,25.25,26.5,535500,1.41,0.014388489208633004
1984-01-03,26.75,29.5,25.62,28.12,1249400,1.51,0.07092198581560294
1984-02-01,28.0,28.87,25.75,26.25,729100,1.41,-0.06622516556291391
1984-03-01,26.12,27.37,25.37,25.87,472600,1.39,-0.014184397163120588
1984-04-02,26.12,27.12,25.25,26.75,620500,1.45,0.043165467625899234
1984-05-01,27.0,29.37,26.62,29.12,807800,1.58,0.08965517241379328
1984-06-01,29.0,31.0,25.0,26.75,1153300,1.45,-0.08227848101265833
1984-07-02,26.75,27.25,22.5,24.5,657600,1.35,-0.06896551724137923
1984-08-01,24.62,27.5,24.0,26.37,1114500,1.45,0.07407407407407396
1984-09-04,26.12,27.87,25.37,26.5,908200,1.46,0.006896551724137945
1984-10-01,26.62,29.25,26.12,28.75,773300,1.6,0.09589041095890427
1984-11-01,28.87,30.75,28.37,29.0,806600,1.61,0.006250000000000089
1984-12-03,29.0,30.25,28.12,28.75,580600,1.6,-0.006211180124223614
1985-01-02,28.75,30.87,27.5,30.62,1042800,1.72,0.07499999999999996
1985-02-01,30.62,33.5,29.5,33.0,961400,1.85,0.07558139534883734
1985-03-01,33.25,34.63,31.5,34.38,767300,1.93,0.043243243243243246
1985-04-01,34.75,36.25,33.63,34.38,492400,1.95,0.010362694300518172
1985-05-01,34.38,37.13,33.63,36.88,392900,2.09,0.07179487179487176
1985-06-03,36.88,39.0,35.38,37.63,403000,2.13,0.019138755980861344
1985-07-01,37.75,40.75,36.0,36.38,561500,2.08,-0.023474178403755763
1985-08-01,36.25,40.25,36.13,39.5,676800,2.26,0.08653846153846145
1985-09-03,39.25,41.75,38.63,40.25,916800,2.3,0.017699115044247815
1985-10-01,40.5,45.88,40.25,44.88,812400,2.59,0.12608695652173907
1985-11-01,45.0,48.5,44.13,48.25,633300,2.78,0.07335907335907343
1985-12-02,48.13,50.5,46.38,47.63,679900,2.75,-0.010791366906474753
1986-01-02,47.63,47.88,44.0,44.25,641700,2.57,-0.06545454545454554
1986-02-03,44.25,50.25,44.25,50.0,994600,2.91,0.13229571984435817
1986-03-03,50.0,58.25,49.38,57.25,637600,3.33,0.14432989690721643
1986-04-01,57.13,57.5,50.5,51.5,651200,3.02,-0.0930930930930931
1986-05-01,51.25,55.0,49.25,54.75,612300,3.21,0.0629139072847682
1986-06-02,54.63,56.25,50.25,55.88,573200,3.27,0.01869158878504673
1986-07-01,55.88,60.38,51.0,55.63,811400,3.28,0.003058103975535076
1986-08-01,55.75,59.88,53.5,59.25,619100,3.49,0.0640243902439026
1986-09-02,59.25,59.25,45.0,45.13,695800,2.66,-0.23782234957020054
1986-10-01,45.25,51.5,45.25,48.63,599400,2.89,0.08646616541353391
1986-11-03,48.88,51.38,47.5,50.13,655500,2.98,0.03114186851211076
1986-12-01,50.13,53.38,50.0,50.63,791200,3.01,0.010067114093959662
1987-01-02,50.88,62.25,50.88,59.63,917000,3.56,0.18272425249169455
1987-02-02,59.25,61.88,56.63,61.38,637800,3.67,0.030898876404494402
1987-03-02,61.38,65.12,58.88,62.88,554800,3.76,0.02452316076294281
1987-04-01,62.75,64.75,58.13,58.88,516100,3.52,-0.06382978723404253
1987-05-01,58.63,59.75,49.75,53.88,964700,3.22,-0.08522727272727271
