Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-03-19,24.75,25.25,24.37,25.25,8600,8.66,0.0
1992-04-01,25.5,25.75,20.75,21.12,11900,7.25,-0.16281755196304848
1992-05-01,21.37,25.5,21.0,25.5,11600,8.79,0.2124137931034482
1992-06-01,25.37,27.0,19.12,19.37,21800,6.68,-0.2400455062571103
1992-07-01,19.37,19.37,16.62,17.75,26100,6.12,-0.08383233532934131
1992-08-03,17.87,21.0,17.5,19.5,35900,6.77,0.10620915032679723
1992-09-01,19.5,20.0,17.0,17.25,22700,5.99,-0.11521418020679464
1992-10-01,17.25,19.0,16.0,18.5,50900,6.42,0.07178631051752915
1992-11-02,18.5,20.5,18.37,19.25,43400,6.72,0.04672897196261672
1992-12-01,19.75,22.62,19.5,22.5,11600,7.86,0.1696428571428572
1993-01-04,22.25,22.25,21.0,21.75,18200,7.6,-0.03307888040712481
1993-02-01,21.5,23.0,21.25,22.37,17100,7.86,0.03421052631578947
1993-03-01,21.5,22.87,21.25,22.0,12900,7.73,-0.01653944020356235
1993-04-01,22.25,22.5,17.12,17.5,40700,6.15,-0.20439844760672699
1993-05-03,17.5,17.5,16.37,16.87,18100,5.97,-0.029268292682926966
1993-06-01,16.87,17.62,15.88,17.62,43300,6.24,0.045226130653266416
1993-07-01,17.62,18.75,17.37,17.5,23700,6.19,-0.008012820512820484
1993-08-02,17.5,18.0,17.0,17.75,28200,6.33,0.022617124394184174
1993-09-01,17.75,17.87,15.63,16.0,10800,5.71,-0.09794628751974721
1993-10-01,15.88,16.25,15.5,16.25,20700,5.8,0.015761821366024442
1993-11-01,16.0,16.75,15.75,16.12,16900,5.8,0.0
1993-12-01,15.88,16.25,15.5,16.0,25900,5.75,-0.008620689655172376
1994-01-03,15.75,17.75,15.63,16.5,51600,5.93,0.03130434782608682
1994-02-01,16.62,17.62,16.37,17.37,28400,6.3,0.062394603709949426
1994-03-01,17.5,17.62,16.75,16.75,19400,6.07,-0.03650793650793649
1994-04-04,16.75,17.12,15.75,16.0,36100,5.8,-0.04448105436573324
1994-05-02,16.12,17.12,15.63,16.5,9200,6.04,0.04137931034482767
1994-06-01,16.5,17.25,16.12,16.5,8400,6.04,0.0
1994-07-01,16.37,16.87,15.63,15.75,28100,5.76,-0.04635761589403975
1994-08-01,15.75,16.0,15.5,15.88,16300,5.86,0.01736111111111116
1994-09-01,16.0,16.5,15.5,15.63,20600,5.77,-0.015358361774744145
1994-10-03,15.63,15.75,15.25,15.5,38100,5.72,-0.008665511265164572
1994-11-01,15.5,15.75,15.25,15.38,13500,5.73,0.0017482517482518833
1994-12-01,15.38,15.75,14.38,15.75,13100,5.86,0.022687609075043635
1995-01-03,15.5,15.5,14.5,14.75,7600,5.49,-0.06313993174061439
1995-02-01,14.63,15.38,14.63,15.0,15100,5.64,0.027322404371584508
1995-03-01,15.0,15.75,15.0,15.75,12800,5.92,0.049645390070921946
1995-04-03,15.63,16.87,15.5,16.37,7700,6.15,0.038851351351351315
1995-05-01,16.5,17.75,16.5,17.0,10100,6.45,0.04878048780487809
1995-06-01,17.0,17.37,16.87,17.25,19600,6.54,0.013953488372093092
1995-07-03,17.37,17.37,14.75,14.88,14700,5.64,-0.13761467889908263
1995-08-01,14.88,15.38,14.75,15.38,7100,5.89,0.04432624113475181
1995-09-01,15.5,16.0,15.5,15.75,4900,6.03,0.02376910016977929
1995-10-02,15.75,15.88,15.38,15.5,6800,5.94,-0.01492537313432829
1995-11-01,15.5,15.75,15.13,15.75,10700,6.09,0.025252525252525082
1995-12-01,15.63,16.12,15.63,16.0,18500,6.18,0.01477832512315258
1996-01-02,16.0,16.62,16.0,16.5,13100,6.38,0.032362459546925626
1996-02-01,16.62,16.62,15.0,15.13,30500,5.9,-0.07523510971786829
1996-03-01,15.13,15.5,14.5,15.25,22000,5.95,0.008474576271186418
1996-04-01,15.25,16.87,15.25,16.25,20500,6.34,0.06554621848739495
1996-05-01,16.12,16.5,15.88,16.37,14500,6.44,0.015772870662460692
1996-06-03,16.62,17.37,16.37,17.0,35000,6.69,0.03881987577639756
1996-07-01,17.25,19.37,16.12,19.37,10800,7.63,0.14050822122570983
1996-08-01,19.25,21.12,19.0,19.12,34400,7.58,-0.006553079947575369
1996-09-03,19.25,20.75,19.12,20.5,20800,8.13,0.0725593667546176
1996-10-01,20.62,20.75,19.62,19.87,13400,7.88,-0.03075030750307517
1996-11-01,19.62,20.5,19.37,20.12,13700,8.04,0.02030456852791862
1996-12-02,20.0,21.75,20.0,21.62,32700,8.64,0.074626865671642
1997-01-02,21.37,23.25,21.37,23.0,13300,9.19,0.06365740740740722
1997-02-03,22.87,23.62,22.37,22.62,10000,9.1,-0.009793253536452662
1997-03-03,22.62,22.87,14.13,14.5,9200,8.75,-0.038461538461538436
1997-04-01,14.5,14.63,13.5,14.38,19500,8.68,-0.008000000000000007
1997-05-01,14.5,15.88,14.5,15.38,3700,9.35,0.07718894009216593
1997-06-02,15.25,15.75,15.25,15.38,10400,9.35,0.0
1997-07-01,15.63,17.87,15.5,17.62,6500,10.72,0.14652406417112318
1997-08-01,17.87,21.0,17.87,20.5,11100,12.54,0.16977611940298498
1997-09-02,20.5,21.25,19.25,20.75,13300,12.7,0.012759170653907415
1997-10-01,20.75,21.25,19.0,19.94,14500,12.2,-0.03937007874015752
1997-11-03,19.94,20.75,19.94,20.37,32600,12.53,0.02704918032786896
1997-12-01,20.37,21.0,19.0,19.0,8600,11.69,-0.06703910614525144
1998-01-02,19.0,19.75,18.0,18.0,11800,11.07,-0.053036783575705626
1998-02-02,17.87,18.25,17.75,17.81,18200,11.03,-0.0036133694670280603
1998-03-02,17.81,19.75,17.75,19.0,10400,11.77,0.06708975521305538
1998-04-01,19.0,19.12,18.5,19.0,15800,11.77,0.0
1998-05-01,18.87,19.0,18.31,19.0,6600,11.85,0.00679694137638065
