Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-05-11,11.76,12.5,11.5,12.34,31500,10.22,0.0
2004-06-01,12.45,12.5,11.75,11.81,72100,9.81,-0.04011741682974557
2004-07-01,11.77,12.08,11.44,11.66,32200,9.68,-0.013251783893985847
2004-08-02,11.53,11.98,10.5,11.5,24900,9.57,-0.011363636363636354
2004-09-01,11.1,12.09,11.1,11.66,24500,9.71,0.014629049111807735
2004-10-01,11.97,12.07,11.17,11.7,17300,9.74,0.003089598352214118
2004-11-01,11.56,12.9,11.38,12.9,27900,10.77,0.10574948665297734
2004-12-01,12.9,12.9,11.9,12.15,22900,10.14,-0.05849582172701939
2005-01-03,12.4,12.4,10.95,11.23,25600,9.37,-0.07593688362919149
2005-02-01,11.21,11.76,11.08,11.64,25000,9.76,0.04162219850586979
2005-03-01,11.4,12.0,10.98,11.2,37600,9.39,-0.03790983606557374
2005-04-01,11.21,11.21,9.98,10.22,29700,8.61,-0.08306709265175727
2005-05-02,10.2,10.6,10.0,10.48,37000,8.83,0.025551684088269466
2005-06-01,10.31,11.05,10.13,10.56,36200,8.9,0.007927519818799578
2005-07-01,10.61,10.88,10.42,10.56,25200,8.9,0.0
2005-08-01,10.53,10.65,10.1,10.24,44000,8.67,-0.02584269662921357
2005-09-01,10.24,10.49,10.06,10.3,43400,8.72,0.005767012687428075
2005-10-03,10.23,10.49,10.06,10.38,45100,8.79,0.008027522935779574
2005-11-01,10.27,10.45,10.16,10.29,18900,8.75,-0.00455062571103515
2005-12-01,10.25,10.45,10.02,10.06,41000,8.56,-0.021714285714285686
2006-01-03,10.12,10.5,10.01,10.4,28000,8.85,0.0338785046728971
2006-02-01,10.45,10.49,10.2,10.28,22200,8.79,-0.006779661016949157
2006-03-01,10.21,10.73,10.21,10.69,30400,9.14,0.03981797497155881
2006-04-03,10.66,10.7,10.4,10.59,36300,9.05,-0.009846827133479175
2006-05-01,10.52,10.65,10.16,10.58,27000,9.09,0.004419889502762286
2006-06-01,10.63,10.83,10.3,10.83,42800,9.3,0.02310231023102327
2006-07-03,10.63,11.07,10.51,10.94,28100,9.4,0.010752688172043001
2006-08-01,10.85,10.99,10.54,10.94,30000,9.44,0.004255319148936065
2006-09-01,10.94,11.42,10.85,11.22,33400,9.68,0.025423728813559254
2006-10-02,11.22,11.73,11.02,11.68,21600,10.08,0.04132231404958686
2006-11-01,11.67,12.2,11.51,12.0,21800,10.4,0.031746031746031855
2006-12-01,11.96,12.26,11.87,12.19,38800,10.56,0.01538461538461533
2007-01-03,12.2,12.31,12.06,12.29,34000,10.65,0.008522727272727293
2007-02-01,12.27,12.35,11.68,11.81,45500,10.27,-0.03568075117370895
2007-03-01,11.7,12.01,11.03,11.94,56500,10.39,0.011684518013632017
2007-04-02,11.98,12.17,11.62,11.65,44600,10.13,-0.025024061597690106
2007-05-01,11.62,12.13,11.53,11.69,51200,10.21,0.007897334649555887
2007-06-01,11.77,11.98,10.84,10.84,41200,9.47,-0.07247796278158669
2007-07-02,10.92,11.37,9.87,10.0,38200,8.73,-0.07814149947201687
2007-08-01,9.85,11.33,8.85,11.22,70900,9.85,0.12829324169530354
2007-09-04,11.23,11.96,10.96,11.83,31500,10.38,0.05380710659898491
2007-10-01,11.81,11.96,10.25,10.98,26700,9.64,-0.07129094412331405
2007-11-01,10.8,11.16,10.3,10.6,50700,9.35,-0.030082987551867335
2007-12-03,10.58,10.63,9.51,9.8,41300,8.64,-0.07593582887700523
2008-01-02,9.71,10.44,9.6,10.1,38700,8.91,0.03125
2008-02-01,10.1,10.19,9.7,9.89,29100,8.76,-0.01683501683501687
2008-03-03,9.92,10.29,9.1,10.08,29400,8.93,0.019406392694063967
2008-04-01,10.08,10.62,9.75,10.0,21200,8.86,-0.007838745800671898
2008-05-01,10.0,10.45,9.7,10.19,59800,9.07,0.023702031602709006
2008-06-02,10.18,10.7,9.69,9.74,30300,8.67,-0.044101433296582226
2008-07-01,9.72,10.84,9.65,10.76,26000,9.58,0.10495963091118798
2008-08-01,10.75,11.7,10.51,11.02,22100,9.86,0.029227557411273475
2008-09-02,11.26,13.0,10.56,11.99,25900,10.72,0.0872210953346857
2008-10-01,11.62,11.87,9.6,10.9,26800,9.75,-0.09048507462686572
2008-11-03,10.83,11.79,9.0,11.74,27300,10.55,0.0820512820512822
2008-12-01,11.35,11.9,9.66,11.86,19900,10.66,0.010426540284360186
2009-01-02,11.89,11.94,9.5,10.44,18000,9.38,-0.12007504690431514
2009-02-02,10.61,11.87,8.55,9.55,20600,8.63,-0.07995735607675902
2009-03-02,9.56,11.59,7.71,10.0,28300,9.03,0.04634994206257215
2009-04-01,10.09,11.75,10.02,10.98,14900,9.92,0.09856035437430788
2009-05-01,11.08,11.09,9.36,10.0,23300,9.08,-0.08467741935483875
2009-06-01,10.24,11.65,9.8,10.76,29300,9.77,0.07599118942731264
