Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,26.75,27.75,26.5,26.5,35100,2.33,0.0
1990-04-02,26.25,27.5,24.75,25.75,21100,2.3,-0.012875536480686844
1990-05-01,25.75,26.25,24.75,26.0,25300,2.32,0.008695652173912993
1990-06-01,26.0,26.25,24.75,25.25,19300,2.26,-0.025862068965517238
1990-07-02,25.0,26.5,24.5,25.25,26300,2.3,0.017699115044247815
1990-08-01,25.25,27.0,22.25,25.5,29300,2.32,0.008695652173912993
1990-09-04,25.25,28.25,25.25,27.0,24900,2.45,0.056034482758620774
1990-10-01,27.0,27.75,24.0,25.5,14000,2.36,-0.03673469387755113
1990-11-01,25.5,26.5,23.25,26.5,21600,2.45,0.038135593220339103
1990-12-03,26.25,26.75,25.25,26.75,15900,2.47,0.008163265306122547
1991-01-02,26.25,26.5,22.25,24.62,24000,2.32,-0.060728744939271384
1991-02-01,24.75,27.0,23.0,25.5,34800,2.4,0.034482758620689724
1991-03-01,25.5,29.0,24.25,29.0,35700,2.73,0.13749999999999996
1991-04-01,29.0,29.5,27.5,28.75,16100,2.75,0.0073260073260073
1991-05-01,28.12,31.25,27.5,30.0,26200,2.87,0.043636363636363695
1991-06-03,28.5,30.0,25.5,27.0,15400,2.58,-0.10104529616724744
1991-07-01,27.0,28.25,24.5,28.25,20500,2.75,0.06589147286821695
1991-08-01,27.5,29.5,26.0,26.0,24700,2.53,-0.08000000000000007
1991-09-03,27.0,28.0,25.0,28.0,35200,2.72,0.07509881422924924
1991-10-01,28.0,28.5,26.0,28.5,19700,2.82,0.03676470588235281
1991-11-01,27.0,28.5,26.75,27.75,15300,2.75,-0.024822695035460973
1991-12-02,27.0,28.75,26.0,28.0,20100,2.77,0.0072727272727273196
1992-01-02,28.0,29.25,26.25,27.25,26500,2.74,-0.010830324909747224
1992-02-03,29.25,29.75,27.25,29.75,32900,2.99,0.09124087591240881
1992-03-02,28.75,31.0,28.5,28.75,20400,2.89,-0.03344481605351168
1992-04-01,28.75,29.5,28.0,29.5,19300,3.02,0.04498269896193774
1992-05-01,29.25,33.25,29.0,31.25,22800,3.2,0.0596026490066226
1992-06-01,31.25,33.25,29.25,30.0,17500,3.07,-0.04062500000000013
1992-07-01,29.5,32.75,29.5,32.75,21400,3.4,0.10749185667752448
1992-08-03,33.5,34.25,31.5,31.5,24200,3.27,-0.038235294117647034
1992-09-01,32.25,33.0,30.25,31.0,17900,3.22,-0.015290519877675823
1992-10-01,30.25,32.5,29.25,31.0,13000,3.27,0.01552795031055898
1992-11-02,30.75,35.0,30.0,33.25,29800,3.5,0.07033639143730896
1992-12-01,34.75,35.0,30.5,33.0,23300,3.48,-0.005714285714285672
1993-01-04,33.25,37.0,32.5,35.5,28600,3.74,0.07471264367816088
1993-02-01,35.0,36.75,34.75,35.25,16700,3.76,0.0053475935828875
1993-03-01,36.75,37.25,34.75,35.0,16600,3.74,-0.005319148936170137
1993-04-01,34.75,36.5,32.75,34.25,21000,3.71,-0.008021390374331583
1993-05-03,32.25,36.75,32.25,35.5,26900,3.84,0.03504043126684642
1993-06-01,35.5,36.25,33.5,35.75,18300,3.87,0.0078125
1993-07-01,35.75,39.0,33.5,36.5,25900,4.01,0.036175710594315236
1993-08-02,39.0,40.5,36.5,40.5,12400,4.45,0.10972568578553621
1993-09-01,40.5,40.5,37.0,37.75,8500,4.14,-0.06966292134831475
1993-10-01,39.75,40.0,37.5,40.0,15600,4.44,0.07246376811594213
1993-11-01,39.0,40.0,37.5,39.0,11800,4.33,-0.024774774774774855
1993-12-01,37.75,41.25,37.5,40.0,11000,4.44,0.025404157043879882
1994-01-03,38.75,41.0,37.75,37.75,12800,4.25,-0.04279279279279291
