Date,Open,High,Low,Close,Volume,Adj Close,Return
1987-06-18,36.5,36.5,35.0,36.0,183400,0.55,0.0
1987-07-01,36.25,40.25,35.0,39.63,682600,0.6,0.09090909090909083
1987-08-03,39.38,45.0,39.38,44.5,535500,0.68,0.13333333333333353
1987-09-01,44.25,44.38,37.75,39.88,1594000,0.61,-0.10294117647058831
1987-10-01,40.38,40.38,24.75,27.0,605800,0.41,-0.3278688524590164
1987-11-02,27.0,28.25,23.5,24.25,615600,0.37,-0.09756097560975607
1987-12-01,24.0,32.38,22.0,31.0,818800,0.48,0.29729729729729737
1988-01-04,31.5,37.25,31.37,36.25,814300,0.56,0.16666666666666674
1988-02-01,36.5,37.88,36.0,37.88,840400,0.58,0.03571428571428559
1988-03-01,38.0,45.25,38.0,42.13,958300,0.65,0.12068965517241392
1988-04-04,42.25,43.25,39.5,40.13,338800,0.62,-0.04615384615384621
1988-05-02,40.38,40.75,18.0,20.75,396400,0.65,0.048387096774193505
1988-06-01,20.87,24.0,20.5,23.62,479200,0.73,0.12307692307692308
1988-07-01,23.75,25.75,21.25,21.5,396200,0.67,-0.08219178082191769
1988-08-01,21.5,21.62,18.0,19.0,305400,0.59,-0.11940298507462699
1988-09-01,18.75,19.75,17.75,19.62,434200,0.61,0.033898305084745894
1988-10-03,19.37,21.5,18.25,18.25,586200,0.57,-0.06557377049180335
1988-11-01,17.87,19.0,17.75,18.75,239300,0.59,0.03508771929824572
1988-12-01,18.62,20.75,18.25,20.75,221800,0.65,0.10169491525423746
1989-01-03,20.87,22.0,20.5,20.62,338400,0.65,0.0
1989-02-01,20.5,20.62,17.75,18.25,279600,0.58,-0.10769230769230775
1989-03-01,18.12,18.87,16.75,17.37,254700,0.55,-0.051724137931034364
1989-04-03,17.37,18.75,17.12,18.75,276400,0.59,0.07272727272727253
1989-05-01,18.75,19.0,17.62,18.12,253800,0.58,-0.016949152542372947
1989-06-01,18.5,18.5,16.5,16.75,353700,0.53,-0.08620689655172398
1989-07-03,16.75,17.87,16.5,17.25,387700,0.55,0.037735849056603765
1989-08-01,17.25,22.37,16.75,22.25,1316200,0.71,0.2909090909090908
1989-09-01,22.5,24.25,21.25,22.25,585400,0.71,0.0
1989-10-02,22.37,22.75,18.87,19.25,287400,0.61,-0.14084507042253513
1989-11-01,19.12,20.62,19.0,20.5,308000,0.66,0.08196721311475419
1989-12-01,20.5,22.25,19.87,22.25,268800,0.71,0.07575757575757569
1990-01-02,22.0,23.62,21.12,21.5,445400,0.69,-0.028169014084507116
1990-02-01,21.75,23.25,21.5,22.37,621200,0.72,0.04347826086956519
1990-03-01,22.37,25.12,22.37,24.0,353800,0.77,0.06944444444444442
1990-04-02,24.0,24.37,23.12,23.37,473500,0.75,-0.025974025974025983
1990-05-01,23.37,31.37,23.25,30.87,1238100,1.0,0.33333333333333326
1990-06-01,30.87,34.38,29.12,33.88,677000,1.1,0.10000000000000009
1990-07-02,34.0,35.0,29.75,30.75,603400,0.99,-0.10000000000000009
1990-08-01,30.62,30.75,24.5,26.5,463300,0.86,-0.13131313131313127
1990-09-04,26.5,29.25,26.5,28.12,716000,0.91,0.058139534883721034
1990-10-01,28.37,29.37,27.5,27.75,359000,0.9,-0.01098901098901095
1990-11-01,27.75,33.0,26.25,32.63,893300,1.06,0.1777777777777778
1990-12-03,32.5,34.25,31.75,32.75,531800,1.07,0.009433962264151052
1991-01-02,32.5,37.75,30.75,36.75,737700,1.2,0.12149532710280364
1991-02-01,37.0,38.0,35.0,36.75,964200,1.2,0.0
1991-03-01,36.5,40.38,36.0,39.38,625800,1.29,0.07500000000000018
1991-04-01,39.63,39.88,33.88,34.5,988100,1.13,-0.1240310077519381
1991-05-01,34.5,35.0,31.12,35.0,986900,1.15,0.017699115044247815
1991-06-03,35.0,36.13,33.5,33.88,349600,1.11,-0.03478260869565197
1991-07-01,33.88,36.38,33.88,35.13,478400,1.15,0.03603603603603589
1991-08-01,35.0,37.75,34.75,37.5,354000,1.23,0.06956521739130439
1991-09-03,37.25,38.63,36.75,38.5,340800,1.27,0.03252032520325199
1991-10-01,38.5,41.25,38.5,39.75,385000,1.31,0.03149606299212593
1991-11-01,39.75,40.0,35.5,37.75,332400,1.25,-0.04580152671755733
1991-12-02,37.5,39.75,36.88,38.0,288100,1.26,0.008000000000000007
1992-01-02,38.25,45.75,36.75,43.88,547700,1.45,0.1507936507936507
1992-02-03,43.88,47.5,43.0,43.75,523000,1.45,0.0
1992-03-02,43.63,43.88,40.0,41.38,229400,1.37,-0.055172413793103336
1992-04-01,41.13,45.0,40.63,44.88,374000,1.49,0.0875912408759123
1992-05-01,45.13,47.5,43.38,45.63,322400,1.52,0.020134228187919545
1992-06-01,45.63,46.5,42.0,43.25,250300,1.44,-0.052631578947368474
1992-07-01,43.5,45.38,28.0,30.25,324200,1.51,0.04861111111111116
1992-08-03,30.0,30.25,28.0,28.87,255700,1.44,-0.04635761589403975
1992-09-01,28.87,34.5,28.62,34.5,313900,1.73,0.20138888888888884
1992-10-01,34.25,38.0,32.75,37.75,324300,1.89,0.09248554913294793
1992-11-02,37.75,38.25,34.0,36.0,383700,1.81,-0.042328042328042215
1992-12-01,36.0,37.5,34.5,37.38,380200,1.88,0.03867403314917128
1993-01-04,37.13,38.5,36.38,38.25,249400,1.92,0.02127659574468077
1993-02-01,38.13,40.38,36.0,36.13,269800,1.82,-0.05208333333333326
1993-03-01,35.88,35.88,33.5,34.38,364100,1.73,-0.0494505494505495
1993-04-01,34.13,35.5,33.25,34.13,190700,1.72,-0.005780346820809301
1993-05-03,34.13,37.75,34.13,37.75,212200,1.9,0.10465116279069764
1993-06-01,37.5,38.38,35.38,37.5,371800,1.89,-0.0052631578947368585
1993-07-01,37.25,37.88,36.13,37.13,106200,1.87,-0.01058201058201047
1993-08-02,37.25,39.88,37.0,39.38,156500,1.99,0.06417112299465244
1993-09-01,39.25,39.88,36.63,39.0,466500,1.97,-0.01005025125628145
1993-10-01,38.88,43.38,38.63,42.13,269700,2.13,0.08121827411167515
1993-11-01,41.88,43.25,40.88,41.25,214500,2.09,-0.018779342723004744
