Date,Open,High,Low,Close,Volume,Adj Close,Return
2002-04-09,30.1,31.6,28.31,31.45,636200,6.59,0.0
2002-05-01,31.45,32.36,29.65,30.7,757600,6.44,-0.022761760242792084
2002-06-03,30.6,31.1,28.32,30.6,535100,6.44,0.0
2002-07-01,30.55,31.9,23.5,28.32,661700,5.96,-0.07453416149068326
2002-08-01,27.8,30.96,27.45,29.4,1092200,6.19,0.038590604026845776
2002-09-03,29.18,30.38,28.35,30.1,449300,6.36,0.02746365105008075
2002-10-01,30.11,30.19,25.57,29.1,719100,6.14,-0.03459119496855356
2002-11-01,29.1,29.16,26.19,27.21,765500,5.75,-0.06351791530944617
2002-12-02,27.3,32.29,27.06,31.1,745900,6.59,0.1460869565217391
2003-01-02,31.13,31.92,29.91,31.41,787200,6.65,0.009104704097116834
2003-02-03,31.16,33.5,30.15,32.83,931000,6.96,0.046616541353383445
2003-03-03,32.63,33.5,31.31,32.36,710800,6.88,-0.011494252873563204
2003-04-01,32.06,33.52,30.45,32.9,716900,6.99,0.015988372093023395
2003-05-01,33.0,37.07,32.95,36.65,634400,7.79,0.11444921316165946
2003-06-02,37.0,39.63,36.83,38.37,1014600,8.17,0.04878048780487809
2003-07-01,38.37,38.37,34.0,34.54,1210000,7.36,-0.09914320685434508
2003-08-01,34.75,37.87,34.61,37.45,696100,7.98,0.0842391304347827
2003-09-02,37.29,37.6,35.14,36.38,873100,7.77,-0.026315789473684292
2003-10-01,36.47,38.22,34.09,34.37,1064000,7.34,-0.05534105534105527
2003-11-03,34.43,36.75,33.46,36.73,1085800,7.85,0.06948228882833796
2003-12-01,36.57,40.08,36.2,39.44,1049400,8.45,0.07643312101910826
2004-01-02,39.77,43.43,39.0,39.1,990500,8.37,-0.009467455621301801
2004-02-02,38.95,43.6,38.36,43.45,1179100,9.31,0.11230585424133821
2004-03-01,43.71,44.25,40.62,43.12,909300,9.26,-0.00537056928034374
2004-04-01,43.25,44.73,39.18,39.22,1346600,8.42,-0.09071274298056153
