Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-10-01,3.96,4.34,1.98,2.45,257700,0.8,0.0
1990-11-01,2.36,3.49,2.36,3.11,415900,1.01,0.26249999999999996
1990-12-03,3.11,3.96,2.83,3.87,244400,1.26,0.24752475247524752
1991-01-02,3.78,5.95,3.4,5.95,267600,1.93,0.5317460317460316
1991-02-01,5.95,5.95,5.0,5.47,105400,1.78,-0.07772020725388595
1991-03-01,5.57,6.23,5.29,5.85,94100,1.9,0.0674157303370786
1991-04-01,5.76,6.7,5.0,5.1,87200,1.66,-0.12631578947368416
1991-05-01,5.1,5.66,4.63,5.1,74700,1.66,0.0
1991-06-03,5.0,5.38,4.44,4.91,104900,1.6,-0.036144578313252906
1991-07-01,5.1,5.57,4.53,5.0,79800,1.63,0.018749999999999822
1991-08-01,4.91,5.1,4.34,4.44,66400,1.44,-0.1165644171779141
1991-09-03,4.44,4.72,4.34,4.53,50400,1.47,0.02083333333333326
1991-10-01,4.63,5.38,3.96,5.29,80000,1.72,0.17006802721088432
1991-11-01,5.19,6.04,4.81,5.0,85000,1.63,-0.05232558139534893
1991-12-02,4.91,5.76,4.72,5.57,54800,1.81,0.11042944785276076
1992-01-02,5.57,6.32,5.1,5.66,83500,1.84,0.016574585635359185
1992-02-03,5.66,6.61,5.47,5.85,77600,1.9,0.032608695652173836
1992-03-02,5.85,5.95,4.72,4.72,52200,1.53,-0.1947368421052631
1992-04-01,4.81,5.57,4.81,5.1,53900,1.66,0.08496732026143783
1992-05-01,5.1,5.47,4.91,5.1,44600,1.66,0.0
1992-06-01,5.0,5.38,4.91,5.19,39300,1.69,0.01807228915662651
1992-07-01,5.19,5.38,4.91,5.0,26400,1.63,-0.03550295857988173
1992-08-03,5.0,5.66,4.81,5.47,40700,1.78,0.09202453987730075
1992-09-01,5.47,6.04,4.63,4.81,52100,1.57,-0.1179775280898876
1992-10-01,5.0,5.76,4.72,5.47,28300,1.78,0.13375796178343946
1992-11-02,5.38,5.95,5.0,5.0,47800,1.63,-0.08426966292134841
1992-12-01,5.0,6.42,4.81,6.23,78900,2.03,0.24539877300613488
1993-01-04,6.14,6.14,5.66,5.95,35000,1.93,-0.049261083743842304
1993-02-01,6.04,6.04,5.29,5.66,21300,1.84,-0.04663212435233155
1993-03-01,5.66,6.04,5.57,5.95,33500,1.93,0.048913043478260754
1993-04-01,5.95,6.32,5.76,6.23,43400,2.03,0.051813471502590636
1993-05-03,6.42,6.98,6.23,6.61,51900,2.15,0.05911330049261099
1993-06-01,6.7,7.74,6.7,7.36,79800,2.39,0.1116279069767443
1993-07-01,7.36,8.21,7.08,7.83,38900,2.55,0.06694560669456062
1993-08-02,7.93,8.02,6.98,6.98,31600,2.27,-0.1098039215686274
1993-09-01,6.98,7.36,6.8,7.27,18700,2.36,0.03964757709251088
1993-10-01,7.27,7.55,7.17,7.46,15300,2.43,0.029661016949152685
