Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,12.74,12.93,12.28,12.84,16000,4.97,0.0
1995-09-01,12.74,13.48,12.65,13.33,14200,5.33,0.07243460764587528
1995-10-02,13.23,13.99,12.95,13.8,12700,5.52,0.03564727954971847
1995-11-01,13.9,14.46,13.8,14.09,10700,5.63,0.019927536231884035
1995-12-01,14.18,14.94,13.99,14.88,12600,6.12,0.08703374777975137
1996-01-02,14.78,15.55,14.49,15.46,31500,6.36,0.03921568627450989
1996-02-01,15.46,16.42,15.27,15.65,31900,6.44,0.012578616352201255
1996-03-01,15.65,16.37,15.17,16.37,14400,6.91,0.07298136645962727
1996-04-01,16.17,16.37,15.48,16.27,11800,6.87,-0.005788712011577379
1996-05-01,16.17,16.67,15.28,16.37,14800,6.91,0.005822416302765587
1996-06-03,16.37,17.99,16.17,17.29,30500,7.49,0.08393632416787256
1996-07-01,17.19,18.8,17.19,17.89,22600,7.75,0.03471295060080104
1996-08-01,18.1,19.7,18.1,19.2,93600,8.31,0.07225806451612904
1996-09-03,19.0,20.36,18.8,20.36,48400,9.01,0.08423586040914555
1996-10-01,20.36,21.39,20.16,21.18,49300,9.37,0.039955604883462836
1996-11-01,21.28,23.54,20.98,22.51,41900,9.96,0.06296691568836721
1996-12-02,22.51,24.41,22.0,24.41,84900,11.01,0.10542168674698793
1997-01-02,24.52,24.83,23.17,24.31,75500,10.96,-0.004541326067211582
1997-02-03,24.41,25.24,24.21,24.93,71400,11.24,0.025547445255474477
1997-03-03,24.93,26.03,23.89,25.18,57300,11.55,0.02758007117437722
1997-04-01,24.97,26.03,23.29,24.66,56800,11.31,-0.020779220779220786
1997-05-01,24.55,25.61,24.24,24.97,37900,11.45,0.012378426171529622
1997-06-02,24.97,27.68,23.81,27.47,57000,12.81,0.11877729257641922
1997-07-01,27.47,28.32,26.4,28.06,43100,13.09,0.021857923497267784
1997-08-01,28.16,28.22,26.08,27.36,54200,12.76,-0.025210084033613467
1997-09-02,27.47,30.27,26.93,30.16,65200,14.29,0.1199059561128526
1997-10-01,30.05,32.49,28.43,29.67,32100,14.05,-0.01679496151154647
1997-11-03,29.62,31.3,29.56,31.3,22300,14.82,0.054804270462633475
1997-12-01,31.41,31.41,28.81,30.72,91400,14.77,-0.003373819163292935
1998-01-02,30.56,30.67,29.95,30.23,36900,14.54,-0.015572105619499066
1998-02-02,30.12,30.28,28.36,28.42,91300,13.67,-0.05983493810178808
1998-03-02,28.36,30.53,28.31,30.53,57800,14.91,0.0907095830285296
1998-04-01,30.3,30.69,29.03,29.36,66600,14.34,-0.0382293762575453
1998-05-01,29.25,30.08,28.36,28.91,41300,14.12,-0.015341701534170249
1998-06-01,28.86,29.47,26.86,28.03,32700,13.94,-0.012747875354107596
1998-07-01,27.91,30.29,27.46,27.46,49300,13.66,-0.020086083213773254
1998-08-03,27.35,28.54,25.54,25.71,36100,12.78,-0.06442166910688141
1998-09-01,25.94,29.44,24.35,28.47,40000,14.41,0.1275430359937404
1998-10-01,28.42,29.05,26.75,28.82,33800,14.58,0.01179736294240108
1998-11-02,28.93,29.1,27.44,28.42,35000,14.38,-0.013717421124828433
1998-12-01,28.47,29.16,26.41,27.8,56500,14.34,-0.002781641168289384
1999-01-04,27.69,28.5,26.63,26.75,46300,13.79,-0.038354253835425456
1999-02-01,26.75,27.16,25.7,26.4,48300,13.61,-0.013052936910804891
1999-03-01,26.58,26.63,24.46,24.88,53400,13.09,-0.038207200587803025
1999-04-01,24.82,30.35,24.82,30.05,80100,15.81,0.20779220779220786
1999-05-03,30.05,32.02,30.05,30.59,86000,16.09,0.017710309930423662
1999-06-01,30.41,34.37,29.99,34.25,90700,18.33,0.13921690490988192
1999-07-01,34.0,34.0,32.31,32.67,42300,17.49,-0.04582651391162029
1999-08-02,32.79,34.0,31.46,33.52,50300,17.94,0.025728987993139052
1999-09-01,33.76,34.36,32.13,34.36,45200,18.7,0.04236343366778139
1999-10-01,34.3,34.36,31.6,32.03,42400,17.43,-0.06791443850267376
1999-11-01,32.21,33.62,31.53,31.9,37100,17.36,-0.004016064257028162
1999-12-01,31.72,34.0,28.58,34.0,53300,18.82,0.08410138248847931
2000-01-03,33.88,34.5,32.56,34.0,39100,18.82,0.0
2000-02-01,34.0,35.25,33.81,35.25,35400,19.51,0.03666312433581309
2000-03-01,35.12,36.31,34.94,36.0,62100,20.23,0.03690415171706807
2000-04-03,36.13,38.69,36.0,38.62,81800,21.71,0.07315867523479991
2000-05-01,38.69,41.62,38.5,39.81,56800,22.38,0.03086135421464764
2000-06-01,39.81,44.0,39.69,42.02,51800,23.95,0.07015192135835568
2000-07-03,42.0,49.62,42.0,49.25,85400,28.07,0.17202505219206676
2000-08-01,49.44,52.0,49.06,49.19,70400,28.03,-0.0014250089063055915
2000-09-01,49.12,56.5,48.81,55.38,70000,31.92,0.1387798787013914
2000-10-02,55.62,56.06,51.94,52.0,59300,29.97,-0.06109022556390986
2000-11-01,52.0,53.5,50.5,52.56,44800,30.3,0.011011011011011096
2000-12-01,52.44,57.75,52.44,54.75,43700,31.91,0.053135313531353034
2001-01-02,54.75,55.94,50.5,51.75,57100,30.16,-0.054841742400501436
2001-02-01,52.0,53.2,49.05,50.15,102100,29.23,-0.030835543766578266
2001-03-01,50.05,52.14,46.96,48.05,52300,28.41,-0.028053369825521757
2001-04-02,48.15,48.5,42.28,47.0,122100,27.79,-0.021823301654347094
2001-05-01,47.25,48.0,46.32,47.0,69500,27.79,0.0
2001-06-01,47.0,50.97,46.97,49.55,73900,29.71,0.06908960057574665
2001-07-02,49.65,51.29,48.55,50.9,50500,30.52,0.027263547627061513
2001-08-01,51.05,54.67,51.0,52.1,53700,31.24,0.023591087811271283
2001-09-04,52.0,52.28,47.0,49.1,69800,29.88,-0.04353393085787449
2001-10-01,49.2,51.05,45.8,46.85,166600,28.51,-0.04585006693440419
2001-11-01,47.0,48.75,45.5,47.68,102300,29.01,0.017537706068046388
2001-12-03,47.5,50.05,47.5,49.41,81900,30.49,0.051016890727335396
2002-01-02,49.5,49.84,46.0,46.34,54200,28.6,-0.061987536897343265
2002-02-04,46.35,47.81,46.0,47.4,75500,29.25,0.022727272727272707
2002-03-01,47.4,53.97,47.4,52.18,83900,32.67,0.11692307692307691
2002-04-01,52.18,55.49,51.0,52.0,169800,32.56,-0.0033670033670033517
2002-05-01,52.0,53.2,49.76,52.15,66000,32.65,0.0027641277641277107
2002-06-03,52.2,56.08,51.49,54.7,101500,34.73,0.06370597243491583
2002-07-01,54.52,54.75,43.65,51.0,143000,32.38,-0.06766484307515097
2002-08-01,51.2,53.8,49.35,52.8,94600,33.52,0.03520691785052499
2002-09-03,52.81,52.98,49.08,49.44,99600,31.88,-0.04892601431980914
2002-10-01,49.5,49.5,44.72,47.46,116900,30.61,-0.039836888331242104
2002-11-01,47.3,51.5,47.01,51.0,79400,32.89,0.07448546226723307
2002-12-02,51.2,52.15,49.6,50.85,97600,33.29,0.012161751292186107
2003-01-02,51.0,52.07,49.0,50.48,94300,33.04,-0.007509762691498945
2003-02-03,50.6,51.2,49.55,50.95,90700,33.35,0.009382566585956376
2003-03-03,51.15,54.91,50.1,52.25,95200,34.71,0.040779610194902505
2003-04-01,52.25,56.69,52.2,54.97,107500,36.52,0.052146355517142196
2003-05-01,55.05,58.71,54.19,56.99,91900,37.86,0.0366922234392113
2003-06-02,56.97,59.4,56.33,57.25,93800,38.55,0.018225039619651273
2003-07-01,57.1,61.33,56.67,60.6,145200,40.81,0.05862516212710789
