Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-08-17,6.0,6.0,5.38,5.38,70400,1.79,0.0
1992-09-01,5.75,6.0,5.0,5.62,67300,1.88,0.05027932960893855
1992-10-01,5.87,6.25,5.38,5.87,40300,1.96,0.042553191489361764
1992-11-02,6.0,6.88,5.0,6.88,117300,2.29,0.16836734693877564
1992-12-01,6.88,7.5,6.5,7.12,38700,2.38,0.0393013100436681
1993-01-04,6.75,7.12,6.38,6.62,84500,2.21,-0.0714285714285714
1993-02-01,6.62,7.12,5.75,6.0,64200,2.0,-0.09502262443438914
1993-03-01,6.0,6.25,5.5,5.62,23300,1.88,-0.06000000000000005
1993-04-01,5.62,5.62,4.12,4.25,39800,1.42,-0.24468085106382975
1993-05-03,4.25,5.0,3.75,4.88,93300,1.62,0.14084507042253525
1993-06-01,5.0,5.25,4.0,4.25,107900,1.42,-0.1234567901234569
1993-07-01,4.37,4.37,3.75,4.25,52400,1.42,0.0
1993-08-02,4.12,4.25,3.56,3.88,135300,1.29,-0.09154929577464777
1993-09-01,3.88,4.12,3.13,3.62,128300,1.21,-0.06201550387596899
1993-10-01,3.62,3.88,3.5,3.62,109200,1.21,0.0
1993-11-01,3.69,4.12,3.25,3.5,89000,1.17,-0.03305785123966942
1993-12-01,3.75,4.0,3.5,3.88,90500,1.29,0.10256410256410264
1994-01-03,3.88,4.37,3.62,4.25,90800,1.42,0.10077519379844957
1994-02-01,4.12,4.12,3.25,3.69,51200,1.23,-0.13380281690140838
1994-03-01,3.75,4.5,3.62,4.31,92000,1.44,0.1707317073170731
1994-04-04,4.25,4.37,3.88,4.25,73200,1.42,-0.01388888888888895
1994-05-02,4.12,4.63,4.0,4.56,60700,1.52,0.07042253521126773
1994-06-01,4.63,4.75,3.5,3.62,67900,1.21,-0.20394736842105265
1994-07-01,3.75,4.12,3.38,4.12,37900,1.38,0.14049586776859502
1994-08-01,4.12,4.12,3.5,3.88,26600,1.29,-0.06521739130434778
1994-09-01,3.62,4.0,3.62,4.0,48700,1.33,0.03100775193798455
1994-10-03,4.0,4.0,3.5,3.88,40700,1.29,-0.03007518796992481
1994-11-01,3.62,4.0,3.62,3.88,36700,1.29,0.0
1994-12-01,4.0,4.0,3.38,3.5,47700,1.17,-0.09302325581395354
1995-01-03,3.75,4.0,3.5,3.69,32700,1.23,0.05128205128205132
1995-02-01,3.75,4.0,3.62,4.0,39400,1.33,0.08130081300813008
1995-03-01,3.94,4.0,3.13,3.25,24600,1.08,-0.18796992481203012
1995-04-03,3.31,3.5,3.0,3.31,42700,1.1,0.0185185185185186
1995-05-01,3.25,3.44,3.13,3.13,24500,1.04,-0.054545454545454564
1995-06-01,3.13,3.75,3.13,3.5,49200,1.17,0.125
1995-07-03,3.38,3.5,3.0,3.5,40100,1.17,0.0
1995-08-01,3.25,3.5,3.13,3.13,16800,1.04,-0.11111111111111105
1995-09-01,3.38,4.63,3.13,3.44,161000,1.15,0.10576923076923062
1995-10-03,3.25,4.12,3.13,3.88,49400,1.29,0.1217391304347828
1995-11-01,3.88,4.12,3.62,3.75,36600,1.25,-0.03100775193798455
1995-12-01,3.75,4.25,3.75,4.25,60500,1.42,0.1359999999999999
1996-01-02,4.25,4.25,3.62,3.69,26900,1.23,-0.13380281690140838
1996-02-01,3.75,6.25,3.62,5.5,408800,1.83,0.4878048780487805
1996-03-01,5.44,6.06,4.81,5.19,206500,1.73,-0.05464480874316946
1996-04-01,5.12,5.62,4.25,5.62,106800,1.88,0.08670520231213863
1996-05-01,5.62,6.13,4.75,6.0,161800,2.0,0.06382978723404253
1996-06-03,5.87,6.38,5.25,5.5,142900,1.83,-0.08499999999999996
1996-07-01,5.62,5.87,4.63,4.75,58600,1.58,-0.13661202185792354
1996-08-01,4.75,5.12,4.69,5.0,64600,1.67,0.056962025316455556
1996-09-03,4.75,5.87,4.75,5.69,123400,1.9,0.13772455089820368
1996-10-01,5.87,6.0,5.19,5.25,100700,1.75,-0.07894736842105254
1996-11-01,5.38,5.87,5.12,5.25,98900,1.75,0.0
1996-12-02,5.12,6.69,5.12,6.13,114700,2.04,0.1657142857142857
1997-01-02,6.0,6.94,5.5,6.73,148000,2.24,0.0980392156862746
1997-02-03,6.75,7.0,6.38,6.5,105800,2.17,-0.03125000000000011
1997-03-03,6.5,6.75,5.75,5.75,71700,1.92,-0.11520737327188946
1997-04-01,5.75,6.25,5.16,5.87,47400,1.96,0.02083333333333326
1997-05-01,5.75,6.38,5.75,6.0,46800,2.0,0.020408163265306145
1997-06-02,5.94,6.25,5.69,5.78,105600,1.93,-0.03500000000000003
1997-07-01,5.69,6.31,5.5,6.0,92200,2.0,0.0362694300518136
1997-08-01,5.87,7.37,5.81,6.88,79000,2.29,0.14500000000000002
1997-09-02,6.56,8.5,6.5,7.88,92000,2.62,0.14410480349344978
1997-10-01,7.88,8.69,7.25,8.0,56200,2.67,0.01908396946564883
1997-11-03,8.12,8.62,7.88,8.12,38100,2.71,0.014981273408239737
1997-12-01,8.25,8.25,7.37,7.75,21400,2.58,-0.047970479704797064
1998-01-02,7.5,7.75,6.69,7.16,97000,2.39,-0.0736434108527132
1998-02-02,7.25,8.0,7.12,7.63,38600,2.54,0.06276150627615062
1998-03-02,7.75,8.38,7.69,8.12,52600,2.71,0.0669291338582676
1998-04-01,8.25,9.38,8.25,9.0,57900,3.0,0.10701107011070121
1998-05-01,9.0,12.94,9.0,11.12,113700,3.71,0.23666666666666658
