Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-02-25,30.0,31.0,30.0,31.0,800,24.76,0.0
1992-03-02,31.0,32.0,30.0,30.5,1900,24.47,-0.011712439418416931
1992-04-01,30.5,33.0,30.5,32.25,2700,25.87,0.05721291377196569
1992-05-01,32.25,34.5,31.5,34.0,3400,27.27,0.054116737533822956
1992-06-01,33.75,36.5,33.75,36.5,1400,29.38,0.07737440410707741
1992-07-01,35.0,36.5,35.0,35.25,4200,28.38,-0.03403675970047648
1992-08-03,36.13,40.0,35.25,39.88,3700,32.1,0.13107822410148007
1992-09-01,39.63,42.0,39.0,42.0,2000,33.92,0.056697819314641684
1992-10-01,41.0,47.5,41.0,47.5,5900,38.36,0.13089622641509435
1992-11-02,47.5,48.5,45.5,46.0,12100,37.15,-0.03154327424400416
1992-12-01,45.5,52.0,45.5,50.75,6800,41.11,0.10659488559892338
1993-01-04,52.0,60.5,49.5,59.5,10800,48.2,0.17246412065190952
1993-02-01,59.0,63.5,55.0,58.5,10000,47.39,-0.016804979253112085
1993-03-01,58.5,58.5,52.0,54.0,7500,43.86,-0.07448828866849544
1993-04-01,53.0,57.0,49.5,51.0,9200,41.42,-0.055631554947560335
1993-05-03,52.0,53.0,49.0,50.5,2300,41.02,-0.009657170449058339
1993-06-01,49.0,50.0,45.5,48.0,6300,39.12,-0.04631886884446623
1993-07-01,48.5,49.0,47.5,49.0,3900,39.93,0.020705521472392796
1993-08-02,48.38,50.0,47.75,49.0,2900,39.93,0.0
1993-09-01,50.0,50.0,48.0,49.5,4000,40.46,0.01327322814926113
1993-10-01,48.0,49.5,48.0,49.5,4100,40.46,0.0
1993-11-01,49.5,49.5,46.5,48.0,3700,39.24,-0.03015323776569445
1993-12-01,48.0,48.0,44.5,46.5,3500,38.16,-0.027522935779816682
1994-01-03,44.5,45.0,41.5,44.5,11700,36.51,-0.04323899371069184
1994-02-01,43.0,45.0,42.5,44.5,5000,36.51,0.0
1994-03-01,42.5,44.5,40.0,40.0,11200,32.96,-0.09723363462065182
1994-04-04,40.0,44.0,40.0,43.0,3600,35.43,0.0749393203883495
1994-05-02,42.0,43.5,42.0,42.0,2800,34.61,-0.02314422805532035
1994-06-01,42.0,44.5,41.5,44.5,4100,36.82,0.06385437734758748
1994-07-01,42.5,44.5,41.0,41.0,4500,33.92,-0.07876154263986956
1994-08-01,41.5,44.5,41.0,44.5,3700,36.82,0.08549528301886777
1994-09-01,43.5,45.5,43.0,45.5,9000,37.79,0.026344378055404682
1994-10-03,44.5,46.0,44.0,44.75,3000,37.17,-0.01640645673458585
1994-11-01,46.0,46.5,43.5,43.5,2500,36.13,-0.027979553403282176
1994-12-01,43.0,44.5,41.5,43.5,4500,36.3,0.0047052311098807476
1995-01-03,42.0,45.5,42.0,45.5,5700,37.97,0.04600550964187322
1995-02-01,44.0,45.5,44.0,45.0,2200,37.55,-0.011061364234922322
1995-03-01,44.5,46.0,43.5,45.0,5100,37.72,0.004527296937416825
1995-04-03,44.5,47.0,44.0,47.0,3800,39.4,0.044538706256627814
1995-05-01,45.75,48.25,45.75,48.0,4000,40.24,0.02131979695431485
1995-06-01,48.0,50.0,48.0,49.5,4900,41.67,0.035536779324055745
1995-07-03,49.5,50.0,48.0,49.0,5100,41.24,-0.010319174466042691
