Date,Open,High,Low,Close,Volume,Adj Close,Return
1993-03-04,27.5,29.0,27.5,29.0,3900,7.56,0.0
1993-04-01,29.0,29.0,27.5,28.5,2900,7.43,-0.01719576719576721
1993-05-03,27.87,29.0,27.5,28.25,900,7.43,0.0
1993-06-01,28.25,28.25,26.5,27.25,600,7.17,-0.03499327052489898
1993-07-01,27.25,29.0,26.5,29.0,2800,7.63,0.0641562064156207
1993-08-02,28.0,30.5,28.0,30.5,3100,8.1,0.0615989515072084
1993-09-01,29.75,33.0,29.0,33.0,3800,8.76,0.08148148148148149
1993-10-01,32.0,34.0,31.5,34.0,6000,9.03,0.03082191780821919
1993-11-01,34.0,35.0,33.5,33.5,8100,9.05,0.0022148394241419123
1993-12-01,33.75,34.5,32.5,33.75,2500,9.12,0.007734806629834168
1994-01-03,33.38,35.0,32.5,35.0,6700,9.46,0.037280701754386136
1994-02-01,35.0,35.5,34.0,35.0,4100,9.53,0.007399577167018778
1994-03-01,35.0,39.5,34.5,39.0,8600,10.62,0.11437565582371456
1994-04-04,38.0,41.0,37.0,37.0,4600,10.08,-0.05084745762711862
1994-05-02,38.5,43.0,37.0,41.5,8100,11.39,0.12996031746031744
1994-06-01,41.5,41.5,37.5,39.0,4500,10.71,-0.05970149253731338
1994-07-01,39.0,39.0,37.0,38.0,1800,10.43,-0.026143790849673332
1994-08-01,37.75,40.5,36.88,40.5,3600,11.21,0.07478427612655802
1994-09-01,40.5,41.25,39.5,40.5,2900,11.21,0.0
1994-10-03,40.5,40.5,39.0,40.0,1500,11.07,-0.012488849241748534
1994-11-01,40.0,40.0,37.0,38.0,2300,10.6,-0.042457091237579125
1994-12-01,36.5,37.75,36.5,37.75,2200,10.53,-0.006603773584905714
1995-01-03,37.5,38.0,37.25,38.0,1200,10.6,0.006647673314339908
1995-02-01,37.25,38.0,36.0,36.25,3200,10.19,-0.038679245283018915
1995-03-01,35.5,36.5,35.5,36.0,2100,10.12,-0.006869479882237517
1995-04-03,36.0,37.0,35.5,37.0,2500,10.4,0.027667984189723382
1995-05-01,36.0,36.5,34.0,34.0,2500,9.64,-0.07307692307692304
1995-06-01,33.0,34.0,32.5,32.5,6400,9.22,-0.04356846473029041
1995-07-03,33.0,36.75,33.0,36.75,1000,10.42,0.13015184381778733
1995-08-01,36.75,39.5,36.75,39.0,3000,11.15,0.07005758157389641
1995-09-01,39.0,39.0,37.0,37.75,3000,10.8,-0.03139013452914796
1995-10-02,37.75,38.5,37.0,37.0,3200,10.58,-0.020370370370370483
1995-11-01,38.0,38.0,37.0,38.0,1700,10.97,0.036862003780718355
1995-12-01,37.5,43.5,37.5,41.0,10500,11.84,0.07930720145852321
1996-01-02,41.0,42.5,40.5,41.5,1700,11.98,0.011824324324324342
1996-02-01,40.0,41.5,40.0,41.25,2000,12.02,0.0033388981636059967
1996-03-01,41.25,41.25,38.5,39.5,3100,11.51,-0.04242928452579031
1996-04-01,40.5,41.5,39.5,41.5,1300,12.09,0.05039096437880097
1996-05-01,41.5,41.5,38.25,38.5,2400,11.32,-0.06368899917287008
1996-06-03,38.5,40.25,33.0,34.5,10600,10.14,-0.10424028268551233
1996-07-01,34.56,40.25,34.5,40.0,9200,11.76,0.15976331360946738
1996-08-01,40.5,40.5,39.0,39.0,9200,11.57,-0.016156462585034004
1996-09-03,39.5,40.5,39.0,40.5,3600,12.01,0.03802938634399311
1996-10-01,40.5,41.0,39.75,39.75,800,11.79,-0.01831806827643634
1996-11-01,39.75,40.75,39.25,40.0,400,11.99,0.016963528413910245
1996-12-02,39.25,41.25,39.25,40.75,1400,12.21,0.01834862385321112
1997-01-02,41.0,41.5,40.0,41.0,3500,12.29,0.006552006552006384
1997-02-03,41.0,42.0,40.0,40.5,2300,12.26,-0.0024410089503661414
1997-03-03,41.0,41.5,40.25,40.5,2900,12.26,0.0
1997-04-01,40.25,41.0,39.5,39.5,900,11.96,-0.02446982055464919
1997-05-01,39.5,41.5,39.5,41.0,1300,12.54,0.04849498327759183
1997-06-02,40.5,42.0,40.5,41.5,3200,12.69,0.011961722488038395
1997-07-01,41.5,51.5,40.5,47.0,3700,14.37,0.13238770685579193
1997-08-01,50.5,50.5,46.5,46.5,400,14.34,-0.0020876826722338038
1997-09-02,46.5,53.0,46.5,51.5,4300,15.88,0.10739191073919119
1997-10-01,51.5,61.75,51.5,60.0,4800,18.51,0.1656171284634762
1997-11-03,61.0,69.0,61.0,67.5,3300,20.96,0.13236088600756335
1997-12-01,67.5,69.5,64.0,64.0,2400,19.88,-0.05152671755725202
1998-01-02,62.0,62.5,57.0,62.5,3100,19.41,-0.023641851106639744
1998-02-02,61.56,64.0,60.0,62.5,4700,19.56,0.007727975270479082
1998-03-02,64.0,71.0,62.13,71.0,3300,22.22,0.13599182004089982
1998-04-01,71.0,80.62,70.25,80.62,4300,25.23,0.13546354635463564
1998-05-01,80.37,101.0,78.0,91.16,5100,28.68,0.1367419738406659
1998-06-01,91.0,100.19,87.5,97.5,13900,30.68,0.06973500697350077
1998-07-01,96.5,96.62,36.5,38.88,3600,24.47,-0.20241199478487615
1998-08-03,39.0,42.0,33.0,34.0,4000,21.54,-0.1197384552513282
1998-09-01,33.0,40.0,31.0,35.06,2900,22.22,0.03156917363045486
1998-10-01,35.0,35.81,29.0,35.25,13100,22.34,0.005400540054005365
1998-11-02,35.0,37.0,34.0,35.13,6100,22.44,0.004476275738585667
1998-12-01,35.5,37.5,34.25,37.5,6800,23.95,0.0672905525846701
1999-01-04,37.0,39.38,36.0,36.0,2600,22.99,-0.040083507306889365
1999-02-01,37.25,38.0,32.88,33.44,2900,21.54,-0.06307090039147456
1999-03-01,32.75,35.25,30.87,33.0,2600,21.25,-0.01346332404828221
1999-04-01,33.0,36.63,32.13,35.88,4600,23.11,0.08752941176470586
1999-05-03,35.63,36.0,34.13,34.38,1300,22.33,-0.03375162267416709
1999-06-01,34.38,36.38,33.88,35.5,5500,23.05,0.032243618450515044
1999-07-01,35.5,37.88,34.5,35.75,5100,23.21,0.00694143167028205
1999-08-02,35.5,37.88,34.75,35.38,2800,23.16,-0.0021542438604050806
1999-09-01,35.13,43.5,35.13,35.75,6100,23.4,0.010362694300518172
1999-10-01,35.5,36.0,34.5,34.75,1600,22.75,-0.02777777777777768
1999-11-01,35.13,36.0,32.25,34.0,4500,22.44,-0.013626373626373534
1999-12-01,33.75,36.0,30.0,30.12,7700,19.88,-0.11408199643493766
2000-01-03,31.0,32.5,27.25,29.25,5000,19.31,-0.028672032193158947
2000-02-01,29.25,32.38,29.25,30.5,7300,20.33,0.05282237182806826
2000-03-01,31.0,34.0,29.59,34.0,5700,22.66,0.1146089522872602
2000-04-03,31.5,34.0,29.5,33.0,3600,21.99,-0.029567519858782032
2000-05-01,32.69,33.75,29.25,30.0,8600,20.17,-0.0827648931332422
2000-06-01,32.0,33.88,28.5,30.37,6500,20.42,0.012394645513138292
2000-07-03,30.37,33.75,29.25,30.81,8300,20.72,0.014691478942213454
2000-08-01,30.81,37.0,30.44,36.13,14000,24.49,0.1819498069498069
2000-09-01,36.17,37.5,34.63,35.94,8100,24.36,-0.005308289097590846
2000-10-02,35.5,37.5,32.63,34.75,11900,23.56,-0.03284072249589498
2000-11-01,34.75,36.56,34.56,34.56,1400,23.63,0.0029711375212224667
2000-12-01,35.0,36.0,27.0,27.62,8700,18.89,-0.2005924672027084
2001-01-02,30.0,33.5,29.19,32.25,6500,22.05,0.16728427739544727
