Date,Open,High,Low,Close,Volume,Adj Close,Return
2003-10-07,31.76,34.01,31.76,33.5,5500,11.41,0.0
2003-11-03,33.5,34.4,32.0,34.38,4600,11.71,0.026292725679228912
2003-12-01,34.38,36.5,33.5,35.75,5000,12.25,0.0461144321093081
2004-01-02,35.76,37.75,35.73,37.26,4200,12.77,0.0424489795918368
2004-02-02,37.26,37.26,34.25,35.9,3500,12.3,-0.03680501174628026
2004-03-01,35.9,36.5,35.0,35.25,2100,12.15,-0.012195121951219523
2004-04-01,35.25,37.1,35.05,36.0,3000,12.41,0.02139917695473259
2004-05-03,37.0,38.0,36.01,37.95,3500,13.08,0.0539887187751813
2004-06-01,37.95,42.5,37.95,42.5,4500,14.73,0.12614678899082565
2004-07-01,42.0,42.5,37.75,38.1,3300,13.21,-0.10319076714188724
2004-08-02,38.1,39.0,35.76,39.0,1300,13.52,0.02346707040121121
2004-09-01,39.0,43.5,39.0,42.0,3400,14.64,0.08284023668639051
2004-10-01,42.6,44.0,40.0,40.75,3200,14.21,-0.029371584699453557
2004-11-01,41.0,48.0,41.0,48.0,4800,16.73,0.17733990147783252
2004-12-01,47.5,55.17,46.0,55.0,6700,19.26,0.151225343693963
2005-01-03,54.0,55.98,51.5,55.32,7900,19.37,0.005711318795430964
2005-02-01,55.5,61.53,55.5,61.3,7900,21.47,0.1084150748580277
2005-03-01,61.5,69.54,60.98,64.4,8900,22.63,0.05402887750349317
2005-04-01,65.5,71.0,62.5,64.25,6200,22.58,-0.002209456473707516
2005-05-02,65.25,69.25,61.5,68.0,4300,23.9,0.05845881310894607
2005-06-01,68.0,69.5,53.25,59.3,5200,20.96,-0.12301255230125518
2005-07-01,59.26,61.5,57.94,58.25,2000,20.59,-0.01765267175572527
2005-08-01,59.25,61.19,56.5,57.32,1400,20.26,-0.016027197668771143
2005-09-01,54.9,59.0,53.1,57.57,1900,20.48,0.010858835143139123
2005-10-03,57.8,58.5,54.3,57.5,3200,20.46,-0.0009765625
2005-11-01,57.51,60.65,54.5,58.25,2300,20.72,0.012707722385141729
2005-12-01,59.0,64.7,58.3,63.01,700,22.54,0.08783783783783794
2006-01-03,62.59,62.59,57.75,62.0,1800,22.18,-0.015971606033717833
2006-02-01,62.0,62.5,55.0,56.17,2100,20.09,-0.09422903516681691
