Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-08-05,11.0,11.99,9.68,10.69,256100,7.95,0.0
2010-09-01,10.83,12.29,9.26,11.55,156000,8.58,0.0792452830188679
2010-10-01,11.48,12.28,9.7,10.03,61000,7.45,-0.13170163170163174
2010-11-01,10.04,13.0,10.03,12.76,72400,9.48,0.27248322147651005
2010-12-01,13.02,18.25,12.64,16.76,71400,12.46,0.3143459915611815
2011-01-03,17.11,18.92,14.4,14.93,62600,11.1,-0.10914927768860361
2011-02-01,14.98,16.91,14.04,14.98,42000,11.13,0.002702702702702897
2011-03-01,14.62,17.99,13.32,17.73,36500,13.18,0.18418688230008984
2011-04-01,17.34,19.74,15.8,18.79,43300,13.97,0.05993930197268593
2011-05-02,18.64,23.24,15.61,17.39,201400,12.92,-0.07516105941302798
2011-06-01,17.01,18.49,15.23,17.39,85000,12.92,0.0
2011-07-01,17.5,19.94,16.59,17.93,28000,13.33,0.03173374613003088
2011-08-01,18.06,18.74,13.17,14.9,53200,11.07,-0.16954238559639911
2011-09-01,14.52,15.0,11.43,11.97,49700,8.9,-0.1960252935862692
2011-10-03,11.88,14.43,11.18,13.98,45700,10.39,0.16741573033707868
2011-11-01,13.57,15.71,11.42,12.85,43200,9.55,-0.08084696823869109
2011-12-01,13.2,14.5,12.0,12.57,40600,9.34,-0.02198952879581162
2012-01-03,12.97,15.5,11.75,14.52,40000,10.79,0.15524625267665937
2012-02-01,14.66,15.37,12.89,15.17,32100,11.27,0.04448563484708057
2012-03-01,15.33,22.28,14.8,21.97,101500,16.33,0.4489795918367345
2012-04-02,22.07,22.86,20.46,21.24,60900,15.79,-0.03306797305572562
2012-05-01,21.12,21.35,16.59,17.81,136000,13.24,-0.1614946168461051
2012-06-01,17.43,18.23,15.48,16.5,78800,12.26,-0.07401812688821752
2012-07-02,16.62,18.74,16.13,16.94,44900,12.59,0.026916802610114088
2012-08-01,16.97,21.1,16.25,17.58,177200,13.07,0.038125496425734706
2012-09-04,17.51,19.28,17.07,18.45,74000,13.71,0.04896710022953332
2012-10-01,15.25,16.0,13.75,15.06,127600,11.19,-0.1838074398249454
2012-11-01,15.16,15.57,13.52,14.46,59300,10.75,-0.03932082216264521
2012-12-03,14.5,16.13,14.19,15.02,43800,11.16,0.038139534883721016
2013-01-02,15.03,15.45,11.55,11.94,132000,8.87,-0.20519713261648753
2013-02-01,12.0,13.66,11.92,13.31,64800,9.89,0.11499436302142074
2013-03-01,13.23,14.46,11.56,11.71,148200,8.7,-0.1203235591506574
2013-04-01,11.66,11.88,11.12,11.28,88000,8.38,-0.036781609195402076
2013-05-01,11.28,13.06,11.12,12.81,76000,9.52,0.13603818615751773
2013-06-03,12.88,13.91,12.63,13.61,80200,10.12,0.06302521008403361
2013-07-01,13.7,15.25,12.93,13.99,41500,10.4,0.027667984189723382
2013-08-01,14.11,14.88,13.31,13.82,92800,10.27,-0.012500000000000067
2013-09-03,14.04,14.35,10.43,11.25,119000,11.25,0.0954235637779941
2013-10-01,11.25,11.38,9.84,9.9,59200,9.9,-0.12
2013-11-01,9.89,10.05,9.56,9.57,43400,9.57,-0.033333333333333326
