Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-10-26,8.15,10.0,7.97,8.3,87100,8.1,0.0
2011-11-01,9.0,9.33,6.68,7.23,179600,7.06,-0.1283950617283951
2011-12-01,7.21,8.0,6.86,7.93,94000,7.8,0.10481586402266285
2012-01-03,8.02,10.79,7.87,10.46,109400,10.28,0.31794871794871793
2012-02-01,10.5,11.18,9.33,9.59,71000,9.43,-0.08268482490272366
2012-03-01,9.58,10.5,8.37,9.67,81900,9.54,0.01166489925768821
2012-04-02,9.67,9.73,8.32,8.32,45500,8.21,-0.13941299790356376
2012-05-01,8.29,8.55,6.47,6.69,65600,6.64,-0.1912302070645555
2012-06-01,6.53,8.38,6.53,7.77,106500,7.72,0.16265060240963858
2012-07-02,7.8,8.64,7.0,7.06,50700,7.01,-0.09196891191709844
2012-08-01,7.08,7.89,6.76,7.1,52900,7.1,0.012838801711840153
2012-09-04,7.08,7.63,6.82,7.17,71600,7.17,0.009859154929577452
2012-10-01,7.25,7.57,6.55,7.01,43900,7.01,-0.02231520223152028
2012-11-01,7.0,7.0,5.75,6.83,36400,6.83,-0.025677603423680417
2012-12-03,6.86,7.27,6.52,7.1,41500,7.1,0.039531478770131745
2013-01-02,7.26,7.5,6.94,7.14,44200,7.14,0.005633802816901401
2013-02-01,7.19,7.34,6.51,7.02,71600,7.02,-0.01680672268907568
2013-03-01,6.93,9.31,6.75,9.26,78600,9.26,0.31908831908831914
2013-04-01,9.36,12.21,9.36,10.78,197300,10.78,0.1641468682505398
2013-05-01,10.85,11.06,8.5,8.59,97200,8.59,-0.20315398886827452
2013-06-03,8.58,10.17,8.51,9.15,73900,9.15,0.06519208381839348
2013-07-01,9.24,11.79,9.0,10.31,55600,10.31,0.12677595628415306
2013-08-01,10.43,10.49,8.5,8.52,40000,8.52,-0.17361784675072756
2013-09-03,8.75,10.46,8.37,9.8,42600,9.8,0.15023474178403773
2013-10-01,9.71,11.3,8.51,10.33,62600,10.33,0.054081632653061096
2013-11-01,10.26,11.5,10.09,11.0,61100,11.0,0.06485963213939971
