Date,Open,High,Low,Close,Volume,Adj Close,Return
1986-07-09,15.5,15.5,14.0,14.25,1481400,2.73,0.0
1986-08-01,14.25,14.88,13.88,14.5,1506700,2.77,0.0146520146520146
1986-09-02,14.63,15.88,13.0,13.5,2017200,2.58,-0.06859205776173283
1986-10-01,14.0,14.0,12.63,13.25,1803000,2.53,-0.019379844961240456
1986-11-03,13.5,13.5,12.63,13.13,1549100,2.51,-0.007905138339920903
1986-12-01,13.13,15.5,12.75,15.38,2374300,2.94,0.17131474103585664
1987-01-02,15.5,19.75,15.38,19.62,2936500,3.75,0.2755102040816326
1987-02-02,21.12,25.87,19.5,24.75,3544800,4.73,0.2613333333333334
1987-03-02,24.75,26.5,23.37,23.37,2225800,4.47,-0.05496828752642724
1987-04-01,23.12,24.87,22.62,23.62,1999100,4.52,0.01118568232662187
1987-05-01,23.62,26.87,23.5,26.0,1859700,4.99,0.10398230088495586
1987-06-01,26.62,29.5,26.0,26.62,1887200,5.11,0.024048096192384794
1987-07-01,26.75,30.62,26.37,28.37,1831000,5.44,0.06457925636007822
1987-08-03,27.87,29.5,27.12,28.12,1691000,5.4,-0.007352941176470562
1987-09-01,28.25,30.25,27.5,29.25,986300,5.61,0.03888888888888897
1987-10-01,29.12,29.12,15.75,20.0,3023200,3.84,-0.31550802139037437
1987-11-02,19.75,20.25,17.37,17.87,1581900,3.48,-0.09375
1987-12-01,18.0,19.12,17.25,18.25,1382300,3.56,0.02298850574712641
1988-01-04,18.5,19.25,16.75,18.75,1242500,3.66,0.028089887640449396
1988-02-01,18.75,18.75,16.75,18.5,838500,3.61,-0.013661202185792476
1988-03-01,18.5,20.5,18.0,18.37,1150600,3.58,-0.008310249307479145
1988-04-04,18.37,19.25,17.25,17.37,837700,3.41,-0.04748603351955305
1988-05-02,17.37,17.87,16.12,17.0,742300,3.34,-0.02052785923753675
1988-06-01,16.87,17.75,16.5,17.12,1066600,3.36,0.0059880239520957446
1988-07-01,17.12,17.87,16.5,16.87,566700,3.32,-0.011904761904761862
1988-08-01,16.87,17.12,15.88,16.0,390300,3.14,-0.054216867469879415
1988-09-01,16.0,19.25,16.0,18.5,1616500,3.64,0.15923566878980888
1988-10-03,18.5,20.25,18.25,20.12,1701000,3.95,0.08516483516483508
1988-11-01,20.12,20.25,19.12,19.87,944900,3.93,-0.005063291139240533
1988-12-01,20.0,20.0,18.62,19.25,602200,3.81,-0.03053435114503822
1989-01-03,19.37,21.25,18.5,21.25,1323100,4.2,0.10236220472440949
1989-02-01,21.37,22.62,21.25,21.37,725000,4.23,0.0071428571428571175
1989-03-01,21.5,23.12,21.25,22.25,591900,4.4,0.04018912529550822
1989-04-03,22.75,24.12,22.25,23.25,484500,4.64,0.05454545454545445
1989-05-01,23.25,23.62,21.5,21.62,913900,4.31,-0.07112068965517249
1989-06-01,21.5,22.87,20.37,21.5,868500,4.29,-0.004640371229698292
1989-07-03,21.75,24.62,21.75,24.5,483800,4.89,0.1398601398601398
1989-08-01,24.37,25.5,23.62,25.12,423700,5.01,0.024539877300613577
1989-09-01,25.25,25.25,23.87,24.5,533200,4.89,-0.02395209580838331
1989-10-02,24.0,24.75,20.62,22.12,684300,4.49,-0.08179959100204492
1989-11-01,22.25,24.25,22.12,24.0,478300,4.87,0.08463251670378624
1989-12-01,24.12,26.87,23.87,26.0,561000,5.28,0.0841889117043122
1990-01-02,25.75,27.37,23.5,24.25,901000,4.92,-0.06818181818181823
1990-02-01,24.25,25.62,23.75,23.87,687200,4.85,-0.014227642276422814
1990-03-01,23.62,27.0,22.62,25.75,1441900,5.29,0.0907216494845362
1990-04-02,25.25,27.37,24.5,25.12,1087200,5.16,-0.02457466918714557
1990-05-01,25.37,28.62,25.25,26.75,1723600,5.5,0.06589147286821695
1990-06-01,27.0,29.12,26.62,29.0,1635000,5.96,0.08363636363636373
1990-07-02,29.37,32.25,29.12,31.0,1760900,6.37,0.06879194630872476
1990-08-01,30.87,31.12,25.87,28.12,1275800,5.78,-0.09262166405023542
1990-09-04,27.5,29.37,26.87,28.12,963400,5.91,0.02249134948096887
1990-10-01,28.75,33.0,28.5,30.12,1473400,6.33,0.07106598984771573
1990-11-01,29.5,33.13,28.87,33.0,1382400,6.94,0.09636650868878371
1990-12-03,32.75,34.63,31.87,32.75,1704200,6.89,-0.007204610951008772
1991-01-02,32.88,35.63,31.12,35.63,1454500,7.49,0.0870827285921627
1991-02-01,35.5,38.88,35.25,37.88,2276100,7.97,0.06408544726301724
1991-03-01,37.75,40.25,35.88,39.63,2134300,8.42,0.05646173149309908
1991-04-01,39.88,41.5,36.63,38.13,2627900,8.1,-0.038004750593824244
1991-05-01,38.38,42.75,37.5,40.75,2252500,8.65,0.06790123456790131
1991-06-03,40.5,44.25,40.0,40.5,2479800,8.6,-0.005780346820809301
1991-07-01,41.0,44.13,40.38,44.0,1595400,9.34,0.086046511627907
1991-08-01,44.0,47.0,42.0,46.25,2000500,9.82,0.051391862955032064
1991-09-03,46.5,49.25,45.88,49.0,2193100,10.57,0.07637474541751521
1991-10-01,49.0,56.38,46.88,55.5,2872500,11.98,0.1333964049195837
1991-11-01,55.5,57.38,26.75,27.25,4084900,11.76,-0.018363939899833093
1991-12-02,27.0,32.38,26.87,31.75,2082500,13.7,0.16496598639455784
1992-01-02,31.87,35.25,29.75,30.75,4061900,13.27,-0.031386861313868586
1992-02-03,30.37,31.25,27.75,28.0,3171300,12.21,-0.07987942727957786
1992-03-02,27.75,29.25,26.0,27.12,2640200,11.82,-0.03194103194103204
1992-04-01,27.0,29.25,25.12,26.62,2746200,11.6,-0.01861252115059231
1992-05-01,25.75,28.5,25.37,28.25,2003000,12.31,0.06120689655172429
1992-06-01,28.25,28.62,24.62,25.37,2013800,11.06,-0.10154346060113728
1992-07-01,25.12,28.12,23.75,27.5,2007000,11.99,0.08408679927667273
1992-08-03,27.62,28.62,26.0,28.12,1146500,12.26,0.02251876563803168
1992-09-01,28.0,30.25,25.5,27.25,1673800,12.12,-0.011419249592169667
1992-10-01,27.5,27.5,24.62,25.12,1786500,11.17,-0.0783828382838283
1992-11-02,25.0,26.0,23.62,24.25,1947200,10.79,-0.0340196956132498
1992-12-01,23.75,26.87,21.75,23.75,2929000,10.56,-0.02131603336422605
1993-01-04,23.75,24.25,20.37,20.75,2391000,9.23,-0.12594696969696972
1993-02-01,19.87,20.12,18.0,18.87,3350500,8.39,-0.09100758396533037
1993-03-01,19.25,20.0,16.87,18.25,2647400,8.25,-0.0166865315852206
1993-04-01,18.12,18.75,16.25,18.37,2103400,8.3,0.0060606060606061
1993-05-03,18.37,20.25,18.37,19.0,1738800,8.59,0.034939759036144435
1993-06-01,19.0,19.25,16.5,16.87,1529000,7.62,-0.11292200232828864
1993-07-01,16.62,17.0,15.38,15.88,1694800,7.18,-0.057742782152231054
1993-08-02,16.0,18.0,14.75,17.87,1779000,8.08,0.1253481894150419
1993-09-01,17.87,20.5,17.75,19.0,2446300,8.61,0.06559405940594054
1993-10-01,19.12,21.5,18.87,20.25,1436300,9.18,0.06620209059233462
1993-11-01,19.87,20.37,18.62,20.12,1156700,9.12,-0.0065359477124183885
1993-12-01,20.5,22.0,20.0,20.87,1664800,9.46,0.037280701754386136
1994-01-03,21.0,21.37,19.37,19.75,1553600,8.95,-0.05391120507399594
1994-02-01,19.75,20.87,18.25,20.5,2055000,9.29,0.03798882681564253
1994-03-01,20.62,21.62,17.5,17.87,1623600,8.23,-0.11410118406889114
1994-04-04,17.37,18.5,16.25,17.25,1186000,7.95,-0.03402187120291622
1994-05-02,17.25,18.0,15.88,16.25,1291700,7.49,-0.05786163522012577
1994-06-01,16.12,17.87,16.0,16.62,1061700,7.66,0.022696929238985364
1994-07-01,16.62,18.12,16.62,17.62,883400,8.12,0.06005221932114879
1994-08-01,17.5,20.37,17.37,19.62,1636300,9.04,0.11330049261083741
1994-09-01,19.37,19.5,17.75,18.25,2166900,8.74,-0.03318584070796449
1994-10-03,18.12,19.75,17.87,19.25,1132000,9.21,0.053775743707093815
1994-11-01,19.25,20.0,18.87,19.25,1034200,9.21,0.0
1994-12-01,19.12,21.37,19.0,20.37,1284700,9.75,0.05863192182410404
1995-01-03,20.62,21.62,18.75,19.62,1120200,9.39,-0.036923076923076836
1995-02-01,19.62,20.87,19.62,20.0,2450500,9.76,0.03940362087326932
1995-03-01,20.37,23.0,20.37,22.87,1331700,11.16,0.14344262295081966
1995-04-03,22.87,23.87,22.62,23.62,837500,11.52,0.032258064516129004
1995-05-01,23.62,24.12,21.87,23.12,1074700,11.28,-0.02083333333333337
1995-06-01,23.03,25.5,22.62,24.37,923700,11.89,0.05407801418439728
1995-07-03,24.5,24.62,23.25,23.87,746200,11.64,-0.021026072329688783
1995-08-01,24.0,24.87,23.25,23.75,591200,11.58,-0.005154639175257825
1995-09-01,23.62,24.75,23.12,24.12,2310000,12.15,0.04922279792746109
