Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-07-08,23.5,26.8,23.3,26.02,516100,7.05,0.0
2004-08-02,26.0,28.93,25.15,28.8,120700,7.81,0.10780141843971625
2004-09-01,28.91,29.99,27.83,29.27,78300,7.93,0.015364916773367598
2004-10-01,29.3,31.65,28.25,30.75,69200,8.34,0.05170239596469117
2004-11-01,31.0,35.15,30.9,33.29,46800,9.15,0.09712230215827344
2004-12-01,33.09,34.5,31.16,34.45,30000,9.47,0.0349726775956285
2005-01-03,34.4,38.0,32.25,37.61,74200,10.34,0.09186906019007379
2005-02-01,37.75,40.3,35.65,38.95,62000,10.84,0.04835589941972929
2005-03-01,38.8,40.45,36.4,37.5,52200,10.44,-0.03690036900369009
2005-04-01,37.6,45.45,37.28,45.11,52100,12.55,0.20210727969348663
2005-05-02,45.15,47.0,39.8,40.69,47700,11.47,-0.08605577689243027
2005-06-01,40.85,45.0,40.5,44.25,35100,12.47,0.08718395815169999
2005-07-01,44.2,44.4,42.26,44.4,31300,12.51,0.003207698476343168
2005-08-01,44.15,45.2,39.1,41.95,44300,11.97,-0.043165467625899234
2005-09-01,41.75,45.4,41.4,43.75,25500,12.49,0.04344193817878028
2005-10-03,43.85,44.14,41.56,42.2,22200,12.04,-0.03602882305844679
2005-11-01,42.35,42.65,38.51,38.68,35200,11.2,-0.06976744186046513
2005-12-01,38.58,39.4,35.8,36.89,43200,10.68,-0.046428571428571375
2006-01-03,37.0,42.75,37.0,40.58,63700,11.75,0.10018726591760307
2006-02-01,40.57,41.19,39.2,40.11,32700,11.8,0.004255319148936287
2006-03-01,40.25,42.7,37.83,42.7,25200,12.56,0.06440677966101682
2006-04-03,42.58,42.58,39.65,41.28,24600,12.14,-0.03343949044585992
2006-05-01,41.18,41.6,38.15,40.12,22100,11.98,-0.01317957166392092
2006-06-01,40.02,41.15,39.35,40.35,22800,12.05,0.005843071786310494
2006-07-03,40.23,40.44,37.88,39.64,29400,12.04,-0.0008298755186723072
2006-08-01,40.0,40.2,36.5,38.5,31400,11.69,-0.029069767441860406
2006-09-01,38.35,38.67,35.8,37.76,35800,11.47,-0.018819503849443864
2006-10-02,37.9,40.9,37.9,40.25,27500,12.22,0.06538796861377505
2006-11-01,39.9,40.28,38.75,40.19,30600,12.41,0.015548281505728179
2006-12-01,40.34,41.1,39.7,40.25,30300,12.43,0.0016116035455278066
2007-01-03,40.5,43.51,39.5,42.72,31000,13.19,0.06114239742558336
2007-02-01,42.72,47.32,42.53,46.12,32200,14.46,0.09628506444275975
2007-03-01,45.87,49.97,45.06,46.61,33400,14.62,0.011065006915629283
2007-04-02,46.98,56.69,46.55,54.5,36900,17.09,0.16894664842681273
2007-05-01,54.25,54.25,48.78,50.15,52000,15.94,-0.06729081334113518
2007-06-01,49.99,51.33,48.25,50.9,35600,16.18,0.01505646173149322
2007-07-02,50.65,57.24,50.65,52.25,33400,16.61,0.026576019777503124
2007-08-01,51.75,53.99,43.1,45.73,56500,14.73,-0.11318482841661648
2007-09-04,45.75,48.5,44.0,46.05,34700,14.84,0.00746775288526802
2007-10-01,46.1,48.09,45.05,47.2,38300,15.21,0.024932614555256194
2007-11-01,47.0,47.66,42.81,43.5,34300,14.23,-0.06443129520052604
2007-12-03,43.64,44.73,42.04,43.75,34800,14.31,0.005621925509486925
2008-01-02,43.5,44.23,37.07,40.85,46100,13.36,-0.06638714185884009
2008-02-01,39.96,43.74,39.96,41.08,46600,13.67,0.023203592814371232
2008-03-03,41.5,42.0,36.06,38.39,49400,12.78,-0.06510607168983173
2008-04-01,39.19,42.71,37.33,40.47,58200,13.47,0.0539906103286385
2008-05-01,40.25,47.03,39.43,45.3,86700,15.36,0.14031180400890864
2008-06-02,45.11,46.0,38.39,39.0,44900,13.22,-0.13932291666666663
2008-07-01,38.9,39.16,28.75,35.04,99700,11.88,-0.10136157337367624
2008-08-01,35.92,35.92,29.12,33.71,89600,11.68,-0.01683501683501687
2008-09-02,33.25,35.75,26.01,30.04,66200,10.41,-0.10873287671232879
2008-10-01,30.08,33.46,14.93,28.55,184900,9.89,-0.04995196926032652
2008-11-03,27.8,27.8,16.0,20.01,104700,7.12,-0.2800808897876643
2008-12-01,20.01,23.07,15.35,21.35,82000,7.6,0.0674157303370786
2009-01-02,21.4,30.43,21.4,28.99,82700,10.31,0.3565789473684211
2009-02-02,29.49,30.29,24.23,25.48,84900,9.31,-0.09699321047526677
2009-03-02,25.81,27.35,20.96,23.45,97300,8.57,-0.07948442534908706
2009-04-01,23.48,31.25,23.19,29.73,67500,10.86,0.26721120186697767
2009-05-01,28.84,31.0,25.9,30.1,378800,11.29,0.03959484346224684
2009-06-01,30.1,33.29,28.86,31.75,110600,11.91,0.05491585473870697
2009-07-01,32.1,38.49,31.3,36.45,108400,13.97,0.17296389588581018
2009-08-03,36.43,37.3,33.82,36.63,55700,14.04,0.00501073729420165
2009-09-01,36.55,40.05,36.21,39.01,57600,14.95,0.06481481481481488
2009-10-01,39.0,41.65,36.0,38.3,77200,14.98,0.0020066889632108786
2009-11-02,38.11,38.4,35.21,36.7,334400,14.36,-0.041388518024032095
2009-12-01,36.75,40.79,36.43,39.84,138200,15.59,0.08565459610027859
2010-01-04,41.3,42.69,39.11,41.09,170200,16.08,0.0314304041051956
2010-02-01,41.25,44.19,38.21,42.59,176400,16.98,0.05597014925373145
2010-03-01,43.01,44.95,41.1,42.49,131300,16.94,-0.002355712603062332
2010-04-01,42.44,47.84,41.87,46.55,116500,18.89,0.11511216056670603
2010-05-03,47.5,48.17,38.41,40.21,217900,16.31,-0.13658020116463743
2010-06-01,39.63,44.29,38.69,43.82,174100,17.78,0.09012875536480691
2010-07-01,43.6,47.96,42.17,46.29,175300,19.12,0.07536557930258714
2010-08-02,46.55,50.59,45.65,50.0,108300,20.65,0.08002092050209186
2010-09-01,50.2,52.16,49.38,51.25,132600,21.17,0.02518159806295417
2010-10-01,51.3,53.74,49.75,50.25,78900,20.76,-0.01936702881435992
2010-11-01,50.51,53.44,50.41,51.15,87800,21.46,0.033718689788053924
2010-12-01,51.35,52.1,49.16,50.91,78600,21.36,-0.004659832246039164
2011-01-03,51.25,54.69,50.12,54.38,72600,22.82,0.06835205992509374
2011-02-01,54.55,60.08,52.49,59.65,94300,25.41,0.11349693251533743
2011-03-01,59.45,61.05,53.3,58.0,78900,24.71,-0.02754820936639113
2011-04-01,58.35,58.91,52.16,54.79,66300,23.34,-0.055443140428976134
2011-05-02,55.19,56.82,51.74,55.03,80000,23.81,0.020137103684661373
2011-06-01,55.26,55.87,48.55,54.28,140100,23.48,-0.013859722805543817
2011-07-01,54.3,55.02,51.74,53.42,53800,23.11,-0.015758091993185785
2011-08-01,54.06,54.91,45.4,50.7,70900,22.29,-0.03548247511899616
2011-09-01,50.88,51.77,47.0,49.19,70900,21.63,-0.02960969044414541
2011-10-03,49.16,59.96,47.3,56.21,80700,24.71,0.14239482200647258
2011-11-01,55.01,57.43,53.81,55.72,49400,24.88,0.0068798057466612494
2011-12-01,53.2,53.95,51.36,53.78,200500,24.01,-0.03496784565916389
2012-01-03,54.15,55.47,53.27,55.26,131600,24.67,0.027488546438983796
2012-02-01,55.31,63.76,54.82,61.23,135700,27.78,0.1260640453992703
2012-03-01,61.2,62.94,58.27,61.04,85000,27.69,-0.003239740820734305
2012-04-02,61.21,62.87,57.61,60.15,87900,27.29,-0.014445648248465282
