Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-09-30,8.25,8.25,8.25,8.25,39600,6.93,0.0
1996-10-01,8.0,8.38,7.5,7.5,21500,6.3,-0.09090909090909094
1996-11-01,7.5,8.38,7.5,7.88,14800,6.62,0.050793650793650835
1996-12-02,7.88,7.88,7.25,7.88,29200,6.62,0.0
1997-01-02,7.88,8.75,7.5,8.25,12400,6.93,0.04682779456193353
1997-02-03,8.44,9.0,8.38,8.42,12300,7.07,0.020202020202020332
1997-03-03,8.63,8.83,8.13,8.13,12400,6.83,-0.03394625176803401
1997-04-01,8.05,8.05,6.75,7.0,11500,5.88,-0.13909224011713028
1997-05-01,7.0,7.25,6.63,6.92,4400,5.81,-0.011904761904761973
1997-06-02,6.75,6.88,4.5,4.63,24200,3.89,-0.33046471600688465
1997-07-01,4.63,5.13,4.0,4.5,9100,3.78,-0.028277634961439646
1997-08-01,4.5,5.13,4.3,4.89,33700,4.11,0.08730158730158744
1997-09-02,4.88,4.88,3.17,4.25,14800,3.57,-0.13138686131386867
1997-10-01,4.75,4.8,3.38,3.55,13100,2.98,-0.165266106442577
1997-11-03,3.55,3.55,2.42,2.42,31900,2.03,-0.31879194630872487
1997-12-01,2.5,2.5,2.0,2.25,44900,1.89,-0.06896551724137923
1998-01-02,2.25,3.33,1.8,3.05,25600,2.56,0.35449735449735464
1998-02-02,3.38,3.52,2.88,3.42,18200,2.87,0.12109375
1998-03-02,3.3,3.58,2.8,3.41,28300,2.86,-0.0034843205574913716
1998-04-01,3.5,6.0,3.5,5.59,66000,4.69,0.63986013986014
1998-05-01,5.75,5.75,4.31,4.31,29000,3.62,-0.22814498933901928
1998-06-01,4.25,4.75,3.75,4.06,14400,3.41,-0.058011049723756924
1998-07-01,4.25,4.88,4.19,4.19,12700,3.52,0.032258064516129004
1998-08-03,4.06,4.25,3.0,3.13,21900,2.63,-0.25284090909090917
1998-09-01,3.63,4.88,3.5,4.88,117700,4.1,0.55893536121673
1998-10-01,5.0,5.75,4.69,5.19,49800,4.36,0.06341463414634174
1998-11-02,4.88,5.38,4.44,4.88,30300,4.1,-0.05963302752293598
1998-12-01,4.73,4.94,4.25,4.75,49200,3.99,-0.02682926829268284
1999-01-04,4.56,5.0,4.25,4.56,20100,3.83,-0.040100250626566414
1999-02-01,4.5,4.88,4.13,4.38,47100,3.68,-0.03916449086161877
1999-03-01,4.5,5.25,4.38,4.69,63100,3.94,0.07065217391304346
1999-04-01,4.88,5.81,4.5,5.56,43200,4.67,0.18527918781725883
1999-05-03,5.75,6.25,4.5,5.0,273100,4.2,-0.10064239828693788
1999-06-01,4.94,5.13,4.47,4.84,146800,4.06,-0.03333333333333344
1999-07-01,4.84,4.88,3.69,4.06,150200,3.41,-0.16009852216748754
1999-08-02,4.06,4.88,3.88,4.31,91700,3.66,0.07331378299120228
1999-09-01,4.25,6.56,3.75,6.0,205300,5.09,0.3907103825136611
1999-10-01,6.25,7.45,5.69,6.69,237500,5.67,0.11394891944990171
1999-11-01,6.5,7.34,6.0,6.59,132700,5.59,-0.014109347442680775
1999-12-01,6.53,6.63,5.75,6.28,117300,5.33,-0.046511627906976716
2000-01-03,6.28,6.38,5.0,5.38,105800,4.56,-0.1444652908067543
2000-02-01,5.44,7.38,5.44,6.38,218500,5.45,0.19517543859649145
2000-03-01,6.44,7.5,5.5,6.13,237300,5.23,-0.04036697247706422
2000-04-03,6.0,6.31,4.44,5.0,212900,4.27,-0.18355640535372864
2000-05-01,4.97,6.75,4.56,4.91,204100,4.19,-0.01873536299765788
2000-06-01,4.91,5.75,4.88,5.56,233600,4.75,0.13365155131264905
2000-07-03,5.56,5.63,4.75,5.0,179500,4.27,-0.1010526315789475
2000-08-01,5.06,5.69,4.5,5.25,199900,4.57,0.07025761124121788
2000-09-01,5.25,5.5,4.88,5.13,190700,4.47,-0.021881838074398363
2000-10-02,5.14,5.16,3.63,3.81,206300,3.32,-0.25727069351230425
2000-11-01,4.05,4.19,3.5,3.81,204800,3.32,0.0
2000-12-01,3.89,4.97,3.47,4.69,244100,4.08,0.2289156626506026
2001-01-02,4.75,5.13,4.38,4.69,190600,4.08,0.0
2001-02-01,4.75,5.66,3.88,5.19,292300,4.59,0.125
2001-03-01,5.0,5.56,4.31,4.81,307300,4.25,-0.07407407407407407
2001-04-02,4.77,5.31,4.5,4.88,301500,4.31,0.014117647058823346
2001-05-01,4.9,6.5,4.64,4.85,649500,4.29,-0.004640371229698292
2001-06-01,4.91,6.04,4.9,5.69,533400,5.03,0.17249417249417265
2001-07-02,5.75,5.76,4.71,5.08,513800,4.49,-0.10735586481113324
2001-08-01,4.92,5.52,4.63,4.7,348900,4.22,-0.06013363028953245
2001-09-04,4.71,5.47,4.51,5.31,598900,4.77,0.13033175355450233
2001-10-01,5.45,6.18,5.13,5.86,606400,5.26,0.1027253668763104
2001-11-01,5.83,5.86,4.94,5.51,579300,4.95,-0.05893536121672993
2001-12-03,5.5,7.09,5.5,6.51,755100,5.85,0.18181818181818166
2002-01-02,6.57,8.04,6.31,7.99,742000,7.18,0.22735042735042743
2002-02-01,8.0,10.97,7.86,10.56,1364200,9.55,0.33008356545961015
2002-03-01,10.23,11.85,8.31,11.3,1407500,10.22,0.07015706806282718
2002-04-01,11.23,15.07,10.18,13.05,1608300,11.8,0.1545988258317026
2002-05-01,12.99,19.0,12.99,16.19,2840200,14.64,0.2406779661016949
2002-06-03,15.94,18.1,12.15,13.53,3852900,12.24,-0.16393442622950827
2002-07-01,13.61,17.27,9.98,11.1,3035700,10.04,-0.1797385620915034
2002-08-01,10.56,14.61,10.54,14.25,1725300,13.28,0.3227091633466137
2002-09-03,14.83,17.86,14.2,15.65,2726000,14.58,0.09789156626506035
2002-10-01,15.41,15.63,11.62,13.08,1930300,12.19,-0.163923182441701
2002-11-01,13.75,16.13,12.0,12.84,1650500,11.96,-0.01886792452830177
2002-12-02,12.6,18.45,12.43,16.81,1944500,15.66,0.3093645484949832
2003-01-02,16.74,18.47,15.21,15.57,2133900,14.51,-0.07343550446998726
2003-02-03,15.47,16.4,13.6,14.21,1847000,13.38,-0.0778773259820813
2003-03-03,13.7,13.94,11.08,12.23,1543200,11.51,-0.13976083707025422
2003-04-01,12.24,12.69,10.14,10.5,1524800,9.88,-0.14161598609904424
2003-05-01,10.4,13.67,10.4,13.1,1663300,12.33,0.24797570850202422
2003-06-02,12.85,14.9,12.77,13.47,1255500,12.68,0.02838605028386043
2003-07-01,13.7,14.15,10.9,12.51,1726100,11.78,-0.07097791798107256
2003-08-01,12.29,14.69,11.94,14.3,1576300,13.46,0.14261460101867596
2003-09-02,14.6,15.95,13.89,14.49,1817900,13.83,0.0274888558692421
2003-10-01,14.47,15.79,13.1,15.12,1419300,14.43,0.04338394793926237
2003-11-03,14.96,15.84,13.27,15.83,1667300,15.11,0.04712404712404705
2003-12-01,16.01,16.75,14.43,16.23,1652900,15.49,0.025148908007941895
2004-01-02,16.24,17.8,14.71,15.27,1611600,14.58,-0.058747579083279544
2004-02-02,15.02,17.2,14.5,15.05,1347100,14.37,-0.01440329218107006
2004-03-01,15.5,16.05,13.9,15.43,1139900,14.78,0.028531663187195466
2004-04-01,15.5,15.62,10.89,11.04,1714800,10.58,-0.2841677943166441
2004-05-03,11.14,12.09,10.03,11.98,1312900,11.48,0.08506616257088839
2004-06-01,12.05,12.13,9.25,10.59,1514700,10.15,-0.11585365853658536
2004-07-01,10.62,11.31,9.75,10.96,1313100,10.5,0.034482758620689724
2004-08-02,10.99,13.05,10.41,12.48,1091900,11.96,0.1390476190476191
2004-09-01,12.48,13.74,11.24,13.62,1132500,13.1,0.09531772575250819
2004-10-01,13.67,14.29,11.25,11.8,2839800,11.35,-0.13358778625954204
2004-11-01,11.75,12.03,10.3,10.48,3278100,10.08,-0.11189427312775324
2004-12-01,10.61,10.73,9.05,9.27,2146100,8.92,-0.11507936507936511
2005-01-03,9.1,9.58,8.06,8.13,1805900,7.82,-0.12331838565022413
2005-02-01,8.1,8.79,7.51,8.54,2003400,8.21,0.04987212276214836
2005-03-01,8.45,9.24,7.6,7.8,1905200,7.5,-0.08647990255785631
2005-04-01,7.85,7.9,5.96,6.27,1839000,6.03,-0.19599999999999995
2005-05-02,6.1,7.76,6.09,7.65,1754500,7.36,0.22056384742951907
2005-06-01,7.66,8.8,7.13,8.56,1578400,8.23,0.11820652173913038
2005-07-01,8.56,9.01,8.0,8.2,1028500,7.89,-0.04131227217496969
2005-08-01,8.34,8.99,7.21,7.57,1274400,7.28,-0.07731305449936621
2005-09-01,7.63,11.23,7.57,10.94,2394600,10.52,0.44505494505494503
2005-10-03,10.74,11.54,9.71,10.45,1350400,10.05,-0.0446768060836501
2005-11-01,10.3,13.25,10.2,12.07,1577100,11.61,0.15522388059701475
2005-12-01,12.32,13.64,11.75,13.05,1396100,12.55,0.08096468561584858
2006-01-03,13.56,18.79,13.56,18.63,2180000,17.92,0.42788844621513955
2006-02-01,18.7,18.84,13.76,13.99,2585200,13.45,-0.2494419642857144
2006-03-01,14.01,16.56,12.25,15.88,2337700,15.27,0.13531598513011156
2006-04-03,16.15,17.76,14.75,16.8,2054700,16.16,0.058284217419777296
2006-05-01,17.0,17.25,12.87,14.34,2542400,13.79,-0.14665841584158423
2006-06-01,13.58,16.38,11.9,16.29,1908900,15.67,0.13633067440174051
2006-07-03,16.57,17.1,13.38,14.3,1656300,13.75,-0.12252712188895976
2006-08-01,14.0,14.72,13.13,13.75,1518200,13.22,-0.03854545454545455
2006-09-01,13.75,14.56,11.91,12.93,2231800,12.44,-0.05900151285930422
2006-10-02,13.35,15.54,12.81,15.54,1870300,14.95,0.20176848874598075
2006-11-01,15.95,17.26,14.51,16.96,1856100,16.31,0.09096989966555191
2006-12-01,16.98,17.03,15.07,15.75,1707600,15.15,-0.071122011036174
2007-01-03,15.9,15.97,12.85,13.39,2596400,12.88,-0.14983498349834978
2007-02-01,13.65,14.47,12.83,13.84,2591000,13.31,0.033385093167701774
2007-03-01,13.43,14.71,12.8,13.9,2101200,13.37,0.00450788880540931
2007-04-02,14.07,16.7,13.99,15.88,1777400,15.27,0.1421091997008228
2007-05-01,15.7,16.69,14.43,14.93,1467900,14.36,-0.05959397511460385
2007-06-01,14.99,15.2,13.15,14.27,1749200,13.72,-0.04456824512534807
2007-07-02,14.5,15.27,13.28,13.84,1617700,13.31,-0.02988338192419826
2007-08-01,13.55,14.1,8.41,8.95,3277400,8.61,-0.35311795642374166
2007-09-04,9.07,12.36,8.97,11.91,2951900,11.45,0.329849012775842
2007-10-01,11.76,11.9,9.41,11.2,3293600,10.77,-0.05938864628820961
2007-11-01,11.01,11.79,9.61,10.44,2117100,10.04,-0.06778087279480038
2007-12-03,10.56,11.24,9.35,10.31,1611600,9.92,-0.01195219123505964
2008-01-02,10.42,13.11,9.76,10.11,3889800,9.72,-0.020161290322580627
2008-02-01,9.81,13.06,9.34,12.14,3077400,11.68,0.20164609053497928
2008-03-03,13.02,14.56,11.66,11.84,3815600,11.39,-0.02482876712328763
2008-04-01,11.43,12.5,11.0,11.69,2506100,11.24,-0.013169446883230962
2008-05-01,11.25,13.2,11.16,11.9,1702400,11.44,0.017793594306049654
2008-06-02,11.73,12.4,10.45,12.25,1711400,11.78,0.029720279720279796
2008-07-01,12.03,12.7,10.26,10.81,1828000,10.4,-0.11714770797962637
2008-08-01,10.42,10.67,7.22,8.71,2535700,8.38,-0.1942307692307692
2008-09-02,8.0,10.77,6.38,9.68,3382500,9.31,0.11097852028639621
2008-10-01,9.72,10.81,5.71,7.31,3604900,7.03,-0.24489795918367352
2008-11-03,7.42,8.77,5.47,8.64,2713000,8.31,0.18207681365576112
2008-12-01,8.14,11.13,7.22,10.97,2802300,10.55,0.2695547533092659
2009-01-02,10.97,12.25,8.76,11.8,3347200,11.35,0.07582938388625582
2009-02-02,11.38,13.25,10.94,11.98,4856600,11.52,0.01497797356828201
2009-03-02,12.01,12.32,10.41,10.94,4115700,10.52,-0.08680555555555558
2009-04-01,11.07,11.6,8.06,9.32,4040700,8.96,-0.14828897338403035
2009-05-01,9.47,12.39,9.16,12.1,3409700,11.64,0.2991071428571428
2009-06-01,12.09,12.1,9.83,10.32,2859300,9.93,-0.1469072164948454
2009-07-01,10.43,10.5,8.34,9.26,2604700,8.91,-0.10271903323262832
2009-08-03,9.54,9.74,8.81,9.4,2282800,9.04,0.01459034792368108
2009-09-01,9.2,11.86,8.93,10.94,4875200,10.58,0.17035398230088505
2009-10-01,10.75,12.05,9.65,9.96,4551900,9.63,-0.08979206049149335
2009-11-02,9.93,11.3,9.53,11.1,4063700,10.74,0.11526479750778806
2009-12-01,11.62,11.88,9.72,10.17,4113200,9.84,-0.08379888268156432
2010-01-04,10.43,11.2,9.17,9.17,3159900,8.87,-0.09857723577235777
2010-02-01,9.4,10.31,8.73,9.13,3532300,8.83,-0.004509582863585049
2010-03-01,9.23,10.05,9.16,9.48,2415400,9.17,0.03850509626274068
2010-04-01,9.52,10.36,9.16,9.77,3047700,9.45,0.030534351145037997
2010-05-03,9.82,10.62,8.8,9.68,4668000,9.36,-0.00952380952380949
2010-06-01,9.9,10.74,9.43,10.57,3078500,10.22,0.091880341880342
2010-07-01,10.41,10.74,9.65,10.0,2414100,9.67,-0.05381604696673192
2010-08-02,10.08,11.18,9.84,10.18,2601800,9.85,0.018614270941054833
2010-09-01,10.29,11.94,10.02,11.29,2725200,10.99,0.11573604060913723
2010-10-01,11.21,11.91,10.65,11.53,2303200,11.22,0.020928116469517866
2010-11-01,11.34,12.82,11.17,11.33,2326900,11.02,-0.01782531194295911
2010-12-01,11.35,12.96,11.21,12.54,1497400,12.2,0.10707803992740472
2011-01-03,12.59,12.68,10.26,10.91,2320400,10.62,-0.12950819672131153
2011-02-01,10.96,11.96,10.5,11.78,2097500,11.46,0.07909604519774027
2011-03-01,11.69,15.36,11.61,14.87,4800600,14.47,0.26265270506108207
2011-04-01,14.82,15.69,14.42,15.57,3376000,15.15,0.04699378023496892
2011-05-02,15.68,15.73,12.94,13.91,2711600,13.53,-0.10693069306930703
2011-06-01,13.98,14.29,12.05,13.22,2641000,12.86,-0.049519586104951996
2011-07-01,13.01,14.59,12.65,13.58,1901500,13.21,0.027216174183514852
2011-08-01,13.57,15.1,11.9,13.37,3661100,13.01,-0.015140045420136361
2011-09-01,13.48,14.12,11.43,11.73,3372200,11.49,-0.11683320522674867
2011-10-03,11.98,13.65,11.08,13.13,2436300,12.86,0.11923411662315053
2011-11-01,12.62,14.64,12.35,14.15,2226900,13.86,0.07776049766718507
2011-12-01,14.17,14.5,11.23,11.64,2121800,11.4,-0.17748917748917747
2012-01-03,12.02,12.35,11.08,12.06,2253100,11.81,0.035964912280701755
2012-02-01,12.21,13.4,12.07,12.72,1947000,12.46,0.0550381033022862
2012-03-01,12.74,12.92,10.58,10.93,2400100,10.75,-0.137239165329053
2012-04-02,10.89,11.14,9.23,9.7,1819700,9.54,-0.1125581395348838
2012-05-01,9.71,10.0,8.64,9.86,1907200,9.7,0.016771488469601747
2012-06-01,10.02,10.73,8.9,9.4,2745400,9.25,-0.046391752577319534
2012-07-02,9.24,10.23,8.75,9.82,1338700,9.66,0.044324324324324316
2012-08-01,9.8,10.54,8.08,8.54,2172400,8.4,-0.13043478260869568
2012-09-04,8.32,9.66,8.11,8.41,3526400,8.33,-0.008333333333333415
2012-10-01,8.49,8.5,7.76,8.3,2508500,8.22,-0.013205282112845107
2012-11-01,8.26,8.8,7.47,7.81,2315100,7.74,-0.058394160583941646
2012-12-03,7.79,9.01,7.46,8.96,2640500,8.88,0.1472868217054264
2013-01-02,8.94,9.01,6.44,6.46,2639300,6.4,-0.2792792792792793
2013-02-01,6.56,7.31,6.13,6.18,2618100,6.12,-0.04375000000000007
2013-03-01,6.21,6.73,5.82,6.41,2387900,6.41,0.04738562091503273
2013-04-01,6.42,6.43,4.57,5.13,3639300,5.13,-0.1996879875195008
2013-05-01,4.95,5.05,3.61,4.18,3318200,4.18,-0.18518518518518523
2013-06-03,4.21,4.42,3.29,3.81,3568500,3.81,-0.08851674641148322
2013-07-01,3.71,4.09,3.39,3.85,2628800,3.85,0.01049868766404205
2013-08-01,3.93,4.35,3.3,3.62,4168900,3.62,-0.05974025974025976
2013-09-03,3.74,4.27,3.38,3.38,5235700,3.38,-0.06629834254143652
2013-10-01,3.33,3.69,3.06,3.4,3147800,3.4,0.00591715976331364
2013-11-01,3.35,3.37,3.16,3.24,2684300,3.24,-0.04705882352941171
