Date,Open,High,Low,Close,Volume,Adj Close,Return
2008-08-21,6.1,6.34,5.5,6.08,32400,6.08,0.0
2008-09-02,5.94,6.25,3.32,4.0,110900,4.0,-0.3421052631578947
2008-10-01,4.01,4.26,2.05,2.93,43700,2.93,-0.26749999999999996
2008-11-03,2.94,3.4,2.0,2.5,63800,2.5,-0.14675767918088745
2008-12-01,2.55,3.2,2.4,2.8,85400,2.8,0.11999999999999988
2009-01-02,2.9,3.43,2.19,2.45,129700,2.45,-0.12499999999999989
2009-02-02,2.37,3.2,2.12,2.45,60700,2.45,0.0
2009-03-02,2.45,3.4,2.28,3.25,21700,3.25,0.3265306122448979
2009-04-01,3.1,4.7,3.06,4.3,53700,4.3,0.32307692307692304
2009-05-01,4.39,5.75,4.23,5.74,82600,5.74,0.33488372093023266
2009-06-01,5.67,6.78,4.89,5.8,63900,5.8,0.010452961672473782
2009-07-01,5.89,7.1,5.27,6.58,44100,6.58,0.1344827586206898
2009-08-03,6.61,7.2,5.53,6.5,54500,6.5,-0.012158054711246202
2009-09-01,6.46,10.1,6.0,9.49,342100,9.49,0.45999999999999996
2009-10-01,9.56,10.28,7.79,9.62,203300,9.62,0.013698630136986134
2009-11-02,9.61,13.48,9.49,12.65,452500,12.65,0.314968814968815
2009-12-01,12.94,13.0,11.01,12.01,118600,12.01,-0.05059288537549411
2010-01-04,12.06,12.96,10.81,11.5,175700,11.5,-0.042464612822647796
2010-02-01,11.53,12.5,8.53,10.06,252300,10.06,-0.12521739130434784
2010-03-01,10.15,11.83,9.83,11.52,247500,11.52,0.14512922465208744
2010-04-01,11.68,12.67,10.31,10.37,308000,10.37,-0.09982638888888895
2010-05-03,10.5,10.6,7.86,9.48,385000,9.48,-0.08582449373191892
2010-06-01,9.34,10.04,8.62,9.01,118300,9.01,-0.049578059071730074
2010-07-01,9.09,9.95,8.2,9.76,139100,9.76,0.08324084350721428
2010-08-02,9.9,10.48,9.08,9.99,185600,9.99,0.023565573770491843
2010-09-01,10.17,11.32,9.78,11.19,318000,11.19,0.12012012012012008
2010-10-01,11.3,12.65,11.03,12.64,363300,12.64,0.12957998212689903
2010-11-01,12.68,14.68,12.61,13.61,345000,13.61,0.07674050632911378
2010-12-01,13.58,15.99,13.58,15.16,312700,15.16,0.1138868479059516
2011-01-03,15.3,17.43,15.25,16.05,377900,16.05,0.05870712401055411
2011-02-01,16.0,18.15,14.02,15.05,470600,15.05,-0.06230529595015577
2011-03-01,15.07,15.23,11.56,13.3,342800,13.3,-0.11627906976744184
2011-04-01,13.42,14.41,11.25,12.01,349500,12.01,-0.09699248120300763
2011-05-02,12.02,12.45,7.68,8.8,976200,8.8,-0.2672772689425478
2011-06-01,8.99,11.3,7.59,9.32,888400,9.32,0.05909090909090908
2011-07-01,9.02,11.54,6.93,6.97,750200,6.97,-0.25214592274678116
2011-08-01,7.15,7.22,4.54,5.71,798800,5.71,-0.18077474892395984
2011-09-01,5.71,7.5,5.39,5.84,353400,5.84,0.022767075306479923
2011-10-03,5.82,9.26,5.2,8.7,270800,8.7,0.4897260273972601
2011-11-01,8.44,9.47,7.55,8.85,262100,8.85,0.017241379310344973
2011-12-01,9.1,9.25,6.65,8.32,238000,8.32,-0.059887005649717495
2012-01-03,8.5,10.29,8.04,9.7,214200,9.7,0.16586538461538458
2012-02-01,9.8,11.35,8.85,10.16,376400,10.16,0.04742268041237119
2012-03-01,10.18,11.0,8.92,10.6,245100,10.6,0.04330708661417315
2012-04-02,10.6,11.25,9.52,9.93,268700,9.93,-0.06320754716981136
2012-05-01,9.98,10.12,8.21,8.98,161900,8.98,-0.09566968781470286
2012-06-01,8.8,9.08,7.57,8.52,223700,8.52,-0.051224944320712784
2012-07-02,8.58,8.85,7.3,7.79,149000,7.79,-0.08568075117370888
2012-08-01,7.89,10.03,7.3,9.4,139200,9.4,0.2066752246469834
2012-09-04,9.41,10.04,9.03,9.76,203800,9.76,0.038297872340425476
2012-10-01,9.86,10.86,9.55,10.38,210900,10.38,0.06352459016393452
2012-11-01,10.41,10.94,8.43,10.86,344900,10.86,0.046242774566473965
2012-12-03,10.98,12.2,9.88,11.88,314700,11.88,0.09392265193370175
2013-01-02,12.0,13.72,11.9,13.18,361300,13.18,0.10942760942760943
2013-02-01,13.14,14.86,11.94,12.47,303200,12.47,-0.0538694992412746
2013-03-01,12.39,14.0,12.0,12.19,213400,12.19,-0.02245388933440262
2013-04-01,12.2,12.49,11.01,12.04,159500,12.04,-0.012305168170631653
2013-05-01,11.93,12.55,11.03,11.74,201200,11.74,-0.02491694352159457
2013-06-03,11.7,12.71,10.89,12.41,164300,12.41,0.05706984667802395
2013-07-01,12.38,13.79,11.67,13.58,119300,13.58,0.09427880741337624
2013-08-01,13.75,14.4,13.13,13.15,115700,13.15,-0.03166421207658321
2013-09-03,13.38,15.73,12.89,14.95,185600,14.95,0.13688212927756638
2013-10-01,14.9,17.66,14.56,16.77,174900,16.77,0.12173913043478257
2013-11-01,16.7,16.95,15.69,16.63,468500,16.63,-0.008348240906380422
