Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-07-20,8.01,8.25,8.01,8.06,120400,8.06,0.0
2012-08-01,8.06,8.12,8.04,8.08,2900,8.08,0.002481389578163684
2012-09-04,8.08,8.16,8.07,8.11,3100,8.11,0.003712871287128605
2012-10-01,8.11,8.22,8.11,8.22,2400,8.22,0.01356350184956856
2012-11-01,8.22,8.3,8.2,8.3,9800,8.3,0.009732360097323589
2012-12-03,8.22,8.42,8.22,8.42,0,8.42,0.014457831325301207
2013-01-02,8.42,8.42,8.25,8.26,0,8.26,-0.019002375296912177
2013-02-01,8.26,8.27,8.26,8.27,0,8.27,0.001210653753026536
2013-03-01,8.27,8.55,8.22,8.33,9900,8.33,0.007255139056832061
2013-04-01,8.33,8.33,8.33,8.33,0,8.33,0.0
2013-05-01,8.33,8.34,8.31,8.34,100,8.34,0.0012004801920768582
2013-06-03,8.34,8.51,8.34,8.35,100,8.35,0.0011990407673860837
2013-07-01,8.35,8.39,8.11,8.3,500,8.3,-0.0059880239520956335
2013-08-01,8.3,8.38,8.3,8.38,0,8.38,0.009638554216867545
2013-09-03,8.38,8.41,8.35,8.41,100,8.41,0.0035799522673030104
2013-10-01,8.41,9.0,7.83,8.42,300,8.42,0.0011890606420927874
2013-11-01,8.4,8.7,8.4,8.7,200,8.7,0.03325415676959609
