Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-30,7.88,7.88,7.88,7.88,2744400,1.89,0.0
1990-04-02,7.8,7.8,6.08,6.08,38600,1.45,-0.2328042328042328
1990-05-01,6.08,6.41,5.83,5.91,21200,1.42,-0.020689655172413834
1990-06-01,5.91,6.24,5.75,6.24,13300,1.49,0.04929577464788748
1990-07-02,6.24,6.57,5.99,6.08,15100,1.45,-0.02684563758389269
1990-08-01,6.08,6.16,4.35,4.93,26400,1.18,-0.18620689655172418
1990-09-04,4.93,5.26,4.35,4.43,14100,1.06,-0.10169491525423724
1990-10-01,4.43,5.09,4.35,4.6,39700,1.1,0.037735849056603765
1990-11-01,4.76,4.85,4.52,4.6,29700,1.1,0.0
1990-12-03,4.6,4.99,4.52,4.99,19300,1.28,0.16363636363636358
1991-01-02,4.9,4.99,4.47,4.9,11500,1.26,-0.015625
1991-02-01,4.9,5.76,4.9,5.76,26700,1.48,0.17460317460317465
1991-03-01,5.59,5.94,5.42,5.51,16900,1.42,-0.04054054054054057
1991-04-01,5.51,5.76,5.08,5.33,9000,1.37,-0.035211267605633645
1991-05-01,5.42,5.51,5.16,5.33,7400,1.37,0.0
1991-06-03,5.33,5.33,4.73,4.9,9100,1.26,-0.08029197080291972
1991-07-01,4.9,5.42,4.82,5.25,16700,1.35,0.0714285714285714
1991-08-01,5.25,5.51,4.99,5.25,15000,1.35,0.0
1991-09-03,5.16,5.51,5.16,5.33,39000,1.37,0.014814814814814836
1991-10-01,5.33,5.59,5.25,5.42,15400,1.39,0.014598540145985162
1991-11-01,5.42,5.68,5.25,5.33,12800,1.37,-0.014388489208632893
1991-12-02,5.25,5.74,5.08,5.56,26000,1.56,0.13868613138686126
1992-01-02,5.56,5.74,5.56,5.74,25100,1.61,0.03205128205128216
1992-02-03,5.65,5.74,5.56,5.65,17600,1.58,-0.018633540372670843
1992-03-02,5.56,5.83,5.38,5.38,16600,1.51,-0.044303797468354444
1992-04-01,5.38,5.56,5.1,5.56,18000,1.56,0.0331125827814569
1992-05-01,5.47,5.92,5.47,5.83,12100,1.63,0.04487179487179471
1992-06-01,5.74,5.92,5.56,5.65,15300,1.58,-0.030674846625766805
1992-07-01,5.65,5.92,5.65,5.74,13300,1.61,0.018987341772152
1992-08-03,5.74,5.83,5.65,5.74,8700,1.61,0.0
1992-09-01,5.74,6.11,5.47,5.47,16400,1.53,-0.049689440993788914
1992-10-01,5.47,5.56,5.01,5.1,10600,1.43,-0.06535947712418311
1992-11-02,5.01,5.1,4.65,4.92,8700,1.38,-0.034965034965035
1992-12-01,4.83,5.1,4.65,5.0,21300,1.47,0.0652173913043479
1993-01-04,4.91,5.48,4.91,5.48,17100,1.61,0.09523809523809534
1993-02-01,5.48,5.76,4.82,5.0,17300,1.47,-0.08695652173913049
1993-03-01,5.0,5.76,4.91,5.76,25800,1.69,0.14965986394557818
1993-04-01,5.67,6.33,5.67,6.14,22700,1.8,0.06508875739644981
1993-05-03,6.14,6.23,5.76,5.95,11000,1.75,-0.02777777777777779
1993-06-01,5.95,6.23,5.76,5.76,15800,1.69,-0.034285714285714364
1993-07-01,5.85,6.33,5.76,6.04,22500,1.78,0.053254437869822535
1993-08-02,6.04,6.8,5.95,6.8,29000,2.0,0.12359550561797761
1993-09-01,6.8,7.18,6.04,6.42,19400,1.89,-0.05500000000000005
1993-10-01,6.33,6.8,6.33,6.61,12500,1.94,0.02645502645502651
1993-11-01,6.61,6.7,6.14,6.42,17100,1.89,-0.02577319587628868
1993-12-01,6.52,7.09,6.33,6.99,26800,2.06,0.08994708994709
1994-01-03,6.9,8.03,6.61,8.03,41300,2.36,0.14563106796116498
1994-02-01,8.03,8.5,7.18,7.75,28100,2.28,-0.03389830508474578
1994-03-01,7.65,7.94,6.42,6.9,20300,2.03,-0.10964912280701755
1994-04-04,6.8,7.18,6.52,6.9,10500,2.03,0.0
1994-05-02,6.9,7.18,6.61,6.71,14200,1.97,-0.029556650246305383
1994-06-01,6.8,6.9,6.33,6.33,9900,1.86,-0.055837563451776595
1994-07-01,6.33,6.9,6.33,6.8,7100,2.0,0.07526881720430101
1994-08-01,6.8,7.65,6.8,7.56,22300,2.22,0.1100000000000001
1994-09-01,7.56,7.94,7.46,7.84,29700,2.31,0.04054054054054057
1994-10-03,7.94,7.94,7.37,7.65,16100,2.25,-0.025974025974025983
1994-11-01,7.75,7.75,6.52,6.8,13200,2.0,-0.11111111111111116
1994-12-01,6.71,7.37,6.42,6.53,17900,1.92,-0.040000000000000036
1995-01-03,6.53,6.9,6.53,6.81,24200,2.01,0.046875
1995-02-01,6.9,7.57,6.81,7.47,14600,2.2,0.09452736318407973
1995-03-01,7.38,7.47,6.62,7.0,17300,2.06,-0.06363636363636371
1995-04-03,7.0,7.66,6.9,7.47,20900,2.2,0.06796116504854366
1995-05-01,7.57,8.61,7.57,8.61,17400,2.54,0.15454545454545454
1995-06-01,8.61,9.17,8.13,8.32,22300,2.45,-0.03543307086614167
1995-07-03,8.32,8.98,7.94,8.8,21700,2.59,0.05714285714285694
1995-08-01,8.7,8.89,8.32,8.61,16200,2.54,-0.019305019305019266
1995-09-01,8.61,8.8,8.42,8.8,14200,2.59,0.019685039370078705
1995-10-02,8.8,8.8,8.32,8.51,13800,2.51,-0.030888030888030937
