Date,Open,High,Low,Close,Volume,Adj Close,Return
2002-02-26,41.95,43.7,41.65,42.95,8702400,2.17,0.0
2002-03-01,42.85,42.85,39.0,40.1,738500,2.05,-0.055299539170507006
2002-04-01,40.0,43.97,39.05,39.9,1023000,2.04,-0.004878048780487698
2002-05-01,39.95,39.95,33.8,34.75,896800,1.78,-0.12745098039215685
2002-06-03,34.75,34.9,25.32,28.0,1141100,1.44,-0.1910112359550562
2002-07-01,28.15,29.6,16.61,17.79,2030000,0.91,-0.36805555555555547
2002-08-01,18.15,27.75,17.8,24.35,2395500,1.26,0.3846153846153846
2002-09-03,23.15,23.4,14.25,15.66,1261000,0.81,-0.3571428571428571
2002-10-01,15.9,22.25,14.8,22.17,2640400,1.15,0.41975308641975295
2002-11-01,21.99,22.99,19.4,20.98,1454300,1.09,-0.05217391304347807
2002-12-02,21.7,25.38,19.55,23.8,1440300,1.24,0.1376146788990824
2003-01-02,23.8,26.65,20.6,22.08,1823300,1.15,-0.07258064516129037
2003-02-03,22.2,22.96,20.51,21.91,832200,1.14,-0.008695652173913104
2003-03-03,22.16,27.5,21.9,27.09,1610300,1.43,0.2543859649122808
2003-04-01,27.37,34.55,27.2,33.3,2164900,1.76,0.23076923076923084
2003-05-01,33.4,36.5,31.43,34.4,2073100,1.81,0.02840909090909083
2003-06-02,33.7,35.72,33.0,33.9,1268700,1.79,-0.011049723756906049
2003-07-01,33.55,37.3,32.35,35.78,1911100,1.89,0.05586592178770933
2003-08-01,35.35,39.4,32.8,37.87,2197300,2.02,0.06878306878306883
2003-09-02,38.25,42.05,35.5,36.2,1973600,1.93,-0.044554455445544594
2003-10-01,36.14,41.84,36.14,40.85,1844900,2.18,0.1295336787564767
2003-11-03,41.4,42.95,38.43,41.27,1528100,2.2,0.00917431192660545
2003-12-01,41.52,49.95,41.52,48.77,1393100,2.66,0.209090909090909
2004-01-02,48.85,54.83,46.5,48.6,2001100,2.65,-0.00375939849624074
2004-02-02,48.0,51.75,45.11,47.5,2092800,2.6,-0.01886792452830177
2004-03-01,48.61,50.44,42.83,46.77,1844400,2.56,-0.015384615384615441
2004-04-01,47.8,49.95,37.94,39.64,2117900,2.17,-0.15234375
2004-05-03,39.61,42.4,35.34,42.25,2895100,2.31,0.06451612903225823
2004-06-01,41.69,46.64,40.57,46.64,1967700,2.55,0.10389610389610371
2004-07-01,47.0,49.21,43.9,46.24,1312700,2.53,-0.007843137254901933
2004-08-02,46.0,53.0,44.99,50.4,1147600,2.78,0.09881422924901195
2004-09-01,51.0,57.02,50.1,55.5,1383700,3.07,0.10431654676258995
2004-10-01,55.52,61.86,55.35,60.5,1831800,3.34,0.08794788273615639
2004-11-01,60.0,64.84,58.87,64.46,1592400,3.57,0.06886227544910173
2004-12-01,65.1,75.92,65.04,75.17,1905000,4.18,0.17086834733893563
2005-01-03,75.85,76.68,70.55,74.84,2986600,4.16,-0.004784688995215225
2005-02-01,74.4,88.7,74.4,86.66,2669400,4.82,0.15865384615384626
2005-03-01,85.5,92.94,77.1,81.15,2661300,4.55,-0.05601659751037358
2005-04-01,82.25,90.75,77.53,85.55,2384200,4.8,0.05494505494505497
2005-05-02,86.98,93.0,83.28,87.93,1625100,4.94,0.029166666666666785
2005-06-01,87.62,95.72,87.62,92.5,1805300,5.19,0.0506072874493928
2005-07-01,94.65,96.98,83.67,93.96,1953900,5.28,0.01734104046242768
2005-08-01,94.95,105.9,91.55,104.78,2453100,5.93,0.12310606060606055
2005-09-01,103.9,120.46,103.45,118.66,3006100,6.71,0.13153456998313673
2005-10-03,120.58,123.64,21.52,23.96,2955500,6.78,0.010432190760059745
2005-11-01,24.0,26.55,23.49,25.36,2902500,7.18,0.05899705014749257
2005-12-01,25.9,27.68,23.15,24.02,2424400,6.8,-0.05292479108635095
2006-01-03,24.9,30.68,24.47,30.45,3221500,8.63,0.2691176470588237
2006-02-01,30.34,34.49,28.77,32.68,3140700,9.26,0.07300115874855151
2006-03-01,33.3,33.73,29.09,29.77,3086900,8.54,-0.07775377969762431
2006-04-03,29.97,32.7,29.15,31.8,2321000,9.12,0.06791569086651061
2006-05-01,31.9,36.3,23.87,26.64,6199900,7.65,-0.1611842105263157
2006-06-01,26.75,29.43,22.18,29.16,5307200,8.37,0.09411764705882342
2006-07-03,29.7,31.12,25.94,30.86,3311900,8.86,0.05854241338112298
2006-08-01,30.25,31.36,28.28,30.44,3091300,8.78,-0.009029345372460473
2006-09-01,30.62,31.8,27.39,30.0,3055100,8.66,-0.013667425968109215
2006-10-02,30.98,35.0,29.7,33.2,3609800,9.58,0.10623556581986149
2006-11-01,33.4,34.57,32.15,33.48,2728100,9.67,0.009394572025052117
2006-12-01,33.41,36.44,32.78,36.15,2664800,10.44,0.07962771458117879
2007-01-03,36.55,38.0,33.78,36.97,3815900,10.68,0.02298850574712641
2007-02-01,37.7,38.21,32.86,34.16,4904700,9.88,-0.07490636704119835
2007-03-01,32.3,36.86,31.55,34.82,5681100,10.26,0.038461538461538325
2007-04-02,35.01,40.08,34.3,38.58,4590200,11.37,0.10818713450292394
2007-05-01,40.45,46.41,38.3,44.09,5196600,13.0,0.14335971855760787
2007-06-01,44.79,46.6,41.54,44.44,4563000,13.11,0.00846153846153852
2007-07-02,45.0,51.18,43.2,45.74,5639100,13.5,0.029748283752860427
2007-08-01,44.94,46.89,33.45,43.53,9516900,12.99,-0.0377777777777778
