Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,4.88,5.12,4.63,4.75,29300,4.75,0.0
1990-04-02,4.63,4.88,4.12,4.12,30300,4.12,-0.13263157894736843
1990-05-01,4.12,4.75,4.12,4.25,25300,4.25,0.0315533980582523
1990-06-01,4.25,4.63,4.06,4.37,35000,4.37,0.028235294117647136
1990-07-02,4.37,4.37,4.12,4.25,15100,4.25,-0.027459954233409634
1990-08-01,4.19,5.25,4.12,4.37,20000,4.37,0.028235294117647136
1990-09-04,4.12,4.5,3.75,3.88,19100,3.88,-0.11212814645308933
1990-10-01,3.88,4.12,3.62,3.88,13300,3.88,0.0
1990-11-01,3.88,4.63,3.75,4.5,31500,4.5,0.1597938144329898
1990-12-03,4.37,4.63,4.0,4.37,18400,4.37,-0.028888888888888853
1991-01-02,4.12,4.37,3.5,4.12,8700,4.12,-0.05720823798627006
1991-02-01,4.0,5.5,4.0,4.88,37500,4.88,0.18446601941747565
1991-03-01,4.75,5.25,4.5,4.94,21700,4.94,0.012295081967213184
1991-04-01,5.0,5.5,4.0,4.25,32800,4.25,-0.13967611336032393
1991-05-01,4.63,4.63,3.88,4.0,10000,4.0,-0.05882352941176472
1991-06-03,4.12,4.12,3.38,3.5,18400,3.5,-0.125
1991-07-01,3.75,3.75,2.75,3.0,15200,3.0,-0.1428571428571429
1991-08-01,3.0,3.38,2.12,2.5,23500,2.5,-0.16666666666666663
1991-09-03,2.62,2.62,2.12,2.38,24900,2.38,-0.04800000000000004
1991-10-01,2.38,2.75,2.0,2.12,31900,2.12,-0.10924369747899154
1991-11-01,2.12,2.38,1.88,1.88,16300,1.88,-0.1132075471698114
1991-12-02,1.88,2.5,1.88,2.12,28200,2.12,0.1276595744680853
1992-01-02,2.12,3.62,2.12,3.13,28900,3.13,0.4764150943396226
1992-02-03,2.87,4.0,2.62,3.75,26000,3.75,0.1980830670926519
1992-03-02,3.75,6.88,3.62,6.38,156200,6.38,0.7013333333333334
1992-04-01,6.13,6.62,5.25,6.13,97200,6.13,-0.039184952978056464
1992-05-01,6.5,8.12,6.38,7.25,113600,7.25,0.18270799347471445
1992-06-01,7.63,7.63,5.5,6.13,32800,6.13,-0.15448275862068972
1992-07-01,5.62,6.13,5.25,5.38,16800,5.38,-0.12234910277324629
1992-08-03,5.25,6.25,5.25,5.62,27600,5.62,0.04460966542750944
1992-09-01,5.87,7.25,5.62,6.88,33700,6.88,0.2241992882562278
1992-10-01,7.0,8.25,6.38,8.25,37600,8.25,0.1991279069767442
1992-11-02,7.88,9.62,7.63,9.0,46000,9.0,0.09090909090909083
1992-12-01,9.38,10.75,8.5,10.37,50400,10.37,0.15222222222222204
1993-01-04,10.37,13.5,9.88,11.87,55100,11.87,0.14464802314368375
1993-02-01,11.62,12.0,9.25,11.5,38100,11.5,-0.031171019376579512
1993-03-01,11.5,13.25,9.5,12.75,68200,12.75,0.10869565217391308
1993-04-01,12.75,13.0,10.0,10.5,37400,10.5,-0.17647058823529416
1993-05-03,10.12,14.25,10.0,13.75,67500,13.75,0.30952380952380953
1993-06-01,13.75,14.25,8.75,9.88,68400,9.88,-0.2814545454545454
1993-07-01,9.5,10.5,9.25,9.5,21100,9.5,-0.03846153846153855
1993-08-02,9.25,11.5,9.0,9.75,24100,9.75,0.026315789473684292
1993-09-01,9.25,10.5,8.75,10.25,19100,10.25,0.05128205128205132
1993-10-01,9.62,10.25,5.75,7.25,66200,7.25,-0.29268292682926833
1993-11-01,7.37,7.5,6.0,7.25,63900,7.25,0.0
1993-12-01,7.0,8.75,6.5,8.25,87800,8.25,0.13793103448275867
1994-01-03,7.75,9.25,6.5,8.0,47300,8.0,-0.030303030303030276
1994-02-01,8.12,8.5,6.25,7.25,52700,7.25,-0.09375
1994-03-01,6.5,7.25,6.5,7.0,11500,7.0,-0.03448275862068961
1994-04-04,6.5,8.0,6.25,7.0,36300,7.0,0.0
1994-05-02,7.0,7.25,5.75,6.75,24400,6.75,-0.0357142857142857
1994-06-01,6.75,7.5,6.25,6.25,26700,6.25,-0.07407407407407407
1994-07-01,6.25,7.75,6.0,7.0,18000,7.0,0.1200000000000001
1994-08-01,6.75,8.25,6.0,7.63,45500,7.63,0.09000000000000008
1994-09-01,7.5,11.5,7.5,10.25,59400,10.25,0.3433813892529489
1994-10-03,10.5,11.0,8.75,11.0,40600,11.0,0.07317073170731714
1994-11-01,10.5,11.25,9.25,10.5,34600,10.5,-0.045454545454545414
1994-12-01,10.25,11.0,9.75,10.5,16500,10.5,0.0
1995-01-03,10.5,12.0,10.25,11.25,39800,11.25,0.0714285714285714
1995-02-01,11.25,11.25,10.0,10.63,22900,10.63,-0.055111111111111
1995-03-01,11.12,15.25,10.0,14.0,89700,14.0,0.31702728127939794
1995-04-03,14.0,15.25,13.12,14.25,75100,14.25,0.017857142857142794
1995-05-01,14.25,14.62,13.25,13.88,136800,13.88,-0.025964912280701746
1995-06-01,13.88,16.75,13.25,16.0,125200,16.0,0.1527377521613833
1995-07-03,16.25,18.25,14.75,16.44,85500,16.44,0.02750000000000008
1995-08-01,16.63,18.0,13.63,15.25,90900,15.25,-0.07238442822384439
1995-09-01,15.25,15.5,13.5,14.44,90300,14.44,-0.05311475409836064
1995-10-02,14.25,14.5,9.75,10.37,83500,10.37,-0.2818559556786704
1995-11-01,10.37,12.5,10.0,11.12,48500,11.12,0.07232401157184176
1995-12-01,10.75,11.12,7.75,8.38,119800,8.38,-0.24640287769784164
1996-01-02,8.5,9.0,5.87,6.0,83800,6.0,-0.2840095465393795
1996-02-01,6.38,8.25,5.12,7.75,108300,7.75,0.29166666666666674
1996-03-01,7.37,8.5,6.62,6.81,48800,6.81,-0.1212903225806452
1996-04-01,6.75,7.25,6.0,6.0,91700,6.0,-0.11894273127753296
1996-05-01,6.5,8.12,6.13,7.75,70000,7.75,0.29166666666666674
1996-06-03,7.75,9.75,6.25,6.5,129500,6.5,-0.16129032258064513
1996-07-01,6.5,8.38,6.38,7.12,46700,7.12,0.0953846153846154
1996-08-01,7.0,7.5,6.25,6.62,31700,6.62,-0.0702247191011236
1996-09-03,6.62,8.5,6.38,7.88,63200,7.88,0.19033232628398777
1996-10-01,8.12,9.0,7.63,7.75,54100,7.75,-0.016497461928933976
1996-11-01,7.63,9.0,7.12,8.75,47500,8.75,0.12903225806451624
1996-12-02,8.5,8.87,6.25,7.5,87000,7.5,-0.1428571428571429
1997-01-02,7.63,8.0,6.5,6.88,42500,6.88,-0.08266666666666667
1997-02-03,6.88,7.5,6.38,6.75,31800,6.75,-0.018895348837209336
1997-03-03,6.62,7.12,5.62,5.62,38100,5.62,-0.16740740740740734
1997-04-01,5.62,6.25,5.62,5.75,35200,5.75,0.02313167259786475
1997-05-01,5.81,6.75,5.38,5.75,59200,5.75,0.0
1997-06-02,5.75,6.25,4.25,4.88,68000,4.88,-0.15130434782608693
1997-07-01,4.75,5.38,4.19,4.63,68000,4.63,-0.05122950819672134
1997-08-01,4.63,5.5,4.25,4.88,61200,4.88,0.05399568034557234
1997-09-02,5.12,5.81,4.88,5.0,38100,5.0,0.024590163934426146
1997-10-01,5.12,5.56,4.12,4.75,39200,4.75,-0.050000000000000044
1997-11-03,4.69,5.56,4.0,5.56,49300,5.56,0.17052631578947364
1997-12-01,5.62,6.0,3.88,4.37,60300,4.37,-0.21402877697841716
1998-01-02,4.37,4.88,3.38,4.06,37500,4.06,-0.07093821510297493
1998-02-02,4.0,4.37,3.75,4.0,22600,4.0,-0.01477832512315258
1998-03-02,3.81,4.12,2.75,3.13,75400,3.13,-0.21750000000000003
1998-04-01,3.06,4.12,3.06,3.5,36600,3.5,0.1182108626198084
1998-05-01,3.62,3.88,2.75,2.94,23300,2.94,-0.16000000000000003
1998-06-01,2.94,3.13,2.25,2.75,27500,2.75,-0.06462585034013602
1998-07-01,2.75,2.94,2.31,2.5,17800,2.5,-0.09090909090909094
1998-08-03,2.56,2.94,1.75,2.06,19300,2.06,-0.17599999999999993
1998-09-01,1.75,2.75,1.63,2.56,17800,2.56,0.24271844660194164
1998-10-01,2.5,3.13,2.25,2.75,23300,2.75,0.07421875
1998-11-02,2.75,4.75,2.75,4.56,60800,4.56,0.658181818181818
1998-12-01,4.31,5.0,3.69,3.81,39500,3.81,-0.16447368421052622
1999-01-04,3.81,6.0,3.81,5.75,103300,5.75,0.5091863517060367
1999-02-01,5.62,6.06,4.31,4.56,49500,4.56,-0.20695652173913048
1999-03-01,4.44,4.75,3.06,3.25,44900,3.25,-0.2872807017543859
1999-04-01,3.25,5.0,3.25,4.81,44700,4.81,0.48
1999-05-03,4.75,5.5,4.69,5.31,34500,5.31,0.10395010395010407
1999-06-01,5.41,5.87,4.5,5.62,24700,5.62,0.05838041431261787
1999-07-01,5.5,7.31,5.0,6.5,68500,6.5,0.15658362989323837
1999-08-02,6.56,6.75,4.19,4.19,38400,4.19,-0.3553846153846153
1999-09-01,4.44,4.94,3.69,4.25,49400,4.25,0.014319809069212264
1999-10-01,4.25,4.75,3.44,4.12,30000,4.12,-0.030588235294117583
1999-11-01,4.0,4.63,3.69,4.19,27200,4.19,0.016990291262136026
1999-12-01,4.25,4.31,3.31,3.75,67500,3.75,-0.10501193317422441
2000-01-03,3.88,4.69,3.13,3.25,82600,3.25,-0.1333333333333333
2000-02-01,3.41,4.0,3.0,3.69,44800,3.69,0.13538461538461544
2000-03-01,3.62,3.75,3.13,3.25,51100,3.25,-0.1192411924119241
2000-04-03,3.38,3.75,2.38,2.62,56000,2.62,-0.19384615384615378
2000-05-01,2.81,3.13,2.5,2.75,35400,2.75,0.04961832061068705
2000-06-01,2.69,3.25,2.59,3.0,37600,3.0,0.09090909090909083
2000-07-03,3.0,4.5,2.94,3.69,29400,3.69,0.22999999999999998
2000-08-01,3.81,5.25,3.31,4.94,42900,4.94,0.3387533875338755
2000-09-01,5.12,5.69,4.0,4.69,36800,4.69,-0.05060728744939269
2000-10-02,4.75,5.25,3.62,4.75,20200,4.75,0.012793176972281328
2000-11-01,4.75,5.5,3.5,4.31,19700,4.31,-0.09263157894736851
2000-12-01,4.0,4.25,2.06,2.75,54100,2.75,-0.36194895591647325
2001-01-02,2.75,3.12,2.44,2.94,20200,2.94,0.06909090909090909
2001-02-01,2.81,2.94,2.25,2.62,9500,2.62,-0.10884353741496589
2001-03-01,2.59,2.62,2.06,2.25,11600,2.25,-0.1412213740458016
2001-04-02,2.25,2.25,1.38,1.77,20500,1.77,-0.21333333333333337
2001-05-01,1.92,2.05,1.38,1.85,22800,1.85,0.04519774011299438
2001-06-01,1.75,2.15,1.71,2.06,9600,2.06,0.11351351351351346
2001-07-02,2.07,2.1,1.85,2.1,6800,2.1,0.01941747572815533
2001-08-01,2.0,3.1,1.9,2.2,8000,2.2,0.04761904761904767
2001-09-04,2.2,2.36,1.24,1.89,17200,1.89,-0.14090909090909098
2001-10-01,1.95,2.25,1.51,2.0,6200,2.0,0.058201058201058364
2001-11-01,2.0,2.74,1.87,2.6,38600,2.6,0.30000000000000004
2001-12-03,2.47,2.99,0.86,1.55,28200,1.55,-0.40384615384615385
2002-01-02,1.55,1.85,0.97,1.44,10200,1.44,-0.07096774193548394
2002-02-04,1.5,1.5,1.02,1.11,6600,1.11,-0.22916666666666652
2002-03-01,1.22,1.4,0.74,1.32,11100,1.32,0.18918918918918903
2002-04-01,1.4,2.25,1.15,1.65,8600,1.65,0.24999999999999978
