Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-06-23,1.25,1.25,1.25,1.25,0,1.25,0.0
2000-07-03,1.25,1.25,0.62,0.88,400,0.88,-0.29600000000000004
2000-08-01,0.88,1.75,0.62,1.53,2200,1.53,0.7386363636363638
2000-09-01,1.62,1.84,1.25,1.72,8200,1.72,0.12418300653594772
2000-10-02,1.72,1.75,1.31,1.5,6600,1.5,-0.12790697674418605
2000-11-01,1.41,1.53,0.81,1.25,2600,1.25,-0.16666666666666663
2000-12-01,1.06,2.0,1.03,1.44,7400,1.44,0.1519999999999999
2001-01-02,1.44,2.06,1.25,1.69,4300,1.69,0.17361111111111116
2001-02-01,2.0,2.62,1.5,1.75,7500,1.75,0.035502958579881616
2001-03-01,1.88,2.06,1.34,1.56,3300,1.56,-0.10857142857142854
2001-04-02,1.56,1.88,1.31,1.7,3600,1.7,0.08974358974358965
2001-05-01,1.5,1.8,1.3,1.5,1600,1.5,-0.11764705882352944
2001-06-01,1.5,1.65,1.05,1.1,2100,1.1,-0.2666666666666666
2001-07-02,1.1,1.25,0.9,1.0,700,1.0,-0.09090909090909094
2001-08-01,1.0,1.05,0.7,1.01,2500,1.01,0.010000000000000009
2001-09-04,1.01,1.02,0.7,0.9,1100,0.9,-0.1089108910891089
2001-10-01,0.65,1.01,0.65,1.01,500,1.01,0.12222222222222223
2001-11-01,0.75,1.02,0.75,1.01,9200,1.01,0.0
2001-12-03,0.99,1.0,0.8,0.95,4200,0.95,-0.05940594059405946
2002-01-02,0.95,0.95,0.75,0.75,2400,0.75,-0.21052631578947367
2002-02-04,0.6,0.75,0.38,0.46,7600,0.46,-0.3866666666666666
2002-03-01,0.46,0.75,0.4,0.7,6700,0.7,0.5217391304347825
2002-04-01,0.7,0.85,0.56,0.85,1300,0.85,0.2142857142857144
2002-05-01,0.65,0.85,0.55,0.8,2900,0.8,-0.05882352941176461
2002-06-03,0.8,0.83,0.47,0.5,3700,0.5,-0.375
2002-07-01,0.5,0.5,0.35,0.35,3700,0.35,-0.30000000000000004
2002-08-01,0.35,0.45,0.35,0.45,3400,0.45,0.2857142857142858
2002-09-03,0.45,0.45,0.35,0.35,100,0.35,-0.22222222222222232
