Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,10.39,10.45,10.16,10.45,11000,3.39,0.0
1995-09-01,10.35,10.82,10.35,10.78,9900,3.53,0.041297935103244754
1995-10-02,10.78,10.97,10.69,10.74,8900,3.54,0.0028328611898018607
1995-11-01,10.74,10.93,10.61,10.71,12400,3.55,0.0028248587570620654
1995-12-01,10.8,10.9,10.32,10.47,22300,3.5,-0.014084507042253502
1996-01-02,10.57,11.49,10.47,11.49,13300,3.86,0.10285714285714276
1996-02-01,11.59,11.59,11.2,11.55,13900,3.91,0.012953367875647714
1996-03-01,11.55,11.84,11.31,11.41,9200,3.89,-0.005115089514066473
1996-04-01,11.31,11.47,11.02,11.47,9100,3.94,0.01285347043701801
1996-05-01,11.38,11.77,11.38,11.53,10100,3.98,0.010152284263959421
1996-06-03,11.53,11.63,11.1,11.29,7700,3.92,-0.015075376884422176
1996-07-01,11.29,11.69,11.29,11.55,6700,4.04,0.030612244897959107
1996-08-01,11.65,11.91,11.61,11.91,7000,4.19,0.03712871287128716
1996-09-03,11.91,12.07,11.61,11.97,12500,4.24,0.01193317422434359
1996-10-01,12.07,12.07,11.72,11.92,8300,4.25,0.002358490566037652
1996-11-01,11.82,11.99,11.72,11.99,7600,4.3,0.0117647058823529
1996-12-02,12.09,12.29,11.94,12.25,8700,4.42,0.027906976744185963
1997-01-02,12.25,12.31,11.94,12.21,6600,4.43,0.002262443438914019
1997-02-03,12.31,12.58,12.17,12.58,10700,4.59,0.036117381489842115
1997-03-03,12.58,12.58,12.02,12.02,9900,4.41,-0.039215686274509776
1997-04-01,12.12,12.29,11.71,12.19,9600,4.5,0.020408163265306145
1997-05-01,12.19,12.67,12.19,12.56,8400,4.67,0.03777777777777769
1997-06-02,12.67,13.46,12.46,13.46,8600,5.04,0.07922912205567445
1997-07-01,13.68,13.83,13.21,13.42,9900,5.05,0.001984126984126977
1997-08-01,13.42,14.13,13.37,13.76,7800,5.21,0.03168316831683171
1997-09-02,13.81,13.92,13.44,13.72,8400,5.22,0.0019193857965451588
1997-10-01,13.66,13.82,13.3,13.57,4700,5.19,-0.005747126436781436
1997-11-03,13.35,14.23,13.35,14.12,4900,5.43,0.046242774566473965
1997-12-01,14.12,14.23,13.9,13.97,4900,5.4,-0.0055248618784529135
1998-01-02,14.02,14.63,13.86,14.52,8200,5.65,0.04629629629629628
1998-02-02,14.52,14.52,14.03,14.2,4300,5.55,-0.017699115044247926
1998-03-02,14.09,14.2,13.5,13.66,8000,5.37,-0.032432432432432434
1998-04-01,13.61,13.72,13.28,13.51,7800,5.33,-0.007448789571694592
1998-05-01,13.56,13.79,13.34,13.73,6700,5.45,0.022514071294559068
1998-06-01,13.79,14.45,13.69,14.13,5800,5.64,0.03486238532110075
1998-07-01,13.96,14.52,13.86,14.31,6300,5.74,0.0177304964539009
1998-08-03,14.42,14.7,13.97,14.31,7000,5.77,0.00522648083623678
1998-09-01,14.37,15.28,14.09,15.0,7100,6.08,0.05372616984402079
1998-10-01,15.06,15.4,14.83,15.18,7300,6.18,0.016447368421052655
1998-11-02,15.18,15.82,15.07,15.54,6400,6.36,0.02912621359223322
1998-12-01,15.48,15.92,15.2,15.75,3500,6.57,0.03301886792452824
1999-01-04,15.75,15.98,14.72,15.42,6100,6.46,-0.016742770167427756
1999-02-01,15.47,15.53,15.07,15.19,6600,6.4,-0.009287925696594312
1999-03-01,15.08,15.49,14.08,14.55,6900,6.16,-0.03749999999999998
1999-04-05,14.55,14.86,14.21,14.39,6400,6.12,-0.006493506493506551
