Date,Open,High,Low,Close,Volume,Adj Close,Return
1987-03-05,2.43,2.46,2.43,2.46,564800,0.04,0.0
1987-04-01,2.43,2.46,2.31,2.43,189200,0.04,0.0
1987-05-01,2.43,2.46,2.39,2.45,138000,0.04,0.0
1987-06-01,2.42,2.51,2.42,2.45,172900,0.04,0.0
1987-07-01,2.48,2.54,2.45,2.5,126700,0.05,0.25
1987-08-03,2.5,2.53,2.47,2.53,146100,0.05,0.0
1987-09-01,2.53,2.53,2.43,2.49,165200,0.05,0.0
1987-10-01,2.49,2.49,1.94,2.36,237300,0.05,0.0
1987-11-02,2.39,2.61,2.36,2.51,187300,0.05,0.0
1987-12-01,2.58,2.67,2.45,2.67,145000,0.06,0.19999999999999996
1988-01-04,2.67,2.8,2.63,2.73,222100,0.06,0.0
1988-02-01,2.73,2.8,2.69,2.73,168500,0.07,0.16666666666666674
1988-03-01,2.73,2.79,2.69,2.75,152600,0.07,0.0
1988-04-04,2.75,2.89,2.72,2.82,183900,0.07,0.0
1988-05-02,2.82,2.85,2.78,2.81,191500,0.08,0.1428571428571428
1988-06-01,2.85,2.94,2.81,2.87,171200,0.08,0.0
1988-07-01,2.91,2.94,2.87,2.87,190900,0.08,0.0
1988-08-01,2.9,3.07,2.79,2.86,222100,0.09,0.125
1988-09-01,2.86,2.96,2.82,2.85,194600,0.09,0.0
1988-10-03,2.89,2.98,2.85,2.95,189800,0.1,0.11111111111111116
1988-11-01,2.98,3.02,2.95,3.02,168000,0.1,0.0
1988-12-01,3.02,3.07,2.97,3.03,182400,0.12,0.19999999999999996
1989-01-03,3.06,3.14,3.06,3.14,182200,0.12,0.0
1989-02-01,3.1,3.17,3.1,3.17,187000,0.13,0.08333333333333348
1989-03-01,3.17,3.21,2.97,2.97,251600,0.13,0.0
1989-04-03,3.01,3.12,2.97,3.08,201400,0.13,0.0
1989-05-01,3.12,3.23,3.08,3.19,185300,0.14,0.0769230769230771
1989-06-01,3.19,3.27,3.14,3.18,256900,0.15,0.0714285714285714
1989-07-03,3.23,3.3,3.18,3.26,221900,0.16,0.06666666666666665
1989-08-01,3.26,3.34,3.22,3.33,230600,0.17,0.0625
1989-09-01,3.29,3.38,3.2,3.24,268400,0.17,0.0
1989-10-02,3.2,3.28,3.06,3.06,266400,0.16,-0.05882352941176472
1989-11-01,3.06,3.18,3.06,3.14,230800,0.17,0.0625
1989-12-01,3.14,3.18,2.96,3.05,279000,0.17,0.0
1990-01-02,3.05,3.18,3.0,3.13,177200,0.18,0.0588235294117645
1990-02-01,3.13,3.17,2.89,2.98,200400,0.18,0.0
1990-03-01,2.98,3.07,2.66,2.84,274400,0.18,0.0
1990-04-02,2.79,3.2,2.74,2.78,227600,0.18,0.0
1990-05-01,2.83,2.97,2.69,2.82,224900,0.19,0.05555555555555558
1990-06-01,2.82,3.0,2.62,2.95,175400,0.21,0.10526315789473673
1990-07-02,2.9,3.04,2.9,2.99,174200,0.22,0.04761904761904767
