Date,Open,High,Low,Close,Volume,Adj Close,Return
1991-02-28,7.88,8.13,7.38,7.5,2943600,3.72,0.0
1991-03-01,7.25,7.38,6.38,6.75,204200,3.35,-0.09946236559139787
1991-04-01,6.75,7.38,5.88,6.63,204000,3.29,-0.017910447761193993
1991-05-01,6.63,7.13,6.13,6.63,174800,3.29,0.0
1991-06-03,6.5,6.88,4.75,5.38,183500,2.67,-0.1884498480243162
1991-07-01,5.25,6.25,4.88,6.0,333500,2.98,0.11610486891385774
1991-08-01,6.0,6.38,5.25,5.75,189500,2.85,-0.043624161073825496
1991-09-03,5.88,6.0,4.75,5.25,183600,2.61,-0.08421052631578951
1991-10-01,5.38,7.0,5.25,6.88,632600,3.41,0.30651340996168597
1991-11-01,6.88,7.38,5.88,6.38,271100,3.17,-0.0703812316715543
1991-12-02,6.38,6.63,5.5,6.25,166100,3.1,-0.02208201892744477
1992-01-02,6.25,7.13,5.5,6.75,366300,3.35,0.08064516129032251
1992-02-03,6.63,6.88,5.75,6.88,286900,3.41,0.017910447761193993
1992-03-02,6.75,7.38,6.0,6.13,270900,3.04,-0.10850439882697949
1992-04-01,6.0,6.5,5.5,6.13,264900,3.04,0.0
1992-05-01,6.13,7.38,6.13,7.25,315500,3.6,0.18421052631578938
1992-06-01,7.13,7.5,6.75,7.13,300100,3.54,-0.01666666666666672
1992-07-01,7.0,8.0,6.88,7.88,346000,3.91,0.10451977401129953
1992-08-03,7.75,7.88,7.13,7.75,195600,3.85,-0.01534526854219953
1992-09-01,7.75,8.13,7.63,7.75,281400,3.85,0.0
1992-10-01,7.63,7.75,6.38,6.38,203900,3.17,-0.17662337662337668
1992-11-02,6.38,7.38,6.13,7.13,205300,3.54,0.11671924290220814
1992-12-01,7.0,7.25,6.0,6.5,474200,3.23,-0.08757062146892658
1993-01-04,6.5,7.25,6.13,6.75,326600,3.35,0.037151702786377694
1993-02-01,6.75,7.75,6.63,7.75,496200,3.85,0.14925373134328357
1993-03-01,7.75,8.0,7.25,7.63,398800,3.79,-0.01558441558441559
1993-04-01,7.75,9.75,7.63,9.5,770000,4.71,0.24274406332453813
1993-05-03,9.38,10.0,9.13,9.5,612600,4.71,0.0
1993-06-01,9.5,11.0,9.38,10.13,506900,5.03,0.06794055201698512
1993-07-01,10.13,10.25,8.63,9.38,237800,4.65,-0.07554671968190851
1993-08-02,9.38,10.13,9.13,10.13,675400,5.03,0.08172043010752694
1993-09-01,10.13,10.5,8.0,9.38,398000,4.65,-0.07554671968190851
1993-10-01,9.5,10.0,8.13,8.75,377700,4.34,-0.06666666666666676
1993-11-01,8.63,8.75,6.63,6.75,365200,3.35,-0.22811059907834097
1993-12-01,6.75,8.13,6.13,8.13,587100,4.03,0.20298507462686577
1994-01-03,7.75,7.88,6.75,7.63,376900,3.79,-0.05955334987593053
1994-02-01,7.5,7.88,6.38,6.63,395800,3.29,-0.13192612137203164
1994-03-01,6.75,7.75,6.25,6.63,356100,3.29,0.0
1994-04-04,6.38,7.0,6.25,7.0,323500,3.47,0.054711246200607855
1994-05-02,7.0,7.0,6.13,6.75,331600,3.35,-0.03458213256484155
1994-06-01,6.63,7.5,6.5,7.38,347000,3.66,0.09253731343283578
1994-07-01,7.25,7.38,6.63,6.88,241400,3.41,-0.06830601092896171
1994-08-01,6.75,6.88,5.75,6.38,548400,3.17,-0.0703812316715543
1994-09-01,6.25,6.5,5.88,6.13,495200,3.04,-0.04100946372239744
1994-10-03,6.25,7.5,6.13,7.38,458500,3.66,0.20394736842105265
1994-11-01,7.25,7.88,7.13,7.25,458700,3.6,-0.016393442622950838
1994-12-01,7.38,7.38,6.0,6.5,496500,3.23,-0.10277777777777786
1995-01-03,6.75,6.88,6.13,6.5,396300,3.23,0.0
1995-02-01,6.5,6.75,6.13,6.75,268200,3.35,0.037151702786377694
1995-03-01,6.5,7.5,6.5,7.5,362700,3.72,0.11044776119402977
1995-04-03,7.5,9.5,7.38,9.44,803200,4.68,0.25806451612903203
1995-05-01,9.5,9.5,8.38,8.63,428900,4.28,-0.08547008547008539
1995-06-01,8.75,9.69,7.75,8.44,396800,4.19,-0.02102803738317749
1995-07-03,8.25,9.06,7.94,9.06,389500,4.5,0.07398568019093066
1995-08-01,9.13,9.25,8.13,9.25,279600,4.59,0.020000000000000018
1995-09-01,9.25,10.0,8.81,9.44,547900,4.68,0.019607843137254832
1995-10-02,9.44,9.5,8.06,8.63,425400,4.28,-0.08547008547008539
1995-11-01,8.69,10.13,8.38,9.88,363300,4.9,0.1448598130841121
1995-12-01,9.81,11.38,9.56,11.25,796600,5.58,0.13877551020408152
1996-01-02,11.13,12.13,10.25,12.13,538000,6.02,0.07885304659498193
1996-02-01,12.13,14.13,11.63,12.88,511300,6.39,0.06146179401993357
1996-03-01,13.0,15.25,12.63,14.25,414500,7.07,0.10641627543036014
1996-04-01,14.5,16.25,14.25,15.38,563200,7.63,0.07920792079207906
1996-05-01,15.5,15.63,13.88,15.38,1159500,7.63,0.0
1996-06-03,15.38,16.62,14.5,16.25,1055700,8.06,0.05635648754914824
1996-07-01,16.25,17.37,13.88,14.38,698900,7.14,-0.11414392059553358
1996-08-01,14.38,15.38,14.25,14.88,618300,7.38,0.03361344537815136
1996-09-03,14.88,15.13,13.0,13.63,1028500,6.76,-0.0840108401084011
1996-10-01,13.63,17.0,13.38,16.62,1499100,8.25,0.22041420118343202
1996-11-01,16.62,21.12,16.0,19.37,1634100,9.61,0.1648484848484848
1996-12-02,19.5,21.5,17.12,19.25,839400,9.55,-0.006243496357960288
1997-01-02,19.12,22.0,18.25,18.5,1132100,9.18,-0.03874345549738234
1997-02-03,18.87,19.25,14.75,15.38,1097000,7.63,-0.16884531590413943
1997-03-03,15.0,21.0,14.75,19.52,1194700,9.69,0.2699868938401049
1997-04-01,19.12,20.25,17.75,18.75,1104700,9.3,-0.04024767801857576
1997-05-01,19.25,22.62,17.87,22.44,1038400,11.14,0.1978494623655913
1997-06-02,22.5,25.06,22.37,25.0,1117600,12.41,0.1140035906642729
1997-07-01,25.0,32.25,24.87,31.25,2111400,15.51,0.2497985495568089
1997-08-01,31.0,35.63,28.87,34.44,1072800,17.09,0.10186976144422943
1997-09-02,34.25,40.88,34.06,39.13,1342200,19.42,0.13633703920421314
1997-10-01,39.13,46.81,33.0,41.13,1560100,20.41,0.0509783728115345
1997-11-03,41.88,46.0,34.25,35.06,1634100,17.4,-0.1474767270945616
1997-12-01,35.0,39.75,26.0,31.62,2475900,15.69,-0.09827586206896544
1998-01-02,31.56,31.56,22.44,23.94,3081400,11.88,-0.24282982791586993
1998-02-02,24.12,25.25,19.94,22.87,3879200,11.35,-0.04461279461279466
