Date,Open,High,Low,Close,Volume,Adj Close,Return
2002-10-23,4.2,4.4,3.2,3.95,24300,3.95,0.0
2002-11-01,3.99,4.15,3.4,3.75,11300,3.75,-0.05063291139240511
2002-12-02,3.75,3.88,3.25,3.88,6100,3.88,0.03466666666666662
2003-01-02,3.83,4.3,3.75,4.0,8600,4.0,0.030927835051546504
2003-02-03,4.0,4.19,3.75,4.19,8900,4.19,0.0475000000000001
2003-03-03,4.19,4.2,3.7,3.9,9000,3.9,-0.06921241050119342
2003-04-01,3.86,4.0,3.65,3.89,6700,3.89,-0.002564102564102555
2003-05-01,3.9,4.5,3.89,4.29,7400,4.29,0.10282776349614386
2003-06-02,4.29,7.25,4.21,5.6,33500,5.6,0.30536130536130535
2003-07-01,5.6,6.75,5.45,6.44,12500,6.44,0.15000000000000013
2003-08-01,6.4,6.65,6.1,6.39,5400,6.39,-0.007763975155279601
2003-09-02,6.38,6.7,5.75,5.83,7200,5.83,-0.08763693270735518
2003-10-01,5.8,6.24,5.5,5.76,7100,5.76,-0.012006861063464935
2003-11-03,5.75,6.0,5.61,5.66,5100,5.66,-0.01736111111111105
2003-12-01,5.6,5.99,5.25,5.55,18400,5.55,-0.019434628975265045
2004-01-02,5.55,5.99,5.35,5.95,15300,5.95,0.07207207207207222
2004-02-02,5.99,6.53,5.9,6.2,15300,6.2,0.04201680672268915
2004-03-01,6.4,7.45,6.4,7.1,24900,7.1,0.14516129032258052
2004-04-01,7.1,9.79,7.1,9.25,63300,9.25,0.30281690140845074
2004-05-03,9.3,10.19,8.15,8.93,61500,8.93,-0.034594594594594574
2004-06-01,8.99,9.35,7.75,8.38,31900,8.38,-0.06159014557670761
2004-07-01,8.2,9.6,8.2,9.45,15400,9.45,0.12768496420047715
2004-08-02,9.45,9.45,6.9,7.51,18300,7.51,-0.2052910052910053
2004-09-01,7.45,8.3,7.2,8.29,10700,8.29,0.10386151797603183
2004-10-01,8.3,8.75,8.0,8.4,6500,8.4,0.01326899879372756
2004-11-01,8.15,9.43,7.95,9.05,16300,9.05,0.07738095238095233
2004-12-01,9.05,9.46,8.72,9.43,11200,9.43,0.04198895027624294
2005-01-03,9.52,9.75,9.08,9.52,12500,9.52,0.009544008483563182
2005-02-01,9.53,10.8,9.5,10.66,30900,10.66,0.11974789915966388
2005-03-01,10.46,11.11,10.1,10.99,29900,10.99,0.030956848030018858
2005-04-01,10.99,11.9,9.87,10.25,32800,10.25,-0.06733393994540493
2005-05-02,10.2,10.5,9.51,10.29,23700,10.29,0.0039024390243902474
2005-06-01,10.29,11.73,10.29,11.7,24200,11.7,0.13702623906705536
2005-07-01,11.75,14.01,11.55,13.54,27100,13.54,0.15726495726495737
2005-08-01,13.6,20.61,13.25,20.1,186200,20.1,0.48449039881831624
2005-09-01,20.72,36.0,19.55,35.23,691400,35.23,0.7527363184079598
2005-10-03,36.5,39.99,23.53,27.18,1355600,27.18,-0.2284984388305421
2005-11-01,26.95,27.0,18.83,22.75,564000,22.75,-0.16298749080206032
2005-12-01,23.35,25.88,15.67,16.96,488800,16.96,-0.2545054945054944
2006-01-03,17.1,25.4,15.86,23.83,622500,23.83,0.40507075471698095
2006-02-01,23.25,24.23,17.9,19.75,298200,19.75,-0.171212757028955
2006-03-01,19.7,19.71,15.82,17.88,405300,17.88,-0.09468354430379755
2006-04-03,17.99,18.88,16.55,17.09,192300,17.09,-0.0441834451901566
2006-05-01,17.0,20.25,13.84,15.8,234500,15.8,-0.07548273844353415
2006-06-01,15.6,16.2,12.07,14.97,151900,14.97,-0.0525316455696202
2006-07-03,15.2,17.95,13.65,17.68,147700,17.68,0.18102872411489646
2006-08-01,17.88,18.18,12.51,14.21,194700,14.21,-0.19626696832579182
2006-09-01,14.15,14.15,11.15,12.9,202200,12.9,-0.09218859957776215
2006-10-02,12.9,15.25,11.7,13.73,140900,13.73,0.06434108527131777
2006-11-01,13.77,15.99,13.02,15.67,160600,15.67,0.1412964311726146
2006-12-01,15.59,16.49,13.54,13.9,145100,13.9,-0.11295469049138473
2007-01-03,13.82,14.25,12.63,13.1,114700,13.1,-0.05755395683453246
2007-02-01,13.33,15.0,12.8,13.2,108000,13.2,0.007633587786259444
2007-03-01,13.13,14.48,11.68,14.17,80400,14.17,0.07348484848484849
2007-04-02,14.02,14.55,13.55,14.2,94200,14.2,0.0021171489061397875
2007-05-01,14.25,17.33,13.76,16.89,148700,16.89,0.18943661971830994
2007-06-01,16.76,19.9,16.7,17.88,225300,17.88,0.05861456483126104
2007-07-02,17.89,18.81,14.17,14.81,142100,14.81,-0.17170022371364646
2007-08-01,14.65,17.03,13.55,16.91,112900,16.91,0.14179608372721142
2007-09-04,16.96,17.49,15.9,17.17,94000,17.17,0.015375517445298748
2007-10-01,17.54,19.09,16.45,18.53,104800,18.53,0.07920792079207906
2007-11-01,18.55,19.57,17.15,18.04,99100,18.04,-0.02644360496492182
2007-12-03,18.03,19.61,17.9,19.61,82100,19.61,0.087028824833703
2008-01-02,19.41,21.52,16.51,17.52,116300,17.52,-0.10657827638959716
2008-02-01,17.4,24.0,17.1,22.4,137300,22.4,0.27853881278538806
2008-03-03,22.53,24.45,18.39,21.83,151600,21.83,-0.025446428571428537
2008-04-01,22.0,29.7,21.6,24.9,251000,24.9,0.1406321575813101
2008-05-01,24.95,31.76,23.5,27.35,199300,27.35,0.09839357429718887
2008-06-02,27.25,32.96,27.0,30.48,251200,30.48,0.11444241316270554
2008-07-01,30.64,31.35,22.01,25.66,199400,25.66,-0.15813648293963256
2008-08-01,24.97,27.14,21.8,25.94,131300,25.94,0.010911925175370207
2008-09-02,25.43,25.7,14.82,17.47,192500,17.47,-0.32652274479568244
2008-10-01,17.21,17.49,9.03,13.25,184400,13.25,-0.24155695477962214
2008-11-03,13.12,15.99,6.51,10.3,159800,10.3,-0.22264150943396221
2008-12-01,10.18,11.49,7.15,10.13,138600,10.13,-0.01650485436893201
2009-01-02,10.24,13.09,7.61,8.55,145300,8.55,-0.15597235932872655
2009-02-02,8.52,9.74,7.0,7.5,111800,7.5,-0.1228070175438597
2009-03-02,7.27,9.46,6.67,9.0,113000,9.0,0.19999999999999996
