Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-07-29,25.0,25.01,25.0,25.0,343700,20.68,0.0
2010-08-02,25.01,25.09,24.54,25.0,179800,20.68,0.0
2010-09-01,25.0,25.08,23.8,24.05,292200,19.9,-0.03771760154738879
2010-10-01,24.14,24.75,24.0,24.43,139000,20.21,0.01557788944723626
2010-11-01,24.54,24.89,23.9,24.14,170900,20.27,0.002968827313211131
2010-12-01,24.4,24.67,23.44,24.24,242400,20.36,0.004440059200789381
2011-01-03,24.38,24.81,23.8,24.68,203400,20.73,0.018172888015717037
2011-02-01,24.7,25.65,24.7,25.14,254800,21.46,0.03521466473709611
2011-03-01,25.2,26.32,24.96,26.3,254900,22.45,0.04613233923578752
2011-04-01,26.3,27.19,25.77,27.05,214600,23.09,0.028507795100222832
2011-05-02,27.24,27.5,25.03,25.7,214000,22.28,-0.03508012126461668
2011-06-01,25.98,25.98,24.75,25.9,155300,22.46,0.008078994614003632
2011-07-01,25.99,26.39,24.85,25.1,129100,21.76,-0.03116651825467498
2011-08-01,25.28,25.57,21.67,24.41,167100,21.53,-0.010569852941176516
2011-09-01,24.8,24.85,22.44,22.56,115700,19.89,-0.0761727821644218
2011-10-03,22.47,24.8,21.0,24.47,114800,21.58,0.08496732026143783
2011-11-01,23.89,25.23,23.73,24.84,100800,22.27,0.03197405004633924
2011-12-01,24.91,25.93,24.84,25.77,126400,23.11,0.03771890435563541
2012-01-03,25.89,26.56,25.44,26.45,147000,23.72,0.026395499783643528
2012-02-01,26.99,27.45,26.01,26.45,139800,24.08,0.015177065767284947
2012-03-01,26.58,27.5,25.38,25.62,128800,23.33,-0.03114617940199338
2012-04-02,25.46,26.54,24.83,26.53,111000,24.16,0.03557651093013292
2012-05-01,26.45,26.75,23.83,24.51,112100,22.7,-0.060430463576159
2012-06-01,24.29,25.68,24.13,25.0,117100,23.15,0.01982378854625555
2012-07-02,24.88,26.78,24.86,26.32,98200,24.38,0.053131749460043176
2012-08-01,26.68,26.9,25.77,26.19,83000,24.64,0.010664479081214262
2012-09-04,26.19,26.65,24.84,25.35,122900,23.85,-0.03206168831168832
2012-10-01,25.46,26.47,25.37,25.78,87500,24.25,0.016771488469601525
2012-11-01,25.95,26.32,22.76,24.91,152000,23.83,-0.017319587628866095
2012-12-03,24.72,25.39,24.03,24.51,117300,23.45,-0.015946286193873282
2013-01-02,24.9,27.07,24.52,26.89,137600,25.73,0.09722814498933907
2013-02-01,27.12,27.92,26.55,27.59,121100,26.8,0.04158569762922659
2013-03-01,27.61,28.21,26.56,28.15,160300,27.34,0.020149253731343242
2013-04-01,28.05,28.94,27.53,28.6,125700,27.78,0.01609363569861011
2013-05-01,28.59,30.18,27.9,28.35,119900,27.93,0.005399568034557101
2013-06-03,28.57,29.45,26.9,29.23,134000,28.79,0.030791263873970687
2013-07-01,29.68,30.1,28.56,29.4,90600,28.96,0.00590482806530046
2013-08-01,29.5,29.94,26.83,28.65,80400,28.65,-0.01070441988950288
2013-09-03,28.93,29.14,25.8,27.07,104400,27.07,-0.05514834205933672
2013-10-01,26.95,28.23,26.41,27.33,79800,27.33,0.009604728481714009
2013-11-01,27.24,27.43,26.62,26.79,95000,26.79,-0.01975850713501648
