Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-09-29,45.13,45.25,45.0,45.0,101000,40.58,0.0
1994-10-03,44.0,46.88,43.5,46.5,11900,41.93,0.03326761951700341
1994-11-01,47.25,47.25,42.25,42.63,7100,38.44,-0.08323396136417849
1994-12-01,42.13,44.25,41.75,43.88,1100,39.57,0.029396462018730585
1995-01-03,44.0,44.0,38.38,39.88,1800,35.96,-0.09123073035127616
1995-02-01,39.88,39.88,36.0,36.75,1500,33.14,-0.07842046718576201
1995-03-01,36.75,41.0,36.75,40.75,1500,36.75,0.10893180446590223
1995-04-03,41.0,47.25,41.0,46.5,1100,41.93,0.14095238095238094
1995-05-01,45.0,45.5,41.0,41.0,1100,36.97,-0.11829239208204156
1995-06-01,40.75,43.5,40.75,43.0,1300,38.83,0.05031106302407351
1995-07-03,43.0,46.0,42.5,45.0,2800,40.64,0.04661344321400995
1995-08-01,44.0,45.75,44.0,45.5,9400,41.09,0.011072834645669438
1995-09-01,45.5,46.25,43.25,44.5,4400,40.24,-0.02068629836943303
1995-10-02,43.75,45.5,42.0,42.0,11900,37.98,-0.05616302186878741
1995-11-01,41.5,42.25,38.5,40.5,3700,36.62,-0.035808320168509766
1995-12-01,41.0,43.5,38.0,41.0,17000,37.07,0.01228836701256153
1996-01-02,41.0,42.5,37.0,39.0,7400,35.26,-0.04882654437550582
1996-02-01,38.88,39.88,37.0,38.5,4900,34.81,-0.012762336925694728
1996-03-01,39.38,39.63,36.0,37.0,5400,33.56,-0.03590922148807818
1996-04-01,36.5,39.63,36.25,39.13,6800,35.49,0.05750893921334921
1996-05-01,38.5,38.88,36.25,36.25,1700,32.88,-0.073541842772612
1996-06-03,36.5,38.0,36.0,36.5,3500,33.11,0.006995133819951205
1996-07-01,36.5,36.75,34.88,35.38,1000,32.09,-0.030806402899426044
1996-08-01,35.5,39.0,35.38,36.25,1500,32.88,0.024618261140542108
1996-09-03,36.0,38.25,33.63,38.25,5600,34.8,0.058394160583941535
1996-10-01,38.25,38.25,35.63,36.25,1100,32.98,-0.05229885057471262
1996-11-01,35.5,37.0,35.0,36.0,2700,32.76,-0.006670709520921747
1996-12-02,36.0,40.25,36.0,39.38,4600,35.83,0.09371184371184382
1997-01-02,39.13,39.38,36.0,37.0,4300,33.67,-0.060284677644431905
1997-02-03,37.0,37.88,34.63,36.5,6100,33.21,-0.013662013662013694
1997-03-03,36.5,37.13,33.75,35.88,5800,32.74,-0.014152363745859597
1997-04-01,35.5,40.0,34.38,38.75,14900,35.36,0.08002443494196698
1997-05-01,38.88,49.13,38.0,47.13,97300,43.01,0.21634615384615374
1997-06-02,46.0,49.25,45.75,48.75,44200,44.49,0.034410602185538375
1997-07-01,48.25,52.5,46.63,51.5,31700,46.99,0.056192402787143214
1997-08-01,51.25,52.5,46.06,47.0,17200,42.89,-0.08725260693764636
1997-09-02,46.0,48.0,40.5,46.0,26900,42.07,-0.019118675681977115
1997-10-01,46.25,46.5,40.0,42.44,22200,38.81,-0.07748989778939852
1997-11-03,42.19,44.94,35.56,41.56,33900,38.01,-0.02061324400927611
1997-12-01,41.81,45.0,38.75,43.31,17700,39.61,0.042094185740594536
1998-01-02,42.94,48.13,41.13,46.5,27500,42.53,0.07371875788942184
1998-02-02,46.75,49.5,43.75,44.0,26200,40.24,-0.05384434516811665
1998-03-02,46.94,47.0,40.56,42.31,19700,38.78,-0.03628230616302186
1998-04-01,42.06,44.75,39.56,43.5,18100,39.87,0.028107271789582056
1998-05-01,43.5,44.38,40.19,40.5,11900,37.12,-0.0689741660396288
1998-06-01,40.75,42.88,34.56,42.0,21100,38.5,0.03717672413793105
1998-07-01,42.0,45.44,41.56,43.25,18800,39.64,0.029610389610389642
1998-08-03,43.25,43.25,35.63,37.44,16300,34.32,-0.13420787083753782
1998-09-01,37.31,41.38,36.38,36.63,20400,33.61,-0.020687645687645695
1998-10-01,36.38,45.25,31.0,39.25,17300,36.01,0.07140731925022314
1998-11-02,41.13,45.25,36.94,37.88,27400,34.76,-0.03471257983893361
1998-12-01,37.63,38.69,36.25,37.5,67400,34.41,-0.010069044879171485
1999-01-04,37.75,41.0,36.0,40.63,52500,37.28,0.08340598663179333
1999-02-01,40.88,41.25,38.75,40.56,39300,37.22,-0.0016094420600859527
1999-03-01,40.88,51.0,40.06,48.75,51600,45.02,0.2095647501343365
1999-04-01,48.5,56.5,48.13,53.75,31900,49.64,0.1026210573078632
1999-05-03,54.25,57.25,46.88,48.75,50800,45.02,-0.09307010475423039
1999-06-01,50.5,64.94,49.38,62.63,116400,57.84,0.284762327854287
1999-07-01,62.38,67.25,59.5,62.81,150900,58.01,0.0029391424619640283
1999-08-02,63.06,64.0,53.81,56.5,85000,52.18,-0.10049991380796408
1999-09-01,57.13,63.81,56.94,61.69,77300,57.09,0.09409735530854735
1999-10-01,61.63,78.19,60.25,77.37,82800,71.6,0.2541600980907337
1999-11-01,78.37,92.5,78.0,89.25,343200,82.59,0.153491620111732
1999-12-01,86.62,88.87,80.0,86.12,138800,79.7,-0.03499212979779631
2000-01-03,88.5,88.5,71.87,75.94,152800,70.28,-0.11819322459222081
2000-02-01,74.0,78.94,65.69,68.0,154800,62.93,-0.10458167330677293
2000-03-01,69.12,80.0,63.0,78.81,158000,73.05,0.16081360241538212
2000-04-03,77.0,77.5,62.06,63.69,106700,59.03,-0.1919233401779602
2000-05-01,63.69,68.0,55.0,60.06,94500,55.67,-0.05692021006268
2000-06-01,59.69,69.69,59.69,68.37,80000,63.37,0.138315070953835
2000-07-03,71.0,74.0,56.0,61.25,105300,56.77,-0.10415022881489655
2000-08-01,61.19,63.44,54.94,60.19,121600,55.79,-0.017262638717632672
2000-09-01,61.13,62.44,47.5,49.0,106600,45.51,-0.18426241261874887
2000-10-02,53.75,54.5,43.88,45.69,288700,42.44,-0.06745770160404307
2000-11-01,46.38,47.25,40.0,42.38,236000,39.36,-0.07257304429783218
2000-12-01,42.38,43.94,35.31,35.69,214700,33.15,-0.1577743902439025
2001-01-02,35.69,39.63,31.87,35.01,277200,32.52,-0.01900452488687765
2001-02-01,34.5,36.76,31.2,32.9,400700,30.56,-0.06027060270602724
2001-03-01,33.34,36.01,28.5,32.28,267900,30.07,-0.016034031413612482
2001-04-02,30.6,34.5,29.5,32.92,333500,30.67,0.019953441968739716
2001-05-01,33.92,37.75,30.62,31.2,203000,29.06,-0.05249429409846762
2001-06-01,31.05,31.24,25.15,26.6,216200,24.78,-0.14728148657949058
2001-07-02,26.8,28.6,24.85,25.45,165400,23.71,-0.043179983857949966
2001-08-01,26.5,26.85,21.6,22.59,231700,21.04,-0.11261071277941803
2001-09-04,22.2,23.65,20.0,23.15,227500,21.67,0.029942965779467867
2001-10-01,23.1,25.27,20.51,20.91,157800,19.57,-0.09690816797415791
2001-11-01,21.1,21.63,19.12,20.05,293100,18.76,-0.04138988247317321
2001-12-03,19.5,19.86,15.06,16.2,442400,15.16,-0.1918976545842218
2002-01-02,16.2,17.66,14.3,15.02,272200,14.06,-0.07255936675461738
2002-02-01,14.4,16.15,14.01,16.01,243100,14.98,0.06543385490753906
2002-03-01,16.1,20.72,16.05,19.35,222300,18.2,0.2149532710280373
2002-04-01,18.3,20.07,17.42,19.85,256000,18.67,0.025824175824175954
2002-05-01,19.66,23.4,18.9,22.6,150900,21.26,0.13872522763792183
2002-06-03,22.85,23.49,19.35,20.59,121100,19.37,-0.08889934148635936
2002-07-01,20.85,21.88,19.1,20.28,168200,19.08,-0.014971605575632596
2002-08-01,20.07,21.75,19.6,19.91,145600,18.73,-0.018343815513626738
2002-09-03,19.36,19.36,16.13,16.27,140900,15.4,-0.17778964228510408
2002-10-01,16.53,19.3,16.06,18.45,120700,17.47,0.13441558441558432
2002-11-01,18.9,20.29,18.09,19.55,159900,18.51,0.059530623926731696
2002-12-02,19.31,19.62,17.66,17.66,106300,16.72,-0.09670448406266896
2003-01-02,17.7,18.96,16.9,16.95,153900,16.05,-0.04007177033492815
2003-02-03,16.75,18.67,16.52,18.09,144800,17.12,0.06666666666666665
2003-03-03,18.25,18.9,16.7,16.98,117600,16.17,-0.05549065420560739
2003-04-01,17.15,17.92,16.63,17.44,94900,16.61,0.027210884353741305
2003-05-01,17.4,19.66,17.2,18.06,158900,17.2,0.03552077062010839
2003-06-02,18.4,20.55,18.34,19.8,129200,18.85,0.0959302325581397
2003-07-01,20.05,22.95,19.75,20.93,107800,19.93,0.05729442970822274
2003-08-01,20.75,22.59,20.15,22.19,146300,21.13,0.06021073758153528
2003-09-02,22.7,23.39,21.09,22.64,165200,21.66,0.025082820634169556
2003-10-01,22.63,25.17,22.32,22.48,142100,21.51,-0.006925207756232621
2003-11-03,22.6,24.37,20.39,24.05,137600,23.01,0.06973500697350077
2003-12-01,24.45,25.28,22.95,24.56,120400,23.5,0.021295089091699193
2004-01-02,24.45,25.55,22.87,23.02,141900,22.02,-0.06297872340425537
2004-02-02,23.2,24.1,22.51,23.28,175900,22.27,0.011353315168028955
2004-03-01,24.05,28.37,23.22,28.34,271200,27.22,0.22227211495285126
2004-04-01,28.18,30.2,25.01,25.97,279800,24.95,-0.08339456282145485
2004-05-03,25.9,26.41,21.52,24.94,217400,23.96,-0.039679358717434776
2004-06-01,25.15,26.88,24.05,26.84,101500,25.78,0.07595993322203665
2004-07-01,26.8,27.01,23.5,24.62,118400,23.65,-0.08262218774243613
2004-08-02,24.95,25.07,21.5,21.8,121400,20.94,-0.1145877378435517
2004-09-01,21.6,22.68,19.3,19.98,159900,19.32,-0.0773638968481376
2004-10-01,20.2,21.3,19.85,21.25,146700,20.55,0.06366459627329202
2004-11-01,21.34,23.16,21.34,22.39,163300,21.66,0.0540145985401459
2004-12-01,22.18,22.79,21.45,22.55,214500,21.81,0.006925207756232732
2005-01-03,22.6,22.69,20.56,21.02,189600,20.33,-0.06785878037597437
2005-02-01,20.9,22.16,20.05,21.67,250700,20.96,0.03098868666994603
2005-03-01,21.62,23.3,21.54,21.85,189400,21.27,0.0147900763358777
2005-04-01,21.8,22.55,19.85,20.85,218400,20.3,-0.04560413728255752
2005-05-02,20.45,21.4,20.09,20.47,168000,19.93,-0.018226600985221775
2005-06-01,20.6,21.87,20.48,21.47,181300,20.9,0.048670346211741045
2005-07-01,21.3,22.18,20.86,22.0,146700,21.42,0.024880382775119836
2005-08-01,22.25,22.98,21.19,21.79,157700,21.22,-0.00933706816059765
2005-09-01,21.85,25.97,21.73,24.82,192500,24.3,0.14514608859566458
2005-10-03,24.85,25.48,23.07,23.91,206100,23.41,-0.0366255144032922
2005-11-01,23.96,25.0,22.59,22.6,193200,22.12,-0.05510465612985904
2005-12-01,22.78,23.32,21.89,22.81,271700,22.33,0.009493670886075778
2006-01-03,23.01,25.0,22.89,23.24,309300,22.75,0.018808777429467183
2006-02-01,22.83,23.13,21.28,21.7,354600,21.24,-0.06637362637362643
2006-03-01,22.1,23.14,21.25,21.55,280000,21.22,-0.0009416195856873921
2006-04-03,21.52,22.59,21.09,22.49,251400,22.14,0.043355325164938785
2006-05-01,22.6,26.4,22.4,24.71,280900,24.33,0.09891598915989142
2006-06-01,24.82,25.72,22.61,24.47,258700,24.09,-0.009864364981504226
2006-07-03,24.34,26.15,23.7,26.0,203200,25.6,0.06268161062681621
2006-08-01,25.6,26.07,24.29,25.18,193800,24.79,-0.03164062500000009
2006-09-01,25.08,25.71,23.81,24.53,161600,24.15,-0.025816861637757205
2006-10-02,25.06,26.59,25.04,25.13,185800,24.74,0.02443064182194621
2006-11-01,25.23,25.35,23.76,25.25,236400,24.86,0.004850444624090677
2006-12-01,25.2,25.97,24.57,24.79,300100,24.41,-0.0181013676588897
2007-01-03,25.04,26.38,24.68,25.04,291500,24.65,0.009832036050798854
2007-02-01,25.8,27.96,25.34,26.41,290500,26.0,0.05476673427991896
2007-03-01,26.07,26.66,24.74,26.41,268000,26.18,0.00692307692307681
2007-04-02,26.26,26.74,24.83,24.89,225000,24.67,-0.05767761650114589
2007-05-01,24.92,25.94,22.85,23.59,570500,23.38,-0.052290231049858193
2007-06-01,23.11,23.26,22.0,22.17,505800,21.97,-0.060307955517536316
2007-07-02,22.38,23.0,21.53,21.57,477000,21.38,-0.026854802002730938
2007-08-01,21.6,23.26,20.82,23.1,569300,22.89,0.07062675397567819
2007-09-04,23.48,23.54,22.17,23.27,513900,23.27,0.01660113586719092
2007-10-01,23.28,24.33,20.72,22.95,395400,22.95,-0.013751611516974682
2007-11-01,22.67,23.17,21.94,22.6,453400,22.6,-0.01525054466230924
2007-12-03,22.63,24.91,22.38,24.66,476400,24.66,0.09115044247787596
2008-01-02,24.5,24.98,22.48,23.89,656100,23.89,-0.031224655312246496
2008-02-01,24.07,24.25,21.42,21.69,589900,21.69,-0.0920887400586019
2008-03-03,22.61,23.0,19.43,21.68,618100,21.68,-0.0004610419548179978
2008-04-01,22.0,22.98,21.1,21.49,419700,21.49,-0.008763837638376404
2008-05-01,21.76,24.45,20.68,24.26,549500,24.26,0.1288971614704515
2008-06-02,24.66,24.66,22.53,24.3,726200,24.3,0.0016488046166529546
2008-07-01,24.52,25.6,23.11,25.32,648000,25.32,0.041975308641975184
2008-08-01,25.61,26.56,23.47,24.49,576300,24.49,-0.03278041074249616
2008-09-02,24.74,24.97,21.35,22.51,755400,22.51,-0.08084932625561436
2008-10-01,22.1,23.56,17.22,20.35,1262100,20.35,-0.09595735228787206
2008-11-03,20.35,24.07,20.32,21.95,1275800,21.95,0.07862407862407861
2008-12-01,21.95,27.96,21.45,27.19,1680600,27.19,0.23872437357630982
2009-01-02,27.3,27.55,23.52,24.07,1122100,24.07,-0.11474806914306734
2009-02-02,24.31,24.35,20.62,21.18,1142700,21.18,-0.12006647278770255
2009-03-02,21.45,21.69,17.71,19.03,1178100,19.03,-0.1015108593012275
2009-04-01,19.37,19.99,18.2,18.8,909600,18.8,-0.012086179716237488
2009-05-01,18.28,21.36,18.18,20.77,620300,20.77,0.10478723404255308
2009-06-01,20.99,20.99,18.7,20.35,471900,20.35,-0.020221473278767332
2009-07-01,20.37,20.71,19.5,20.65,531100,20.65,0.014742014742014531
2009-08-03,20.21,22.29,19.91,22.2,517900,22.2,0.07506053268765145
2009-09-01,22.06,24.09,21.84,23.03,452600,23.03,0.03738738738738756
2009-10-01,22.82,23.03,20.19,20.54,536200,20.54,-0.10811984368215377
2009-11-02,20.91,21.68,20.22,21.48,613100,21.48,0.04576436222005853
2009-12-01,21.39,21.78,19.72,19.74,436600,19.74,-0.08100558659217882
2010-01-04,19.89,22.07,19.89,21.1,554800,21.1,0.06889564336372866
2010-02-01,21.62,22.38,21.45,21.78,514700,21.78,0.032227488151658656
2010-03-01,21.91,22.26,20.73,21.02,336400,21.02,-0.03489439853076226
2010-04-01,21.07,21.6,20.18,20.29,372900,20.29,-0.03472882968601332
2010-05-03,20.3,21.58,19.63,20.48,666000,20.48,0.009364218827008441
2010-06-01,20.48,20.6,19.59,20.34,653400,20.34,-0.0068359375
2010-07-01,20.37,21.43,20.26,20.85,432100,20.85,0.025073746312684442
2010-08-02,20.73,22.04,20.73,21.54,334800,21.54,0.03309352517985609
2010-09-01,21.58,22.67,21.58,21.92,291000,21.92,0.017641597028783762
2010-10-01,21.81,22.92,21.62,22.54,269600,22.54,0.02828467153284664
2010-11-01,22.62,23.97,22.35,22.64,343500,22.64,0.004436557231588312
2010-12-01,22.7,23.0,22.32,22.94,505300,22.94,0.013250883392226243
