Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-10-03,23.09,23.09,22.05,22.55,11600,15.96,0.0
2006-11-01,22.5,22.89,21.41,21.9,13000,15.5,-0.028822055137844638
2006-12-01,21.96,22.5,21.21,22.1,10800,15.78,0.01806451612903226
2007-01-03,22.49,22.5,21.6,21.95,7500,15.68,-0.006337135614702172
2007-02-01,21.81,23.18,21.81,22.56,10300,16.11,0.027423469387755084
2007-03-01,22.5,23.0,22.1,22.66,4500,16.33,0.013656114214773307
2007-04-02,22.67,23.8,22.51,23.52,3800,16.95,0.03796693202694423
2007-05-01,23.54,23.8,21.93,22.9,5100,16.5,-0.02654867256637161
2007-06-01,23.11,23.24,22.7,22.76,2000,16.54,0.00242424242424244
2007-07-02,22.75,23.0,22.05,22.11,2800,16.07,-0.02841596130592494
2007-08-01,22.15,23.03,20.6,21.01,2900,15.27,-0.0497822028624767
2007-09-04,21.05,21.79,20.66,21.79,1200,15.99,0.047151277013752546
2007-10-01,21.0,21.97,20.42,21.5,1700,15.78,-0.013133208255159512
2007-11-01,20.78,21.84,20.1,20.13,3500,14.77,-0.06400506970849174
2007-12-03,20.1,21.4,17.53,19.96,12900,14.8,0.0020311442112390665
2008-01-02,19.81,20.22,17.05,18.81,3700,13.95,-0.05743243243243257
2008-02-01,18.81,19.65,18.5,18.9,1800,14.02,0.00501792114695343
2008-03-03,18.98,19.0,17.25,18.24,1300,13.68,-0.024251069900142697
2008-04-01,18.24,18.6,16.01,18.1,2100,13.58,-0.007309941520467822
2008-05-01,18.15,18.6,17.52,18.1,9600,13.58,0.0
2008-06-02,17.96,18.0,15.01,15.01,4500,11.4,-0.1605301914580265
2008-07-01,15.52,18.93,14.54,18.6,4900,14.12,0.23859649122807003
2008-08-01,18.83,19.74,18.04,18.62,4900,14.14,0.0014164305949009304
2008-09-02,18.76,19.3,17.06,17.79,2000,13.66,-0.03394625176803401
2008-10-01,18.0,19.85,15.32,18.49,7000,14.91,0.09150805270863827
2008-11-03,18.11,19.0,15.51,16.5,1400,13.3,-0.107981220657277
2008-12-01,18.3,18.3,15.35,15.8,3500,12.9,-0.03007518796992481
2009-01-02,15.41,16.0,11.94,12.25,15300,10.0,-0.22480620155038766
2009-02-02,12.61,13.26,10.0,11.19,3200,9.14,-0.08599999999999997
