Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-01-28,12.0,12.19,12.0,12.06,7476900,8.32,0.0
2000-02-01,12.0,12.06,9.75,10.88,853000,7.5,-0.09855769230769229
2000-03-01,10.88,11.94,9.25,10.5,499800,7.24,-0.03466666666666662
2000-04-03,10.37,11.87,9.88,11.87,354000,8.19,0.13121546961325947
2000-05-01,11.75,12.75,11.25,11.5,245100,7.93,-0.031746031746031744
2000-06-01,11.38,12.5,10.12,10.12,330100,6.99,-0.11853720050441352
2000-07-03,10.88,12.0,10.75,11.38,125500,7.85,0.12303290414878387
2000-08-01,11.25,11.75,10.62,11.69,113000,8.06,0.026751592356688114
2000-09-01,11.88,13.19,10.25,11.06,243900,7.63,-0.05334987593052121
2000-10-02,11.0,14.75,10.88,14.69,199900,10.13,0.3276539973787682
2000-11-01,14.75,15.38,12.0,14.69,372800,10.13,0.0
2000-12-01,14.69,16.81,12.75,16.12,376400,11.12,0.09772951628825255
2001-01-02,16.06,16.5,12.88,14.1,267600,9.73,-0.12499999999999989
2001-02-01,14.2,14.6,13.55,14.5,159000,10.0,0.027749229188078095
2001-03-01,14.5,14.99,12.65,13.2,144700,9.11,-0.08900000000000008
2001-04-02,13.1,14.87,12.85,14.13,558900,9.75,0.07025246981339195
2001-05-01,14.2,16.98,13.85,16.0,334200,11.04,0.13230769230769224
2001-06-01,15.95,16.65,13.75,15.53,239400,10.71,-0.029891304347825942
2001-07-02,15.66,20.7,15.66,19.75,1002500,13.63,0.27264239028944903
2001-08-01,19.3,20.57,18.05,18.38,446600,12.68,-0.06969919295671323
2001-09-04,18.63,19.31,14.75,15.45,390800,10.66,-0.15930599369085174
2001-10-01,15.41,18.15,14.23,17.7,340100,12.21,0.14540337711069418
2001-11-01,17.65,18.55,16.3,17.5,264500,12.07,-0.01146601146601156
2001-12-03,17.5,18.64,16.85,18.15,201400,12.52,0.03728251864125931
2002-01-02,18.15,19.33,16.45,17.94,471700,12.38,-0.01118210862619795
2002-02-04,18.2,19.47,16.95,19.18,263300,13.23,0.06865912762520199
2002-03-01,19.18,19.88,18.71,19.79,227600,13.65,0.03174603174603163
