Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-07-30,6.0,7.0,5.13,5.95,578100,5.95,0.0
2009-08-03,6.2,9.5,5.77,6.5,208200,6.5,0.09243697478991586
2009-09-01,6.32,10.85,6.15,7.39,227500,7.39,0.13692307692307693
2009-10-01,7.52,8.28,5.71,5.87,98800,5.87,-0.2056833558863328
2009-11-02,5.98,7.77,5.21,7.35,47600,7.35,0.252129471890971
2009-12-01,7.35,7.79,6.11,6.68,24200,6.68,-0.09115646258503396
2010-01-04,6.68,7.52,5.6,5.6,35400,5.6,-0.16167664670658688
2010-02-01,5.59,7.36,5.42,6.3,27200,6.3,0.125
2010-03-01,6.25,6.99,5.99,6.16,17400,6.16,-0.022222222222222143
2010-04-01,6.28,6.4,5.61,6.32,17900,6.32,0.025974025974025983
2010-05-03,6.29,6.29,4.12,4.62,30500,4.62,-0.2689873417721519
2010-06-01,4.7,6.48,4.34,4.85,65100,4.85,0.04978354978354971
2010-07-01,4.75,5.35,4.55,4.65,12100,4.65,-0.04123711340206171
2010-08-02,4.67,5.18,4.35,4.97,6300,4.97,0.06881720430107507
2010-09-01,5.0,6.1,5.0,5.4,9100,5.4,0.086519114688129
2010-10-01,5.46,6.1,5.3,5.87,8700,5.87,0.08703703703703702
2010-11-01,5.75,6.49,4.75,5.7,12600,5.7,-0.028960817717206155
2010-12-01,6.1,6.1,3.96,4.65,12300,4.65,-0.1842105263157895
2011-01-03,4.86,4.96,4.14,4.35,7600,4.35,-0.06451612903225823
2011-02-01,4.35,4.96,3.8,4.37,8600,4.37,0.0045977011494253706
2011-03-01,4.49,4.77,2.98,3.81,5000,3.81,-0.12814645308924488
2011-04-01,3.65,3.81,3.01,3.15,4800,3.15,-0.17322834645669294
2011-05-02,3.17,3.17,1.45,1.45,10800,1.45,-0.5396825396825398
2011-06-01,1.49,4.5,0.88,2.39,116600,2.39,0.6482758620689657
2011-07-01,2.47,2.49,1.6,1.63,29900,1.63,-0.31799163179916323
2011-08-01,1.69,2.13,1.34,1.48,12100,1.48,-0.09202453987730053
2011-09-01,1.35,1.49,0.71,0.85,8500,0.85,-0.42567567567567566
2011-10-03,0.8,1.08,0.65,0.83,10600,0.83,-0.02352941176470591
2011-11-01,0.76,0.87,0.27,0.41,9600,0.41,-0.5060240963855422
2011-12-01,0.41,0.79,0.28,0.3,21000,0.3,-0.2682926829268293
2012-01-03,0.35,0.52,0.3,0.45,7400,0.45,0.5
2012-02-01,0.4,0.96,0.35,0.77,25100,0.77,0.711111111111111
2012-03-01,0.7,4.58,0.57,2.18,530600,2.18,1.8311688311688314
2012-04-02,2.25,3.5,1.81,2.52,320400,2.52,0.15596330275229353
2012-05-01,2.47,3.29,1.45,2.14,275700,2.14,-0.1507936507936507
2012-06-01,2.1,2.21,1.75,1.84,48700,1.84,-0.14018691588785048
2012-07-02,1.85,2.08,1.38,1.57,18400,1.57,-0.1467391304347826
2012-08-01,1.46,2.14,1.41,1.81,21600,1.81,0.15286624203821653
2012-09-04,1.8,1.85,1.5,1.61,9400,1.61,-0.11049723756906071
2012-10-01,1.61,1.75,0.95,1.6,17500,1.6,-0.006211180124223614
2012-11-01,1.68,3.44,1.14,1.59,376700,1.59,-0.006249999999999978
2012-12-03,1.67,1.99,1.36,1.4,39700,1.4,-0.11949685534591203
2013-01-02,1.4,1.99,1.4,1.6,36500,1.6,0.14285714285714302
2013-02-01,1.65,3.17,1.56,1.82,188100,1.82,0.13749999999999996
2013-03-01,1.89,2.08,1.73,1.81,21400,1.81,-0.005494505494505475
2013-04-01,1.81,2.18,1.77,2.08,20900,2.08,0.149171270718232
2013-05-01,2.1,2.65,1.55,1.96,169700,1.96,-0.05769230769230771
2013-06-03,2.03,2.05,1.7,1.88,36300,1.88,-0.04081632653061229
2013-07-01,1.92,1.97,1.78,1.85,12000,1.85,-0.015957446808510523
2013-08-01,1.82,2.26,1.78,1.79,62400,1.79,-0.032432432432432434
2013-09-03,1.8,2.43,1.75,2.21,84900,2.21,0.23463687150837975
2013-10-01,2.3,5.3,2.18,4.48,380500,4.48,1.0271493212669687
2013-11-01,4.54,5.75,4.35,5.47,349600,5.47,0.2209821428571428
