Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-04-08,9.5,9.55,9.5,9.55,1300,9.55,0.0
2011-05-02,9.55,9.56,9.52,9.55,20100,9.55,0.0
2011-06-01,9.55,9.55,9.5,9.51,35200,9.51,-0.004188481675392763
2011-07-01,9.51,9.53,9.51,9.53,23200,9.53,0.002103049421661396
2011-08-01,9.53,9.6,9.49,9.49,83800,9.49,-0.0041972717733472775
2011-09-01,9.49,9.55,9.49,9.55,28500,9.55,0.006322444678609207
2011-10-03,9.54,9.55,9.53,9.53,17600,9.53,-0.0020942408376964927
2011-11-01,9.6,9.6,9.5,9.5,2700,9.5,-0.0031479538300104304
2011-12-01,9.5,9.56,9.5,9.54,22200,9.54,0.004210526315789442
2012-01-03,9.54,9.65,9.54,9.65,5800,9.65,0.011530398322851187
2012-02-01,9.65,9.73,9.65,9.73,1400,9.73,0.008290155440414448
2012-03-01,9.73,9.76,9.73,9.75,17300,9.75,0.0020554984583760483
2012-04-02,9.85,10.0,9.85,9.94,157300,9.94,0.019487179487179374
2012-05-01,9.94,9.95,9.89,9.92,10900,9.92,-0.002012072434607548
2012-06-01,9.92,9.95,9.89,9.89,7000,9.89,-0.003024193548387011
2012-07-02,9.92,9.95,9.89,9.93,35900,9.93,0.004044489383215222
2012-08-01,9.94,9.95,9.88,9.88,61900,9.88,-0.0050352467270895485
2012-09-04,9.88,9.96,8.7,9.64,89600,9.64,-0.02429149797570851
2012-10-01,9.0,9.68,7.5,7.5,19300,7.5,-0.22199170124481338
2012-11-01,7.7,8.24,5.68,6.45,20200,6.45,-0.14
2012-12-03,6.4,6.49,4.55,5.0,16900,5.0,-0.22480620155038766
2013-01-02,4.76,5.2,3.87,4.0,12000,4.0,-0.19999999999999996
2013-02-01,3.93,4.13,3.25,4.0,18200,4.0,0.0
2013-03-01,4.11,5.01,3.92,4.66,13500,4.66,0.16500000000000004
2013-04-01,4.62,5.0,3.98,4.2,7500,4.2,-0.09871244635193133
2013-05-01,4.13,4.5,3.64,3.74,7600,3.74,-0.10952380952380947
2013-06-03,3.95,4.95,3.65,4.8,14200,4.8,0.28342245989304793
2013-07-01,4.67,6.07,4.41,5.7,30200,5.7,0.1875
2013-08-01,5.66,6.05,5.38,5.63,6500,5.63,-0.012280701754386003
2013-09-03,5.72,5.79,5.01,5.45,9000,5.45,-0.031971580817051426
2013-10-01,5.32,5.49,4.9,4.98,13700,4.98,-0.08623853211009169
2013-11-01,5.3,5.43,5.11,5.24,6800,5.24,0.052208835341365445
