Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-03-18,6.5,8.88,5.62,8.75,258900,2.19,0.0
1994-04-04,8.5,9.38,8.12,9.38,69200,2.34,0.06849315068493156
1994-05-02,9.5,10.5,7.75,8.06,57600,2.02,-0.1367521367521367
1994-06-01,7.88,8.5,7.25,8.12,19600,2.03,0.004950495049504955
1994-07-05,8.0,9.0,8.0,9.0,13800,2.25,0.10837438423645329
1994-08-01,9.0,9.88,8.62,9.25,26500,2.31,0.026666666666666616
1994-09-01,9.25,9.62,8.62,8.88,11200,2.22,-0.03896103896103886
1994-10-03,8.62,9.38,8.5,9.12,19700,2.28,0.02702702702702675
1994-11-01,9.38,9.38,8.25,8.25,5000,2.06,-0.0964912280701753
1994-12-01,8.75,9.0,8.25,8.5,11500,2.12,0.029126213592232997
1995-01-03,8.38,9.38,8.38,9.0,17200,2.25,0.061320754716981174
1995-02-01,9.12,9.5,8.62,9.5,16400,2.38,0.057777777777777706
1995-03-01,9.62,10.0,8.88,9.12,23200,2.28,-0.04201680672268915
1995-04-03,9.25,10.12,9.25,9.88,44300,2.47,0.08333333333333348
1995-05-01,9.62,9.88,8.75,9.0,8600,2.25,-0.08906882591093124
1995-06-01,9.0,9.88,8.25,9.5,28300,2.38,0.057777777777777706
1995-07-03,9.62,10.88,9.25,10.5,58800,2.62,0.10084033613445387
1995-08-01,10.5,12.0,10.12,10.88,46100,2.72,0.03816793893129766
1995-09-01,10.88,13.25,10.5,12.5,60300,3.12,0.1470588235294117
1995-10-02,12.25,15.88,11.0,14.75,61400,3.69,0.1826923076923077
1995-11-01,14.5,17.0,14.5,16.0,75900,4.0,0.08401084010840121
1995-12-01,16.0,16.75,14.25,16.25,30000,4.06,0.014999999999999902
1996-01-02,15.88,16.62,13.75,15.0,27700,3.75,-0.07635467980295563
1996-02-01,14.5,15.62,14.25,14.5,29100,3.62,-0.03466666666666662
1996-03-01,14.25,15.0,12.5,13.25,19500,3.31,-0.08563535911602216
1996-04-01,14.0,15.5,13.25,14.38,17900,3.59,0.0845921450151057
1996-05-01,14.38,15.12,14.12,14.5,19200,3.62,0.008356545961002881
1996-06-03,14.5,14.75,13.75,14.0,10000,3.5,-0.03314917127071826
1996-07-02,13.75,14.0,10.75,11.75,19000,2.94,-0.16000000000000003
1996-08-01,11.5,13.25,11.38,12.88,19200,3.22,0.09523809523809534
1996-09-03,12.5,13.25,12.0,13.25,20800,3.31,0.02795031055900621
1996-10-01,12.75,14.62,12.75,14.62,23200,3.66,0.1057401812688823
1996-11-01,14.38,16.0,14.38,15.0,14200,3.75,0.024590163934426146
1996-12-02,14.75,15.88,14.5,15.38,19300,3.84,0.02400000000000002
1997-01-02,14.88,18.88,14.88,18.0,41400,4.5,0.171875
1997-02-03,18.38,19.25,15.5,17.62,30200,4.41,-0.020000000000000018
1997-03-03,17.38,18.25,13.62,14.5,60600,3.62,-0.17913832199546487
1997-04-01,14.5,15.0,13.75,14.25,17900,3.56,-0.016574585635359185
1997-05-01,14.25,14.75,13.5,14.75,21500,3.69,0.03651685393258419
1997-06-02,14.75,14.75,13.75,14.38,12100,3.59,-0.027100271002710064
1997-07-01,13.88,17.75,13.62,16.5,56700,4.12,0.14763231197771587
1997-08-01,16.25,17.88,16.0,16.88,29400,4.22,0.024271844660194164
1997-09-02,16.75,17.25,16.12,17.25,15000,4.31,0.021327014218009532
1997-10-01,17.25,20.25,16.62,19.88,385700,4.97,0.15313225058004654
1997-11-03,20.0,20.62,18.75,18.75,68600,4.69,-0.05633802816901401
1997-12-01,18.75,21.25,18.25,20.0,56400,5.0,0.06609808102345416
1998-01-02,20.12,20.25,17.75,19.88,60400,4.97,-0.006000000000000005
1998-02-02,19.88,23.75,19.25,21.62,82000,5.41,0.08853118712273655
1998-03-02,21.5,22.0,20.38,21.0,21800,5.25,-0.02957486136783738
1998-04-01,21.0,21.5,19.25,20.25,38700,5.06,-0.03619047619047622
1998-05-01,20.12,20.25,18.38,19.5,74600,4.88,-0.035573122529644174
1998-06-01,19.25,20.75,19.0,19.25,49000,4.81,-0.014344262295082011
1998-07-01,19.25,19.25,17.25,17.75,47400,4.44,-0.07692307692307676
1998-08-03,17.75,18.75,14.75,14.75,70900,3.69,-0.16891891891891897
1998-09-01,14.75,16.38,14.75,15.75,38800,3.94,0.0677506775067751
1998-10-01,15.88,20.38,13.38,19.38,60600,4.84,0.2284263959390862
1998-11-02,19.38,20.0,18.12,18.88,33900,4.72,-0.024793388429752095
1998-12-01,18.62,22.0,18.12,21.5,33300,5.38,0.13983050847457634
1999-01-04,21.5,22.0,18.38,21.25,52900,5.31,-0.013011152416356975
1999-02-01,21.75,24.75,20.12,21.5,26000,5.38,0.01318267419962349
1999-03-01,22.0,22.38,16.12,17.88,73800,4.47,-0.16914498141263945
1999-04-01,17.88,23.75,17.88,23.0,88600,5.75,0.28635346756152136
1999-05-03,23.25,23.5,19.62,21.0,35500,5.25,-0.08695652173913049
1999-06-01,21.12,21.75,19.75,21.62,27000,5.41,0.030476190476190546
1999-07-01,21.69,24.38,21.0,23.88,76100,5.97,0.10351201478743066
1999-08-02,24.0,30.0,22.25,29.62,249400,7.41,0.24120603015075393
1999-09-01,29.69,32.0,25.5,27.88,92600,6.97,-0.05937921727395412
1999-10-01,27.81,34.62,23.75,33.88,195300,8.47,0.21520803443328562
1999-11-01,34.38,40.75,33.5,38.69,240500,9.67,0.1416765053128688
1999-12-01,38.88,46.5,31.81,40.56,159000,10.14,0.048603929679420954
2000-01-03,40.62,52.75,38.5,42.38,153700,10.59,0.044378698224851965
2000-02-01,42.75,49.88,35.0,38.0,154700,9.5,-0.10292728989612843
2000-03-01,37.75,44.0,34.12,35.5,107100,8.88,-0.0652631578947368
2000-04-03,35.0,38.44,25.0,34.5,151000,8.62,-0.029279279279279424
2000-05-01,34.75,36.38,25.75,27.5,87100,6.88,-0.20185614849187927
2000-06-01,27.38,40.0,27.38,38.88,73800,9.72,0.41279069767441867
2000-07-03,39.38,48.75,35.88,37.88,121900,9.47,-0.025720164609053464
2000-08-01,37.88,59.94,37.12,59.94,261900,14.98,0.5818373812038014
2000-09-01,60.56,72.56,50.69,53.38,341700,13.34,-0.10947930574098796
2000-10-02,52.81,54.25,39.0,47.75,212000,11.94,-0.10494752623688164
