Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-11-02,17.5,23.5,17.5,21.5,4400,4.28,0.0
1992-12-01,21.5,24.0,21.0,22.5,1100,4.49,0.0490654205607477
1993-01-04,21.0,24.0,21.0,23.0,800,4.59,0.022271714922048824
1993-02-01,23.0,24.0,21.5,22.25,3800,4.44,-0.03267973856209139
1993-03-01,21.5,25.0,21.5,25.0,1600,4.99,0.12387387387387383
1993-04-01,25.0,25.0,22.0,22.5,1800,4.49,-0.1002004008016032
1993-05-03,22.0,23.0,22.0,22.75,55600,4.54,0.011135857461024523
1993-06-01,22.5,22.75,21.75,22.5,26200,4.5,-0.008810572687224627
1993-07-01,22.5,23.5,22.0,22.75,14700,4.55,0.011111111111111072
1993-08-02,23.5,23.75,22.75,23.75,3900,4.75,0.04395604395604402
1993-09-01,23.0,25.0,23.0,25.0,7600,5.02,0.056842105263157805
1993-10-01,25.0,27.5,25.0,27.12,16600,5.44,0.08366533864541847
1993-11-01,27.5,27.5,26.5,27.25,6100,5.47,0.0055147058823528106
1993-12-01,27.0,27.5,26.75,27.5,12900,5.53,0.010968921389396868
1994-01-03,26.75,27.75,24.75,25.5,21700,5.13,-0.07233273056057876
1994-02-01,25.5,25.75,23.75,24.25,12200,4.88,-0.04873294346978563
1994-03-01,23.75,24.25,22.5,22.5,6400,4.54,-0.069672131147541
1994-04-04,22.5,23.75,22.5,23.0,12200,4.64,0.022026431718061623
1994-05-02,23.0,23.75,23.0,23.75,8800,4.79,0.032327586206896575
1994-06-01,23.0,25.75,23.0,25.75,26000,5.22,0.08977035490605423
1994-07-01,25.75,26.75,25.0,26.5,13800,5.37,0.028735632183908066
1994-08-01,25.75,28.5,25.75,28.5,13600,5.78,0.07635009310986973
1994-09-01,28.25,29.0,28.0,28.37,10000,5.77,-0.0017301038062285112
1994-10-03,28.0,28.5,26.75,27.25,6000,5.55,-0.03812824956672445
1994-11-01,26.75,27.0,22.0,23.75,12900,4.83,-0.12972972972972974
1994-12-01,23.0,24.0,22.75,23.0,9100,4.73,-0.020703933747411973
1995-01-03,23.5,24.25,22.5,22.5,13800,4.63,-0.02114164904862592
1995-02-01,22.75,24.0,22.5,24.0,4100,4.94,0.06695464362850978
1995-03-01,24.0,26.25,23.5,25.5,13200,5.27,0.06680161943319818
1995-04-03,25.87,27.0,25.5,25.5,17100,5.27,0.0
1995-05-01,25.5,26.25,25.25,26.25,15900,5.43,0.030360531309297834
1995-06-01,26.25,28.0,26.0,27.0,11100,5.61,0.03314917127071837
1995-07-03,27.0,28.0,27.0,27.0,9400,5.61,0.0
1995-08-01,27.0,28.0,27.0,27.75,6200,5.77,0.02852049910873422
1995-09-01,28.0,28.25,27.5,27.5,10600,5.75,-0.0034662045060658286
1995-10-02,27.62,29.75,27.5,29.0,53700,6.06,0.05391304347826087
1995-11-01,29.0,29.75,29.0,29.5,4400,6.17,0.018151815181518316
1995-12-01,29.5,31.0,29.0,30.5,6300,6.41,0.03889789303079416
1996-01-02,30.5,33.0,30.5,32.25,7100,6.78,0.057722308892355745
1996-02-01,33.0,34.0,33.0,34.0,13400,7.14,0.05309734513274322
1996-03-01,33.25,34.0,33.0,33.25,10800,7.02,-0.01680672268907568
1996-04-01,33.75,33.75,33.0,33.0,11900,6.97,-0.00712250712250706
1996-05-01,33.0,33.5,33.0,33.13,6700,7.0,0.004304160688665792
1996-06-03,33.5,33.75,33.0,33.13,2700,7.03,0.004285714285714226
1996-07-01,33.13,33.5,32.75,33.5,3900,7.11,0.011379800853485111
1996-08-01,33.5,33.5,32.75,33.5,3800,7.11,0.0
1996-09-03,33.25,34.5,33.0,34.25,5700,7.31,0.028129395218002617
1996-10-01,34.25,35.75,33.75,35.75,3400,7.63,0.04377564979480164
