Date,Open,High,Low,Close,Volume,Adj Close,Return
2005-06-15,11.75,14.01,11.75,11.9,203900,11.9,0.0
2005-07-01,11.9,13.95,11.15,12.99,84900,12.99,0.09159663865546208
2005-08-01,12.97,14.5,12.5,12.8,66000,12.8,-0.014626635873749017
2005-09-01,12.94,14.1,12.6,13.16,78100,13.16,0.028124999999999956
2005-10-03,13.35,15.43,13.21,13.9,68100,13.9,0.05623100303951367
2005-11-01,16.75,20.68,14.86,18.47,274500,18.47,0.32877697841726605
2005-12-01,18.5,29.76,18.5,28.48,560300,28.48,0.5419599350297781
2006-01-03,28.7,32.45,26.35,30.05,457600,30.05,0.055126404494382
2006-02-01,29.82,40.4,29.82,39.43,659300,39.43,0.31214642262895165
2006-03-01,39.45,53.1,36.66,52.85,1040900,52.85,0.3403499873193001
2006-04-03,53.76,56.0,45.61,51.39,1347900,51.39,-0.027625354777672695
2006-05-01,52.3,53.24,32.61,37.91,1621600,37.91,-0.2623078419926056
2006-06-01,37.79,41.92,31.56,39.49,1276200,39.49,0.041677657610129426
2006-07-03,39.35,40.42,20.23,21.32,2846200,21.32,-0.46011648518612314
2006-08-01,20.7,28.25,18.64,27.76,2062700,27.76,0.302063789868668
2006-09-01,28.19,30.36,24.67,27.37,1542000,27.37,-0.014048991354466911
2006-10-02,27.09,33.65,25.75,31.01,2209900,31.01,0.13299232736572897
2006-11-01,31.25,37.8,30.61,35.61,1382300,35.61,0.1483392454047081
2006-12-01,35.78,35.97,29.29,30.97,1621100,30.97,-0.13030047739399042
2007-01-03,31.37,32.48,18.34,19.1,4001700,19.1,-0.38327413626089757
2007-02-01,19.37,20.47,16.25,17.41,3558000,17.41,-0.08848167539267027
2007-03-01,17.0,18.8,15.96,16.97,1928100,16.97,-0.02527283170591621
2007-04-02,16.97,17.24,11.25,11.76,3806900,11.76,-0.30701237477902177
2007-05-01,11.61,12.73,11.27,12.13,1653200,12.13,0.03146258503401378
2007-06-01,12.17,14.13,11.89,12.36,2032100,12.36,0.018961253091508645
2007-07-02,12.5,12.81,11.25,12.1,1456900,12.1,-0.021035598705501646
2007-08-01,12.02,14.0,11.75,13.72,1678400,13.72,0.13388429752066133
2007-09-04,13.72,14.49,12.59,12.97,1139000,12.97,-0.05466472303206993
