Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,16.75,17.62,12.75,14.75,596200,2.91,0.0
1995-09-01,14.75,15.5,12.88,14.0,283900,2.77,-0.04810996563573888
1995-10-02,13.94,14.12,10.75,12.25,292700,2.42,-0.12635379061371843
1995-11-01,12.75,15.13,12.25,13.63,157200,2.69,0.11157024793388426
1995-12-01,13.75,14.25,11.75,11.81,177600,2.33,-0.13382899628252787
1996-01-02,12.0,13.25,10.63,11.75,157300,2.32,-0.0042918454935623185
1996-02-01,12.0,12.75,9.62,10.37,550500,2.05,-0.11637931034482762
1996-03-01,10.12,12.0,9.13,11.75,363900,2.32,0.13170731707317085
1996-04-01,12.0,13.0,10.63,11.87,335000,2.35,0.012931034482758674
1996-05-01,11.75,17.12,11.75,15.0,482900,2.96,0.2595744680851064
1996-06-03,15.13,15.75,13.25,15.0,266100,2.96,0.0
1996-07-01,14.87,15.37,11.5,13.0,187700,2.57,-0.1317567567567568
1996-08-01,13.0,14.12,10.0,10.63,375600,2.1,-0.18287937743190652
1996-09-03,10.75,13.37,10.5,11.5,274600,2.27,0.08095238095238089
1996-10-01,11.87,12.25,11.12,11.12,140600,2.2,-0.03083700440528625
1996-11-01,11.37,12.25,8.88,9.75,322600,1.93,-0.1227272727272728
1996-12-02,9.5,10.63,8.62,8.88,218400,1.75,-0.09326424870466321
1997-01-02,9.13,10.12,8.88,9.37,116000,1.85,0.05714285714285716
1997-02-03,9.37,9.75,8.38,9.13,167500,1.8,-0.027027027027027084
1997-03-03,9.0,9.13,7.75,8.38,127000,1.65,-0.08333333333333337
1997-04-01,8.0,8.62,6.75,7.87,113300,1.56,-0.05454545454545445
1997-05-01,7.87,9.88,7.5,8.38,112500,1.65,0.05769230769230771
1997-06-02,8.75,10.0,7.13,8.19,240000,1.62,-0.018181818181818077
1997-07-01,8.38,9.62,8.13,9.0,127200,1.78,0.09876543209876543
1997-08-01,9.37,9.37,8.0,8.25,104900,1.63,-0.08426966292134841
1997-09-02,8.13,9.37,8.0,9.0,136200,1.78,0.09202453987730075
1997-10-01,9.0,10.25,7.5,7.87,241500,1.56,-0.1235955056179775
1997-11-03,8.25,8.75,7.5,8.0,147000,1.58,0.012820512820512775
1997-12-01,8.25,8.25,6.0,7.0,238300,1.38,-0.12658227848101278
1998-01-02,7.13,8.19,6.5,7.94,169600,1.57,0.13768115942029002
1998-02-02,8.13,9.81,7.75,9.5,273100,1.88,0.197452229299363
1998-03-02,9.5,11.5,9.0,9.31,246200,1.84,-0.02127659574468077
1998-04-01,9.37,10.0,9.0,9.37,126200,1.85,0.005434782608695565
1998-05-01,9.5,10.31,8.5,9.25,237800,1.83,-0.010810810810810811
1998-06-01,9.25,10.0,7.75,9.13,200400,1.8,-0.016393442622950838
1998-07-01,9.13,9.13,7.5,7.75,260700,1.53,-0.15000000000000002
1998-08-03,7.75,9.06,7.0,7.75,293500,1.53,0.0
1998-09-01,7.75,9.0,6.13,8.5,219700,1.68,0.09803921568627438
1998-10-01,8.0,9.0,5.94,8.0,116100,1.58,-0.05952380952380942
1998-11-02,8.25,8.5,6.88,7.0,86900,1.38,-0.12658227848101278
1998-12-01,6.88,9.13,6.5,7.25,165900,1.43,0.03623188405797095
1999-01-04,7.37,7.87,7.0,7.37,81500,1.46,0.020979020979021046
1999-02-01,7.5,7.5,6.88,7.13,65100,1.41,-0.03424657534246578
1999-03-01,7.13,7.31,6.5,6.56,87300,1.3,-0.07801418439716301
1999-04-01,6.56,8.25,6.5,8.0,126700,1.58,0.2153846153846155
1999-05-03,8.25,8.5,6.75,6.88,69000,1.36,-0.1392405063291139
1999-06-01,6.88,8.75,6.88,8.38,117300,1.65,0.21323529411764697
1999-07-01,8.31,10.25,8.0,8.94,132500,1.77,0.07272727272727275
1999-08-02,8.91,9.69,8.06,8.62,78800,1.7,-0.039548022598870136
1999-09-01,8.62,9.13,7.56,8.25,63900,1.63,-0.04117647058823537
1999-10-01,8.38,9.25,8.13,8.88,92400,1.75,0.07361963190184051
1999-11-01,8.97,9.0,8.0,8.06,72000,1.59,-0.09142857142857141
1999-12-01,8.25,9.44,7.75,8.5,90400,1.68,0.05660377358490565
2000-01-03,8.59,9.88,6.56,8.5,116600,1.68,0.0
2000-02-01,8.5,11.0,8.5,10.63,161200,2.1,0.25
2000-03-01,10.94,12.38,10.0,11.81,113700,2.33,0.10952380952380958
2000-04-03,11.94,13.37,10.0,12.38,147400,2.44,0.04721030042918439
2000-05-01,12.5,15.19,12.0,14.75,175000,2.91,0.19262295081967218
2000-06-01,14.75,15.13,13.5,14.38,112600,2.84,-0.024054982817869552
2000-07-03,14.38,17.25,11.5,17.0,213700,3.36,0.18309859154929575
2000-08-01,17.03,17.5,13.12,17.25,186200,3.41,0.01488095238095255
2000-09-01,17.16,19.88,16.87,19.44,160100,3.84,0.12609970674486792
2000-10-02,19.19,22.5,17.25,22.44,230100,4.43,0.15364583333333326
2000-11-01,22.5,25.0,18.25,21.0,230400,4.15,-0.06320541760722331
2000-12-01,14.02,16.13,10.87,15.87,200100,4.7,0.13253012048192758
2001-01-02,16.44,19.75,13.5,17.75,776100,5.26,0.11914893617021272
2001-02-01,17.0,20.88,15.12,17.0,496800,5.04,-0.041825095057034134
2001-03-01,17.25,26.94,17.0,25.19,824200,7.46,0.48015873015873023
2001-04-02,25.23,28.77,18.53,19.8,471200,5.87,-0.21313672922252014
2001-05-01,28.6,34.95,17.36,32.45,575300,9.61,0.6371379897785348
2001-06-01,32.5,33.8,15.75,21.0,1508300,9.33,-0.02913631633714875
2001-07-02,20.81,21.11,15.15,17.48,961100,7.77,-0.167202572347267
2001-08-01,17.58,18.8,14.54,16.8,692100,7.47,-0.038610038610038644
2001-09-04,16.79,17.04,8.7,12.61,1083300,5.6,-0.250334672021419
2001-10-01,12.25,14.85,11.15,12.52,647000,5.56,-0.0071428571428571175
2001-11-01,12.35,18.4,11.67,18.0,666800,8.0,0.4388489208633095
2001-12-03,17.7,17.87,14.0,15.67,811400,6.96,-0.13
2002-01-02,16.0,18.35,13.96,18.25,496300,8.11,0.16522988505747116
2002-02-04,17.95,19.19,15.45,18.65,458300,8.29,0.022194821208384674
2002-03-01,18.55,21.12,17.5,20.66,739500,9.18,0.10735826296743078
2002-04-01,20.66,24.41,19.5,22.9,1323300,10.18,0.10893246187363825
