Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-05-22,34.75,35.88,30.5,32.5,4928400,9.24,0.0
1996-06-03,32.37,35.25,31.25,34.12,627800,9.7,0.04978354978354971
1996-07-01,34.25,34.75,25.5,31.0,408000,8.81,-0.09175257731958752
1996-08-01,31.0,36.38,30.87,34.12,299400,9.7,0.10102156640181592
1996-09-03,33.38,35.75,32.88,35.0,734100,9.95,0.025773195876288568
1996-10-01,35.0,41.25,33.87,35.0,702200,9.95,0.0
1996-11-01,34.88,37.88,31.62,32.5,569800,9.24,-0.07135678391959788
1996-12-02,33.5,35.37,25.5,27.0,895700,7.68,-0.1688311688311689
1997-01-02,27.25,31.88,26.5,28.5,912300,8.1,0.0546875
1997-02-03,28.5,33.75,28.5,33.5,783300,9.52,0.1753086419753087
1997-03-03,33.75,36.25,28.0,28.75,685600,8.17,-0.14180672268907557
1997-04-01,29.0,33.75,19.0,19.25,1579400,5.47,-0.3304773561811506
1997-05-01,19.12,25.0,18.63,24.87,940100,7.07,0.2925045703839124
1997-06-02,25.12,25.38,21.5,25.0,813600,7.11,0.005657708628005631
1997-07-01,24.5,25.0,21.87,24.38,533200,6.93,-0.025316455696202667
1997-08-01,24.44,27.25,22.75,23.25,660500,6.61,-0.04617604617604609
1997-09-02,23.31,23.94,20.25,20.88,924800,5.93,-0.10287443267776109
1997-10-01,21.06,24.63,20.0,21.38,833700,12.15,1.0489038785834741
1997-11-03,22.12,25.25,22.12,23.62,344700,13.43,0.10534979423868318
1997-12-01,23.87,24.56,18.62,20.69,339100,11.76,-0.1243484735666418
1998-01-02,21.0,23.0,19.75,22.5,277600,12.79,0.08758503401360529
1998-02-02,22.5,26.56,22.5,26.12,465900,14.85,0.16106333072713053
1998-03-02,26.12,26.31,22.5,25.0,421200,14.21,-0.04309764309764297
1998-04-01,25.63,25.63,20.87,22.31,365900,12.69,-0.10696692470091496
1998-05-01,22.37,24.94,20.87,23.56,393300,13.4,0.05594956658786443
1998-06-01,23.81,28.37,22.06,27.62,403600,15.71,0.17238805970149262
1998-07-01,27.62,30.0,23.75,25.88,620300,14.71,-0.06365372374283895
1998-08-03,25.94,28.12,20.87,20.94,381400,11.9,-0.19102651257647862
1998-09-01,21.5,28.5,20.31,22.44,445600,12.76,0.07226890756302518
1998-10-01,21.62,25.0,16.37,22.75,846400,12.94,0.014106583072100332
1998-11-02,22.75,29.62,22.12,27.5,580400,15.64,0.20865533230293676
1998-12-01,27.25,31.75,24.13,31.56,436600,17.95,0.1476982097186701
1999-01-04,31.75,36.94,31.5,36.81,984400,20.93,0.16601671309192212
1999-02-01,37.06,39.5,34.63,35.94,698500,20.43,-0.0238891543239369
1999-03-01,35.81,37.81,23.5,26.0,1318000,14.78,-0.2765540871267743
1999-04-01,26.25,30.31,23.12,28.31,738000,16.1,0.08930987821380265
1999-05-03,28.63,30.69,27.0,27.62,757300,15.71,-0.024223602484472084
1999-06-01,27.62,30.06,25.63,28.88,677500,16.42,0.045194143857415714
1999-07-01,28.94,29.87,22.56,23.0,737600,13.08,-0.20341047503045073
1999-08-02,23.25,24.75,16.75,16.81,1463000,9.56,-0.2691131498470948
1999-09-01,16.88,17.31,15.0,15.19,1246100,8.64,-0.09623430962343094
1999-10-01,15.06,18.38,14.62,17.19,878500,9.77,0.13078703703703698
1999-11-01,17.19,18.31,15.5,17.5,700400,9.95,0.0184237461617196
1999-12-01,17.5,18.88,15.13,15.56,839400,8.85,-0.1105527638190954
2000-01-03,15.94,16.25,13.63,13.88,1018000,7.89,-0.1084745762711864
2000-02-01,13.88,14.19,10.56,11.5,1373300,6.54,-0.17110266159695808
2000-03-01,11.5,15.06,11.31,14.5,656600,8.24,0.2599388379204892
2000-04-03,14.31,14.94,11.06,11.44,534700,6.5,-0.21116504854368934
2000-05-01,11.5,12.25,11.06,11.56,622800,6.57,0.010769230769230864
2000-06-01,11.62,12.0,10.0,10.44,494200,5.93,-0.09741248097412492
2000-07-03,10.5,12.56,10.06,10.12,914900,5.76,-0.02866779089376048
2000-08-01,10.0,10.75,9.25,10.0,995600,5.69,-0.012152777777777679
2000-09-01,10.06,10.69,8.75,9.88,647200,5.61,-0.01405975395430581
2000-10-02,9.75,10.25,8.75,10.19,370500,5.79,0.03208556149732611
2000-11-01,10.0,10.44,8.31,8.44,384200,4.8,-0.17098445595854928
2000-12-01,8.5,10.31,7.62,10.0,573800,5.69,0.18541666666666679
2001-01-02,10.44,13.74,9.94,13.45,585400,7.65,0.34446397188049205
2001-02-01,13.5,14.23,11.03,12.0,534700,6.82,-0.10849673202614385
2001-03-01,11.8,13.95,11.55,13.0,569800,7.39,0.0835777126099706
2001-04-02,13.0,13.29,10.9,11.9,509200,6.77,-0.0838971583220568
2001-05-01,11.95,13.2,11.02,11.54,296000,6.56,-0.03101920236336775
2001-06-01,11.55,11.98,9.6,9.6,260100,5.46,-0.16768292682926822
2001-07-02,10.0,11.3,9.63,10.95,296400,6.23,0.1410256410256412
2001-08-01,10.99,11.0,10.0,10.45,254500,5.94,-0.0465489566613162
2001-09-04,10.5,10.68,4.6,5.0,1230900,2.84,-0.521885521885522
2001-10-01,5.05,7.55,4.63,6.8,445300,3.87,0.36267605633802824
2001-11-01,6.7,9.9,6.55,8.2,373000,4.66,0.2041343669250646
2001-12-03,8.21,10.33,7.9,9.34,349200,5.31,0.13948497854077235
2002-01-02,9.25,10.38,8.95,10.08,345900,5.73,0.07909604519774027
2002-02-04,10.01,11.98,8.95,11.5,363200,6.54,0.1413612565445026
2002-03-01,11.6,14.37,11.35,13.15,422400,7.48,0.143730886850153
2002-04-01,13.05,15.75,12.33,14.87,394500,8.45,0.12967914438502648
2002-05-01,14.95,15.65,13.58,13.96,515000,7.94,-0.060355029585798636
