Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-05-01,6.5,7.01,5.16,5.49,70300,5.49,0.0
2012-06-01,5.35,15.2,4.3,9.36,338700,9.36,0.7049180327868851
2012-07-02,9.44,16.68,8.7,12.23,209200,12.23,0.30662393162393164
2012-08-01,12.35,13.51,11.17,12.28,30700,12.28,0.004088307440719419
2012-09-04,12.19,12.85,9.59,11.55,47000,11.55,-0.05944625407166115
2012-10-01,11.69,14.98,10.8,11.47,64200,11.47,-0.006926406926406892
2012-11-01,11.86,13.0,7.8,7.99,614300,7.99,-0.30340017436791633
2012-12-03,8.15,8.23,6.75,7.17,254100,7.17,-0.10262828535669588
2013-01-02,7.39,8.08,6.93,7.67,145400,7.67,0.06973500697350077
2013-02-01,7.99,8.04,7.3,7.66,185400,7.66,-0.0013037809647978849
2013-03-01,7.58,8.06,4.9,5.62,400900,5.62,-0.26631853785900783
2013-04-01,5.65,5.65,4.45,5.14,372300,5.14,-0.0854092526690392
2013-05-01,5.09,7.1,4.85,6.91,1039100,6.91,0.3443579766536966
2013-06-03,6.95,7.2,6.1,6.43,431000,6.43,-0.06946454413892911
2013-07-01,6.43,7.18,6.31,6.85,280300,6.85,0.06531881804043538
2013-08-01,6.87,8.4,6.1,6.62,1025200,6.62,-0.033576642335766405
2013-09-03,6.69,7.7,6.4,7.33,558500,7.33,0.107250755287009
2013-10-01,7.33,7.43,5.84,7.07,418300,7.07,-0.03547066848567526
2013-11-01,7.16,7.2,6.12,6.85,881400,6.85,-0.031117397454031193
