Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-10-25,24.99,24.99,24.91,24.91,200,21.94,0.0
2011-11-01,24.91,24.91,22.67,24.35,800,21.44,-0.022789425706472244
2011-12-01,24.35,24.7,23.22,23.91,700,21.06,-0.017723880597015018
2012-01-03,24.07,25.9,24.07,25.0,2700,22.02,0.04558404558404572
2012-02-01,25.0,26.86,24.95,25.77,1600,22.69,0.030426884650317954
2012-03-01,25.77,26.83,25.05,25.49,4500,23.14,0.019832525341560103
2012-04-02,25.48,25.74,25.02,25.18,3400,22.86,-0.012100259291270565
2012-05-01,25.17,25.66,24.96,25.27,3800,22.94,0.0034995625546807574
2012-06-01,25.09,25.99,25.06,25.7,2100,23.33,0.017000871839581322
2012-07-02,25.88,26.98,25.72,26.07,3300,23.66,0.014144877839691539
2012-08-01,26.59,26.6,26.05,26.05,1200,23.65,-0.0004226542688081647
2012-09-04,26.32,27.42,26.07,26.2,1700,24.54,0.03763213530655385
2012-10-01,27.0,27.0,24.14,26.5,700,24.82,0.01140994295028519
2012-11-01,26.77,26.77,25.2,25.95,600,24.3,-0.020950846091861375
2012-12-03,25.95,26.5,25.66,26.35,4200,24.68,0.01563786008230439
2013-01-02,26.2,27.25,26.12,26.45,1300,24.77,0.00364667747163705
2013-02-01,26.45,27.0,26.28,26.74,3000,25.04,0.010900282599919153
2013-03-01,26.9,27.0,25.95,25.95,1200,25.1,0.0023961661341853624
2013-04-01,26.0,27.25,25.84,26.91,2600,26.02,0.036653386454183146
2013-05-01,27.14,27.44,26.7,26.96,1900,26.07,0.0019215987701768356
2013-06-03,26.92,27.15,25.4,26.13,1500,25.27,-0.030686612965094007
2013-07-01,26.15,27.4,25.72,26.69,1400,25.81,0.0213692125049465
2013-08-01,26.73,27.24,25.06,25.74,900,24.89,-0.03564509879891509
2013-09-03,25.56,26.0,24.75,25.43,1900,25.43,0.02169546002410594
2013-10-01,26.0,26.0,24.95,25.75,1000,25.75,0.01258356272119543
2013-11-01,25.75,25.75,24.85,24.85,1800,24.85,-0.03495145631067953
