Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-11-17,3.57,3.69,3.32,3.65,22300,0.82,0.0
1994-12-01,3.61,3.65,2.87,3.08,59700,0.69,-0.1585365853658537
1995-01-03,3.04,3.08,2.38,2.71,64100,0.61,-0.1159420289855072
1995-02-01,2.87,3.04,2.42,2.83,124400,0.63,0.032786885245901676
1995-03-01,2.87,3.2,2.13,3.16,166200,0.71,0.12698412698412698
1995-04-03,3.16,3.81,3.07,3.42,153600,0.91,0.2816901408450705
1995-05-01,3.46,4.11,3.29,3.81,118900,1.01,0.10989010989010994
1995-06-01,3.77,3.81,3.29,3.64,66500,0.97,-0.03960396039603964
1995-07-03,3.59,4.07,3.59,3.9,63100,1.04,0.07216494845360821
1995-08-01,3.94,6.49,3.46,6.49,72700,1.73,0.6634615384615383
1995-09-01,6.57,6.66,6.18,6.57,38500,1.75,0.011560693641618602
1995-10-02,6.65,6.65,6.02,6.42,137700,1.71,-0.02285714285714291
1995-11-01,6.34,6.96,6.34,6.81,84200,1.81,0.0584795321637428
1995-12-01,6.81,8.06,6.81,8.06,87000,2.14,0.18232044198895037
1996-01-02,8.06,8.45,7.59,7.9,81800,2.1,-0.01869158878504673
1996-02-01,8.06,8.14,7.43,7.75,62600,2.06,-0.01904761904761909
1996-03-01,7.59,8.14,7.56,7.81,57500,2.21,0.07281553398058249
1996-04-01,7.89,8.38,7.56,8.38,46600,2.37,0.07239819004524883
1996-05-01,8.29,8.78,7.97,8.29,42900,2.35,-0.008438818565400852
1996-06-03,8.21,8.21,7.56,7.97,104500,2.26,-0.0382978723404257
1996-07-01,7.97,8.05,7.16,7.64,42900,2.16,-0.044247787610619316
1996-08-01,7.72,8.13,7.48,8.13,49900,2.45,0.1342592592592593
1996-09-03,8.13,8.47,8.04,8.3,45400,2.5,0.020408163265306145
1996-10-01,8.3,8.64,7.87,7.87,56200,2.37,-0.051999999999999935
1996-11-01,7.87,8.55,7.87,8.38,36800,2.53,0.06751054852320659
1996-12-02,8.47,8.55,7.62,8.3,51900,2.5,-0.011857707509881354
1997-01-02,8.3,9.48,8.21,8.89,65900,2.68,0.07200000000000006
1997-02-03,8.81,10.31,8.72,9.64,83700,3.49,0.3022388059701493
1997-03-03,9.83,10.12,9.55,9.83,53500,3.56,0.02005730659025784
1997-04-01,9.93,9.93,9.07,9.55,81300,3.46,-0.028089887640449507
1997-05-01,9.64,9.93,9.55,9.64,36100,3.49,0.00867052023121384
1997-06-02,9.64,9.74,9.12,9.55,97100,3.46,-0.008595988538682042
1997-07-01,9.45,10.02,9.02,9.27,139100,3.55,0.026011560693641522
1997-08-01,9.27,9.96,8.87,9.36,108000,3.59,0.011267605633802802
1997-09-02,9.46,9.56,8.92,8.97,83700,3.43,-0.04456824512534807
1997-10-01,9.07,9.36,6.18,7.52,107300,2.88,-0.16034985422740533
1997-11-03,7.82,8.87,6.97,8.8,100500,3.37,0.17013888888888906
1997-12-01,8.72,9.22,8.17,8.92,79000,3.42,0.014836795252225476
1998-01-02,8.92,9.41,8.42,9.02,64900,3.45,0.00877192982456143
1998-02-02,8.92,10.09,8.62,9.78,79700,3.96,0.14782608695652177
1998-03-02,9.67,10.09,9.36,9.73,42800,3.93,-0.007575757575757569
1998-04-01,9.78,9.88,9.26,9.62,34500,3.89,-0.010178117048346036
1998-05-01,9.57,9.83,8.32,8.89,35500,3.6,-0.07455012853470433
1998-06-01,8.95,9.57,8.58,9.57,61400,3.87,0.07499999999999996
1998-07-01,9.41,10.62,9.41,10.35,112400,4.4,0.13695090439276503
1998-08-03,10.3,10.35,8.13,8.24,98400,3.5,-0.20454545454545459
1998-09-01,8.13,9.0,6.07,8.46,76500,3.59,0.02571428571428558
1998-10-01,8.56,9.11,7.75,8.94,45000,3.8,0.058495821727019504
1998-11-02,9.05,9.65,8.67,8.67,51000,3.69,-0.02894736842105261
1998-12-01,8.56,9.27,8.35,8.78,23900,3.73,0.01084010840108407
