Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-07-20,23.0,23.75,22.62,23.75,377000,6.56,0.0
1995-08-01,23.62,25.62,23.25,23.75,94500,6.56,0.0
1995-09-01,24.0,25.0,23.87,24.0,44700,6.63,0.010670731707317138
1995-10-02,24.12,24.25,23.0,23.25,88600,6.48,-0.02262443438914019
1995-11-01,23.62,24.0,23.0,24.0,36100,6.69,0.03240740740740744
1995-12-01,23.87,25.12,23.25,23.62,34400,6.59,-0.014947683109118204
1996-01-02,23.37,24.75,23.12,24.62,19300,6.93,0.05159332321699539
1996-02-01,24.75,27.0,24.75,26.62,28300,7.49,0.08080808080808088
1996-03-01,26.75,26.87,25.37,26.12,28600,7.35,-0.018691588785046842
1996-04-01,26.0,27.75,25.0,27.75,115500,7.87,0.07074829931972793
1996-05-01,27.62,28.0,26.5,27.5,32500,7.8,-0.008894536213468918
1996-06-03,27.5,27.5,25.87,26.37,28100,7.48,-0.04102564102564099
1996-07-01,26.37,27.5,26.25,27.25,19500,7.8,0.04278074866310155
1996-08-01,27.37,30.62,27.37,30.5,33300,8.72,0.11794871794871797
1996-09-03,30.5,30.75,28.5,28.87,48500,8.26,-0.052752293577981724
1996-10-01,28.75,31.5,28.75,31.12,30400,8.97,0.08595641646489116
1996-11-01,30.87,31.0,29.62,30.0,21900,8.65,-0.035674470457079166
1996-12-02,29.75,33.25,29.0,32.75,33400,9.44,0.09132947976878603
1997-01-02,32.75,34.25,31.62,31.87,122700,9.25,-0.0201271186440678
1997-02-03,31.87,31.87,26.5,27.5,119900,7.98,-0.13729729729729723
1997-03-03,27.5,29.75,26.5,28.75,40700,8.34,0.045112781954887105
1997-04-01,29.0,29.75,27.87,28.25,53300,8.26,-0.00959232613908878
1997-05-01,28.25,34.0,28.25,31.62,48200,9.24,0.1186440677966103
1997-06-02,31.5,34.75,31.12,34.56,57100,10.1,0.09307359307359309
1997-07-01,34.56,36.0,34.0,34.94,52400,10.27,0.016831683168316847
1997-08-01,34.94,35.0,30.62,32.94,61900,9.69,-0.05647517039922101
1997-09-02,32.94,34.88,31.5,33.63,71500,9.89,0.02063983488132104
1997-10-01,33.5,38.0,29.87,32.0,122800,9.46,-0.04347826086956519
1997-11-03,32.13,33.0,30.12,32.5,57900,9.61,0.01585623678646919
