Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-02-10,18.75,19.03,18.32,18.81,473300,17.4,0.0
2010-03-01,18.88,20.56,18.55,19.73,109700,18.25,0.04885057471264376
2010-04-01,19.73,20.07,18.73,18.81,27200,17.4,-0.046575342465753455
2010-05-03,18.87,18.88,17.32,18.05,47100,16.7,-0.04022988505747127
2010-06-01,17.99,18.59,17.58,17.71,63300,16.38,-0.01916167664670665
2010-07-01,17.65,18.26,17.45,18.0,36100,16.65,0.016483516483516425
2010-08-02,18.18,18.22,17.07,17.33,32400,16.03,-0.03723723723723704
2010-09-01,17.52,18.31,17.1,18.22,51300,16.86,0.051777916406737345
2010-10-01,18.37,18.54,17.5,18.12,32400,16.76,-0.005931198102016477
2010-11-01,18.1,18.68,17.58,17.75,26900,16.42,-0.02028639618138428
2010-12-01,17.99,18.62,17.79,17.93,14400,16.59,0.010353227771010776
2011-01-03,17.99,19.0,17.71,17.83,12000,16.5,-0.005424954792043413
2011-02-01,17.77,18.46,16.68,18.33,11200,16.96,0.027878787878787836
2011-03-01,18.34,18.34,16.35,17.23,39600,15.94,-0.06014150943396235
2011-04-01,17.16,17.23,16.49,16.96,25200,15.78,-0.010037641154328703
2011-05-02,16.96,17.25,16.17,17.05,24900,15.87,0.005703422053231932
2011-06-01,17.0,17.21,16.55,17.01,28500,15.83,-0.002520478890989275
2011-07-01,16.9,17.06,16.56,16.65,21600,15.59,-0.01516108654453574
2011-08-01,16.69,16.72,14.14,15.11,28300,14.14,-0.09300833867864011
2011-09-01,15.07,15.73,12.78,12.83,27600,12.01,-0.15063649222065068
2011-10-03,12.77,13.0,11.83,12.45,41700,11.75,-0.02164862614487928
2011-11-01,12.06,12.88,11.41,12.8,28600,12.08,0.028085106382978786
2011-12-01,12.77,15.79,12.33,15.14,22600,14.29,0.18294701986754958
2012-01-03,15.36,15.56,13.5,14.12,179400,13.41,-0.0615815255423372
2012-02-01,14.21,14.69,13.66,14.22,48800,13.51,0.007457121551081247
2012-03-01,14.21,14.46,13.65,14.31,29000,13.59,0.005921539600296066
2012-04-02,14.23,14.93,13.71,14.3,63900,13.68,0.0066225165562914245
2012-05-01,14.31,14.63,13.74,14.22,38500,13.6,-0.005847953216374324
2012-06-01,13.98,15.15,13.27,15.11,42800,14.46,0.06323529411764706
2012-07-02,15.18,16.4,14.72,14.91,46200,14.38,-0.0055325034578146415
2012-08-01,14.92,15.53,14.37,15.06,18900,14.52,0.009735744089012455
2012-09-04,15.11,16.09,14.95,15.8,40600,15.23,0.04889807162534443
2012-10-01,15.9,15.95,14.4,15.26,22300,14.83,-0.02626395272488513
2012-11-01,15.3,15.3,14.0,14.95,30100,14.52,-0.02090357383681729
2012-12-03,15.07,15.59,14.88,15.44,49600,15.12,0.04132231404958686
2013-01-02,15.73,17.4,15.37,16.7,102200,16.35,0.0813492063492065
2013-02-01,16.8,18.07,16.59,17.9,190500,17.53,0.07217125382263001
2013-03-01,17.71,18.25,17.15,17.98,109100,17.61,0.004563605248145919
2013-04-01,17.94,18.96,17.77,18.82,65100,18.55,0.053378762067007424
2013-05-01,18.78,20.27,18.2,19.03,85100,18.76,0.01132075471698113
2013-06-03,19.01,19.36,17.57,18.53,120700,18.26,-0.026652452025586304
2013-07-01,18.54,19.75,18.22,18.34,203200,18.2,-0.0032858707557503752
2013-08-01,18.32,18.5,17.05,17.56,69900,17.43,-0.04230769230769227
2013-09-03,17.68,18.07,16.95,17.76,58300,17.63,0.011474469305794655
2013-10-01,17.71,18.78,16.97,17.78,46500,17.78,0.008508224617129967
2013-11-01,17.71,17.95,17.09,17.15,43900,17.15,-0.03543307086614189
