Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-08-01,16.25,27.75,15.5,26.38,312500,26.38,0.0
1996-09-03,25.63,40.37,24.88,36.5,220900,36.5,0.3836239575435936
1996-10-01,35.75,38.0,28.25,32.0,135800,32.0,-0.12328767123287676
1996-11-01,31.37,37.0,26.0,31.5,442500,31.5,-0.015625
1996-12-02,31.5,35.25,24.13,26.0,246400,26.0,-0.17460317460317465
1997-01-02,26.25,34.25,25.5,28.5,216300,28.5,0.09615384615384626
1997-02-03,28.0,29.0,22.75,24.44,330800,24.44,-0.14245614035087717
1997-03-03,25.12,26.38,17.25,19.75,340600,19.75,-0.19189852700491006
1997-04-01,19.75,26.0,16.63,17.75,260700,17.75,-0.10126582278481011
1997-05-01,17.75,27.13,17.5,23.12,304400,23.12,0.30253521126760563
1997-06-02,23.12,26.38,20.62,26.25,375200,26.25,0.13538062283737018
1997-07-01,24.13,25.5,19.5,20.0,451900,20.0,-0.23809523809523814
1997-08-01,19.88,20.12,14.5,16.37,798700,16.37,-0.1815
1997-09-02,16.63,17.87,12.88,14.06,460200,14.06,-0.14111178985949913
1997-10-01,14.12,14.31,11.12,12.25,608000,12.25,-0.12873399715504985
1997-11-03,12.13,12.5,9.88,10.63,188200,10.63,-0.1322448979591836
1997-12-01,10.75,12.44,10.63,11.38,238600,11.38,0.0705550329256821
1998-01-02,11.5,11.62,9.0,9.5,229300,9.5,-0.16520210896309317
1998-02-02,9.5,10.06,8.5,9.56,283100,9.56,0.006315789473684275
1998-03-02,9.75,15.25,9.5,14.5,326700,14.5,0.51673640167364
1998-04-01,14.12,18.13,13.5,15.0,284400,15.0,0.034482758620689724
1998-05-01,14.87,15.38,12.38,13.5,117500,13.5,-0.09999999999999998
1998-06-01,13.37,13.5,11.75,12.25,173400,12.25,-0.09259259259259256
1998-07-01,12.31,12.44,9.5,10.19,156700,10.19,-0.16816326530612247
1998-08-03,10.25,12.25,8.12,8.38,138200,8.38,-0.17762512266928354
1998-09-01,8.87,10.25,6.19,10.06,185000,10.06,0.2004773269689737
1998-10-01,9.62,11.38,7.12,9.88,130600,9.88,-0.017892644135188873
1998-11-02,9.88,10.12,8.87,9.13,81300,9.13,-0.07591093117408909
1998-12-01,9.06,10.25,8.06,10.25,191700,10.25,0.1226725082146769
1999-01-04,10.5,12.38,9.62,12.13,154700,12.13,0.18341463414634163
1999-02-01,12.25,12.25,6.25,7.0,228100,7.0,-0.42291838417147576
1999-03-01,7.06,7.12,5.56,6.56,155500,6.56,-0.06285714285714294
1999-04-01,6.5,7.25,5.87,6.62,585000,6.62,0.009146341463414753
1999-05-03,6.38,8.25,5.56,7.5,526600,7.5,0.13293051359516617
1999-06-01,7.5,10.25,7.0,10.12,238300,10.12,0.3493333333333333
1999-07-01,10.12,12.06,9.69,12.06,354500,12.06,0.19169960474308323
1999-08-02,12.06,12.44,10.63,11.12,170200,11.12,-0.07794361525704818
1999-09-01,11.12,14.94,10.12,14.25,285100,14.25,0.28147482014388503
1999-10-01,13.94,14.25,11.25,14.19,166300,14.19,-0.004210526315789553
1999-11-01,14.25,25.25,11.12,21.0,499900,21.0,0.4799154334038056
1999-12-01,20.56,34.37,20.56,33.7,460300,33.7,0.6047619047619048
2000-01-03,34.5,35.5,23.87,24.06,414200,24.06,-0.28605341246290816
2000-02-01,24.06,43.69,23.38,37.88,569000,37.88,0.574397339983375
2000-03-01,37.94,41.5,29.69,34.5,461900,34.5,-0.08922914466737075
2000-04-03,35.44,41.19,29.12,32.62,319700,32.62,-0.054492753623188506
2000-05-01,33.5,37.0,29.5,32.75,243100,32.75,0.003985285101165026
2000-06-01,33.0,34.62,27.12,31.06,345100,31.06,-0.05160305343511451
2000-07-03,31.0,36.25,28.88,31.0,210300,31.0,-0.0019317450096586475
2000-08-01,31.25,33.75,24.0,32.62,369900,32.62,0.05225806451612902
2000-09-01,32.62,38.31,19.75,24.75,543000,24.75,-0.24126302881667683
2000-10-02,24.53,30.25,22.75,27.75,350600,27.75,0.1212121212121211
2000-11-01,27.69,29.5,17.5,19.06,268500,19.06,-0.3131531531531532
2000-12-01,19.98,24.38,16.12,18.38,500100,18.38,-0.03567681007345225
2001-01-02,18.38,21.31,14.5,17.0,982100,17.0,-0.07508161044613704
2001-02-01,17.44,18.25,14.25,15.5,455800,15.5,-0.08823529411764708
2001-03-01,15.44,15.69,7.25,7.88,739400,7.88,-0.4916129032258064
2001-04-02,7.84,8.29,6.25,6.82,604300,6.82,-0.13451776649746183
2001-05-01,6.95,9.89,6.35,9.11,525900,9.11,0.33577712609970667
2001-06-01,9.22,9.78,7.7,8.99,368400,8.99,-0.013172338090010838
2001-07-02,9.0,9.0,7.1,8.0,306700,8.0,-0.11012235817575089
2001-08-01,7.96,8.4,7.23,8.19,422800,8.19,0.023749999999999938
2001-09-04,8.1,8.59,5.39,7.81,313100,7.81,-0.046398046398046344
2001-10-01,7.2,8.25,6.92,8.08,151400,8.08,0.03457106274007682
2001-11-01,8.08,12.9,7.92,12.25,1023300,12.25,0.516089108910891
2001-12-03,12.25,14.75,11.9,14.33,608400,14.33,0.16979591836734698
2002-01-02,14.27,16.05,12.55,15.51,547700,15.51,0.08234473133286802
2002-02-04,15.5,15.61,10.55,11.63,598200,11.63,-0.25016118633139905
2002-03-01,11.65,13.5,11.5,13.43,432200,13.43,0.15477214101461723
2002-04-01,13.32,14.18,12.05,12.25,297500,12.25,-0.08786299329858527
2002-05-01,12.23,13.0,11.77,11.87,273100,11.87,-0.031020408163265345
2002-06-03,11.8,11.88,8.21,9.54,486600,9.54,-0.19629317607413654
2002-07-01,9.62,9.62,5.66,5.67,430300,5.67,-0.4056603773584905
2002-08-01,5.65,6.59,4.97,6.3,293000,6.3,0.11111111111111116
2002-09-03,6.3,6.75,5.85,6.25,190800,6.25,-0.007936507936507908
2002-10-01,6.27,7.45,5.84,5.96,153200,5.96,-0.0464
2002-11-01,6.03,8.67,5.88,8.6,203100,8.6,0.4429530201342282
2002-12-02,8.69,9.24,6.93,7.26,159500,7.26,-0.15581395348837213
2003-01-02,7.25,7.98,5.74,5.84,116600,5.84,-0.1955922865013774
2003-02-03,5.85,6.04,4.81,5.11,85600,5.11,-0.12499999999999989
2003-03-03,5.16,6.19,4.45,5.43,147600,5.43,0.06262230919765144
2003-04-01,5.44,5.55,3.65,4.08,248600,4.08,-0.24861878453038666
2003-05-01,4.09,4.7,4.0,4.52,643600,4.52,0.1078431372549018
2003-06-02,4.65,5.51,3.85,3.85,403300,3.85,-0.14823008849557517
2003-07-01,4.08,4.71,3.53,3.93,335700,3.93,0.020779220779220786
2003-08-01,3.96,5.51,3.31,5.22,443400,5.22,0.3282442748091603
2003-09-02,5.2,7.42,4.95,6.27,468400,6.27,0.20114942528735624
2003-10-01,6.39,7.2,5.72,6.58,264400,6.58,0.04944178628389162
2003-11-03,6.64,10.78,6.46,10.14,681500,10.14,0.541033434650456
2003-12-01,10.14,12.0,9.52,11.3,634600,11.3,0.1143984220907297
2004-01-02,11.88,12.34,10.26,10.41,468500,10.41,-0.07876106194690269
2004-02-02,10.4,10.67,7.52,7.75,471900,7.75,-0.25552353506243997
2004-03-01,7.73,8.12,5.65,6.26,813700,6.26,-0.19225806451612903
2004-04-01,6.25,6.72,5.76,6.08,348900,6.08,-0.02875399361022357
2004-05-03,6.15,7.72,5.95,7.52,279600,7.52,0.23684210526315774
2004-06-01,7.5,8.95,7.4,8.77,227400,8.77,0.16622340425531923
2004-07-01,8.8,9.12,7.55,8.75,270800,8.75,-0.0022805017103761926
2004-08-02,8.64,9.2,7.84,8.24,414400,8.24,-0.058285714285714274
2004-09-01,8.46,9.78,8.01,9.44,326100,9.44,0.14563106796116498
2004-10-01,9.47,10.21,9.36,10.0,215600,10.0,0.05932203389830515
2004-11-01,9.92,10.57,9.34,9.77,226100,9.77,-0.02300000000000002
2004-12-01,9.84,10.17,9.02,9.69,208100,9.69,-0.008188331627430934
2005-01-03,9.9,11.3,8.74,10.62,559600,10.62,0.09597523219814241
2005-02-01,10.69,11.84,10.4,11.45,469200,11.45,0.07815442561205277
2005-03-01,11.46,13.31,11.25,12.92,585100,12.92,0.12838427947598263
2005-04-01,13.02,13.1,10.17,10.5,285700,10.5,-0.18730650154798756
2005-05-02,10.61,11.0,7.15,8.16,893600,8.16,-0.22285714285714286
2005-06-01,8.17,8.9,7.45,8.15,352100,8.15,-0.001225490196078427
2005-07-01,8.12,8.4,7.54,8.15,290500,8.15,0.0
2005-08-01,8.18,8.65,7.68,8.48,286100,8.48,0.04049079754601226
2005-09-01,8.48,10.12,8.25,10.02,335200,10.02,0.18160377358490565
2005-10-03,9.99,10.79,9.6,10.43,306700,10.43,0.04091816367265477
2005-11-01,10.31,12.58,10.21,12.43,381600,12.43,0.19175455417066156
2005-12-01,12.36,12.66,11.42,12.05,243100,12.05,-0.03057119871279157
2006-01-03,12.05,12.75,10.97,11.66,274000,11.66,-0.032365145228215764
2006-02-01,11.58,13.08,11.52,12.35,314100,12.35,0.05917667238421953
2006-03-01,12.32,12.86,10.9,11.11,266200,11.11,-0.10040485829959511
2006-04-03,11.05,12.9,10.98,12.84,365800,12.84,0.15571557155715565
2006-05-01,12.89,13.88,11.73,12.04,484100,12.04,-0.06230529595015577
2006-06-01,12.1,12.71,10.93,12.66,308100,12.66,0.05149501661129574
2006-07-03,12.61,12.79,10.72,12.6,344900,12.6,-0.004739336492891044
2006-08-01,12.5,15.16,12.4,15.1,573500,15.1,0.19841269841269837
2006-09-01,15.14,16.14,14.48,15.63,546300,15.63,0.035099337748344395
2006-10-02,15.66,20.04,14.78,19.41,867700,19.41,0.24184261036468335
2006-11-01,19.5,23.11,18.96,22.58,769600,22.58,0.16331787738279235
2006-12-01,22.56,24.12,22.06,23.88,519300,23.88,0.057573073516386186
2007-01-03,24.0,27.11,23.34,26.95,741600,26.95,0.12855946398659968
2007-02-01,27.19,34.07,26.59,31.48,876300,31.48,0.1680890538033395
2007-03-01,31.3,37.52,30.25,36.69,1312200,36.69,0.16550190597204573
2007-04-02,36.98,40.41,36.5,37.73,886300,37.73,0.028345598255655524
2007-05-01,37.73,39.06,32.52,35.18,1123600,35.18,-0.06758547574874096
2007-06-01,35.71,36.21,30.05,32.47,864500,32.47,-0.0770324047754406
2007-07-02,32.57,33.47,27.61,29.33,736100,29.33,-0.09670465044656607
2007-08-01,29.17,35.24,28.85,29.25,985000,29.25,-0.0027275826798499603
2007-09-04,29.1,29.2,22.75,23.91,1202100,23.91,-0.1825641025641026
2007-10-01,24.29,27.43,23.42,24.93,920700,24.93,0.042659974905897124
2007-11-01,24.62,24.8,18.76,20.71,958400,20.71,-0.1692739671079021
2007-12-03,20.12,22.16,19.48,21.27,569900,21.27,0.02704007725736357
2008-01-02,21.13,21.28,16.17,19.73,1053900,19.73,-0.07240244475787494
2008-02-01,19.77,23.59,17.93,22.57,747000,22.57,0.1439432336543336
2008-03-03,22.54,23.01,19.0,22.46,671800,22.46,-0.0048737261852015434
2008-04-01,22.3,24.09,20.92,22.93,417700,22.93,0.020926090828138788
2008-05-01,22.96,26.88,22.58,25.84,652600,25.84,0.1269079808111644
2008-06-02,25.78,26.09,19.88,19.96,538500,19.96,-0.22755417956656343
2008-07-01,19.76,21.07,10.02,13.6,1389900,13.6,-0.3186372745490983
2008-08-01,13.57,16.5,13.33,15.42,805700,15.42,0.13382352941176467
2008-09-02,15.69,16.27,11.8,12.44,607500,12.44,-0.19325551232166016
2008-10-01,12.4,13.2,7.4,9.04,525100,9.04,-0.27331189710610937
2008-11-03,9.03,10.3,6.72,8.82,558000,8.82,-0.02433628318584058
2008-12-01,8.55,9.39,6.43,8.35,486900,8.35,-0.05328798185941053
2009-01-02,8.7,9.16,7.05,8.09,283000,8.09,-0.031137724550898138
2009-02-02,7.96,9.77,7.35,8.66,408700,8.66,0.07045735475896175
2009-03-02,8.6,11.89,8.3,10.89,430400,10.89,0.2575057736720554
