Date,Open,High,Low,Close,Volume,Adj Close,Return
1989-06-30,17.77,17.77,17.71,17.77,17000,3.0,0.0
1989-07-03,17.71,17.83,16.28,17.77,15300,3.0,0.0
1989-08-01,17.77,18.78,17.35,17.47,12900,2.95,-0.016666666666666607
1989-09-01,17.47,19.73,17.23,19.55,23600,3.3,0.11864406779661008
1989-10-02,19.49,20.09,17.12,18.19,20700,3.07,-0.0696969696969697
1989-11-01,18.36,22.82,18.3,22.82,48700,3.85,0.25407166123778513
1989-12-01,22.11,23.71,20.21,23.65,43200,3.99,0.036363636363636376
1990-01-02,23.41,26.83,20.92,25.42,56200,10.57,1.6491228070175437
1990-02-01,25.26,25.34,17.64,17.8,68100,7.4,-0.29990539262062443
1990-03-01,17.8,19.13,16.97,17.22,42000,7.16,-0.032432432432432434
1990-04-02,17.31,17.31,11.92,13.83,37000,5.75,-0.19692737430167595
1990-05-01,13.5,18.38,13.25,18.13,62600,7.54,0.31130434782608707
1990-06-01,18.47,18.55,15.29,16.97,38400,7.79,0.03315649867374004
1990-07-02,16.79,20.5,16.61,18.64,40400,8.56,0.09884467265725294
1990-08-01,18.03,18.11,14.05,16.26,26300,7.47,-0.12733644859813087
1990-09-04,16.26,16.26,9.9,10.96,23600,5.03,-0.3266398929049531
1990-10-01,10.96,15.11,10.69,13.78,21500,6.33,0.25844930417495027
1990-11-01,13.61,18.38,13.43,17.32,36000,7.96,0.25750394944707744
1990-12-03,17.85,18.2,14.31,14.49,28200,6.66,-0.16331658291457285
1991-01-02,14.67,15.73,12.81,15.11,20900,6.94,0.04204204204204198
1991-02-01,14.84,17.05,14.67,16.17,26600,7.43,0.07060518731988452
1991-03-01,16.17,16.61,14.58,15.73,13700,7.22,-0.02826379542395696
1991-04-01,15.9,17.32,15.73,16.61,18900,7.63,0.056786703601108046
1991-05-01,16.7,17.41,15.9,17.23,14600,7.91,0.03669724770642202
1991-06-03,17.23,17.32,15.9,16.17,12900,7.43,-0.06068268015170675
1991-07-01,16.26,18.03,15.9,17.67,33400,8.12,0.09286675639300124
1991-08-01,17.85,18.2,17.05,17.05,18200,7.83,-0.03571428571428559
1991-09-03,17.05,17.32,15.73,17.23,12700,7.91,0.010217113665389466
1991-10-01,17.23,17.85,15.73,16.08,32200,7.39,-0.06573957016434895
1991-11-01,15.9,17.32,15.02,16.97,39500,7.79,0.0541271989174561
1991-12-02,16.79,17.5,15.55,17.41,22000,8.0,0.02695763799743256
1992-01-02,17.32,21.83,17.32,21.03,55400,9.66,0.20750000000000002
1992-02-03,20.94,21.12,19.17,19.35,16700,8.89,-0.07971014492753614
1992-03-02,19.17,20.32,18.47,18.56,17300,8.52,-0.04161979752530942
1992-04-01,18.56,18.64,17.58,17.67,17700,8.12,-0.04694835680751175
1992-05-01,17.67,17.76,15.37,15.37,21100,7.06,-0.13054187192118227
1992-06-01,15.29,15.82,13.52,13.96,38400,6.41,-0.09206798866855515
1992-07-01,13.96,14.05,12.72,13.34,40600,6.13,-0.043681747269890825
1992-08-03,13.17,13.17,10.96,12.64,40500,5.8,-0.0538336052202284
1992-09-01,12.81,13.25,11.31,12.19,42500,5.6,-0.034482758620689724
1992-10-01,12.19,14.05,12.19,13.61,41400,6.25,0.1160714285714286
1992-11-02,13.43,13.7,12.37,13.25,34100,6.09,-0.025600000000000067
1992-12-01,13.34,13.87,12.64,13.34,28900,6.18,0.01477832512315258
1993-01-04,13.34,15.83,12.18,14.14,41000,6.55,0.05987055016181242
1993-02-01,14.58,15.12,13.52,15.03,42400,6.96,0.0625954198473282
1993-03-01,15.2,17.07,15.2,16.63,56800,7.71,0.10775862068965525
1993-04-01,16.72,17.25,14.76,15.56,39800,7.21,-0.06485084306095978
1993-05-03,15.47,15.65,14.32,15.03,29400,6.96,-0.03467406380027738
1993-06-01,15.12,15.12,13.43,13.43,27700,6.22,-0.10632183908045978
1993-07-01,13.6,15.29,13.43,14.58,30100,6.76,0.08681672025723475
1993-08-02,14.49,14.76,14.14,14.32,37000,6.63,-0.019230769230769162
1993-09-01,14.32,16.18,14.23,15.12,39100,7.01,0.05731523378582204
1993-10-01,15.12,19.38,15.03,17.96,77400,8.32,0.1868758915834523
1993-11-01,17.87,20.63,16.98,19.22,87600,8.97,0.078125
1993-12-01,19.66,28.42,18.86,27.98,175500,13.06,0.4559643255295429
1994-01-03,28.07,28.15,21.45,24.94,187800,11.64,-0.10872894333843797
1994-02-01,24.85,24.94,18.59,18.77,93000,8.76,-0.24742268041237114
1994-03-01,18.77,20.11,16.18,17.34,93500,8.1,-0.07534246575342463
1994-04-04,16.89,21.81,16.71,20.2,63900,9.43,0.16419753086419764
1994-05-02,20.38,21.93,19.48,21.48,42800,10.1,0.07104984093319189
1994-06-01,21.48,21.84,18.96,19.32,28000,9.09,-0.09999999999999998
1994-07-01,19.32,23.36,19.32,23.28,39100,10.95,0.20462046204620465
1994-08-01,23.63,23.72,21.21,22.92,57000,10.78,-0.015525114155251152
1994-09-01,22.83,22.92,20.4,21.93,64300,10.31,-0.0435992578849721
1994-10-03,22.02,22.29,19.41,19.77,62900,9.3,-0.09796314258001937
1994-11-01,19.41,19.77,18.06,18.15,40800,8.54,-0.08172043010752705
1994-12-01,18.33,21.12,18.33,20.76,81800,9.77,0.14402810304449654
1995-01-03,20.49,20.58,16.1,16.64,77700,7.83,-0.1985670419651996
1995-02-01,16.37,17.45,16.28,17.09,50000,8.05,0.028097062579821364
1995-03-01,17.0,17.0,13.85,15.11,39500,7.11,-0.11677018633540381
1995-04-03,15.2,15.92,14.57,15.47,64000,7.28,0.02390998593530247
1995-05-01,15.56,16.64,15.11,16.19,69900,7.62,0.04670329670329676
1995-06-01,16.28,17.09,14.21,15.74,89500,7.41,-0.027559055118110187
1995-07-03,15.65,17.72,14.57,14.57,193100,6.86,-0.07422402159244257
1995-08-01,14.84,16.28,14.57,15.56,126700,7.33,0.06851311953352757
1995-09-01,15.47,16.46,15.47,16.1,79600,7.58,0.034106412005457054
1995-10-02,16.19,17.09,15.11,15.74,49000,7.41,-0.02242744063324542
1995-11-01,15.65,15.65,14.12,14.75,60600,6.94,-0.06342780026990547
1995-12-01,14.84,15.38,14.12,14.75,51400,6.94,0.0
1996-01-02,14.76,17.1,14.4,14.4,84200,6.79,-0.021613832853025983
1996-02-01,14.49,16.11,14.31,15.21,127600,7.17,0.055964653902798256
1996-03-01,15.48,16.47,14.04,16.38,140300,7.72,0.07670850767085069
1996-04-01,16.56,18.27,16.47,16.65,97100,7.85,0.01683937823834203
1996-05-01,16.65,17.1,15.48,16.11,73300,7.6,-0.031847133757961776
1996-06-03,15.84,17.37,15.66,17.28,143600,8.15,0.07236842105263164
1996-07-01,17.28,17.28,14.94,15.84,81800,7.47,-0.08343558282208596
1996-08-01,16.02,17.46,15.93,16.92,84400,7.98,0.0682730923694781
1996-09-03,16.2,17.01,16.2,16.65,63700,7.85,-0.01629072681704269
1996-10-01,16.65,17.01,14.94,15.39,55200,7.26,-0.07515923566878979
1996-11-01,15.39,17.19,14.94,16.56,87900,7.81,0.07575757575757569
1996-12-02,16.83,16.92,15.39,16.03,53500,7.56,-0.03201024327784896
1997-01-02,15.94,17.38,15.94,16.84,73200,7.94,0.050264550264550456
1997-02-03,16.84,19.0,16.57,18.01,108700,8.49,0.0692695214105794
1997-03-03,17.92,18.82,16.84,17.74,164100,8.37,-0.014134275618374659
1997-04-01,17.56,19.18,17.56,18.1,93800,8.54,0.020310633213858953
1997-05-01,18.1,18.1,16.57,17.02,65900,8.03,-0.059718969555035084
1997-06-02,17.11,18.28,16.93,18.19,76200,8.58,0.06849315068493156
1997-07-01,18.19,18.77,17.51,17.74,118700,8.37,-0.02447552447552459
1997-08-01,17.6,20.85,17.42,18.41,108800,8.69,0.03823178016726403
1997-09-02,17.83,19.81,17.83,18.28,70100,8.62,-0.008055235903337232
1997-10-01,18.01,18.23,12.43,13.15,91900,6.2,-0.2807424593967517
1997-11-03,13.69,15.22,13.24,13.78,94000,6.5,0.048387096774193505
1997-12-01,13.6,15.76,13.15,15.3,99900,10.45,0.6076923076923075
1998-01-02,15.36,17.38,13.27,17.38,148000,11.88,0.1368421052631581
1998-02-02,17.85,18.31,17.27,18.02,92800,12.31,0.036195286195286114
1998-03-02,18.02,18.43,16.34,16.57,61700,11.32,-0.08042242079610074
1998-04-01,16.46,16.57,14.96,15.42,79500,10.54,-0.06890459363957602
1998-05-01,15.31,15.65,13.05,13.05,96200,8.92,-0.15370018975332067
1998-06-01,12.99,12.99,10.73,12.47,101100,8.52,-0.04484304932735428
1998-07-01,12.52,13.92,12.52,12.76,66200,8.72,0.023474178403755985
1998-08-03,12.29,12.81,10.09,10.2,58500,6.98,-0.1995412844036697
1998-09-01,10.03,12.0,9.97,11.36,74800,7.77,0.1131805157593122
