Date,Open,High,Low,Close,Volume,Adj Close,Return
1987-12-30,22.25,22.87,22.25,22.75,228300,3.72,0.0
1988-01-04,22.62,24.25,21.0,23.62,417400,3.87,0.040322580645161255
1988-02-01,24.0,25.5,21.75,24.5,414400,4.01,0.036175710594315236
1988-03-01,24.5,29.62,24.25,27.12,819700,4.45,0.10972568578553621
1988-04-04,27.25,29.37,25.75,29.0,853900,4.76,0.06966292134831442
1988-05-02,28.87,33.25,28.87,31.12,997900,5.11,0.07352941176470607
1988-06-01,31.12,36.5,31.12,34.25,818700,5.63,0.10176125244618395
1988-07-01,34.38,35.13,32.0,32.88,467700,5.4,-0.04085257548845467
1988-08-01,32.75,34.0,29.5,30.62,373500,5.03,-0.06851851851851853
1988-09-01,30.5,35.88,30.5,35.5,636400,5.85,0.1630218687872762
1988-10-03,35.25,38.38,35.0,35.38,459000,5.83,-0.0034188034188032956
1988-11-01,35.25,36.0,32.13,34.75,372000,5.72,-0.018867924528301994
1988-12-01,34.63,36.38,34.13,35.75,301900,5.9,0.03146853146853168
1989-01-03,35.5,36.25,32.25,36.25,679600,5.98,0.013559322033898313
1989-02-01,36.0,37.88,35.5,36.5,583900,6.02,0.006688963210702115
1989-03-01,36.38,37.25,33.88,35.38,360000,5.85,-0.028239202657807327
1989-04-03,35.13,35.63,33.25,35.25,809700,5.83,-0.0034188034188032956
1989-05-01,35.13,41.75,34.25,40.88,830500,6.77,0.1612349914236706
1989-06-01,40.88,42.63,38.13,38.63,359100,6.4,-0.05465288035450511
1989-07-03,38.63,46.0,38.13,45.25,603700,7.5,0.171875
1989-08-01,45.13,49.25,44.88,47.13,464600,7.82,0.04266666666666663
1989-09-01,47.13,47.88,44.25,47.63,281300,7.9,0.010230179028132946
1989-10-02,47.63,52.5,44.5,48.88,506200,8.11,0.026582278481012578
1989-11-01,48.63,50.5,48.13,49.5,282800,8.22,0.01356350184956856
1989-12-01,49.5,53.75,48.38,50.38,310900,8.37,0.018248175182481674
1990-01-02,50.63,53.0,41.0,44.0,530700,7.31,-0.12664277180406214
1990-02-01,44.5,48.13,44.25,47.75,341800,7.95,0.08755129958960328
1990-03-01,47.75,50.38,47.38,47.5,223600,7.91,-0.005031446540880502
1990-04-02,47.13,50.25,44.88,45.38,329100,7.55,-0.04551201011378003
1990-05-01,45.5,54.25,43.5,53.25,560000,8.88,0.17615894039735114
1990-06-01,53.13,58.0,53.0,56.88,503600,9.48,0.06756756756756754
1990-07-02,56.88,65.75,56.25,59.13,535800,9.86,0.04008438818565385
1990-08-01,58.75,59.5,47.75,52.88,506800,8.83,-0.10446247464503033
1990-09-04,52.63,56.25,49.0,49.88,377300,8.33,-0.05662514156285392
1990-10-01,51.0,53.0,37.88,38.38,892100,6.41,-0.23049219687875144
1990-11-01,39.5,40.38,37.13,39.63,865200,6.62,0.032761310452418035
1990-12-03,39.75,45.0,38.13,43.0,642000,7.19,0.08610271903323263
1991-01-02,43.0,44.25,37.38,40.5,953800,6.78,-0.057023643949930425
1991-02-01,40.5,49.25,40.5,45.0,981500,7.53,0.11061946902654873
1991-03-01,44.75,52.25,44.63,47.5,716200,7.95,0.055776892430278835
1991-04-01,47.38,51.0,46.63,46.63,448000,7.82,-0.01635220125786163
1991-05-01,46.75,50.88,46.63,50.88,394800,8.53,0.09079283887468015
1991-06-03,50.75,51.38,47.5,48.0,464400,8.05,-0.05627198124267274
1991-07-01,48.13,49.0,41.5,41.63,545500,6.99,-0.13167701863354042
1991-08-01,41.63,44.75,37.75,41.38,570600,6.95,-0.005722460658083017
1991-09-03,41.63,41.88,37.88,38.75,521200,6.51,-0.06330935251798564
1991-10-01,38.88,39.5,30.62,33.38,1078800,5.62,-0.13671274961597535
1991-11-01,33.13,34.38,31.12,31.25,830600,5.26,-0.06405693950177938
1991-12-02,31.25,35.13,28.0,34.38,836000,5.8,0.102661596958175
1992-01-02,34.13,39.75,33.63,37.13,527200,6.27,0.08103448275862069
1992-02-03,38.13,38.88,36.25,37.0,340600,6.24,-0.004784688995215225
1992-03-02,37.13,39.13,35.38,37.25,449000,6.29,0.008012820512820484
1992-04-01,36.75,37.88,33.5,36.38,464600,6.15,-0.02225755166931631
