Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-10-17,18.87,19.62,17.0,17.87,209600,5.03,0.0
1994-11-01,17.75,18.5,15.63,18.0,55300,5.07,0.007952286282306265
1994-12-01,17.75,17.75,14.5,16.5,45100,4.66,-0.0808678500986193
1995-01-03,16.75,17.75,14.75,15.75,27200,4.45,-0.045064377682403456
1995-02-01,16.0,18.0,14.88,16.12,63400,4.55,0.022471910112359383
1995-03-01,16.37,18.62,15.25,17.5,316900,4.96,0.09010989010989023
1995-04-03,17.25,19.75,17.25,19.25,26800,5.46,0.10080645161290325
1995-05-01,19.25,21.87,19.0,21.0,37200,5.95,0.08974358974358987
1995-06-01,21.12,22.12,18.12,19.37,377500,5.53,-0.07058823529411762
1995-07-03,19.5,20.37,18.0,18.0,39600,5.14,-0.07052441229656425
1995-08-01,17.75,18.37,15.5,17.37,26400,4.96,-0.035019455252918275
1995-09-01,17.25,18.12,17.0,17.25,13800,4.96,0.0
1995-10-02,17.5,17.62,16.0,17.5,7400,5.03,0.014112903225806495
1995-11-01,17.37,17.37,16.0,17.12,16300,4.92,-0.021868787276342005
1995-12-01,17.12,18.5,17.12,18.0,323800,5.21,0.05894308943089421
1996-01-02,18.0,19.25,17.0,17.62,36200,5.1,-0.021113243761996192
1996-02-01,18.0,18.0,16.25,16.5,30600,4.78,-0.06274509803921557
1996-03-01,16.75,17.12,16.25,16.87,15600,4.92,0.029288702928870203
1996-04-01,16.87,17.0,16.37,16.75,16400,4.89,-0.0060975609756097615
1996-05-01,17.0,17.25,16.25,17.0,53000,4.96,0.014314928425357865
1996-06-03,17.0,18.75,16.25,18.5,153900,5.43,0.094758064516129
1996-07-01,18.5,19.75,18.12,19.25,22000,5.65,0.0405156537753224
1996-08-01,19.25,21.0,19.25,19.75,129100,5.8,0.0265486725663715
1996-09-03,19.75,19.87,18.75,18.87,148800,5.58,-0.037931034482758585
1996-10-01,18.87,20.87,18.75,20.0,13200,5.91,0.05913978494623651
1996-11-01,20.0,24.25,20.0,23.12,172300,6.83,0.15566835871404394
1996-12-02,23.37,23.5,21.62,23.5,89300,6.97,0.020497803806734938
1997-01-02,23.5,27.75,23.25,27.5,120400,8.16,0.17073170731707332
1997-02-03,27.5,30.5,26.75,28.12,31400,8.34,0.022058823529411686
1997-03-03,28.37,28.75,26.75,28.5,29900,8.49,0.017985611510791477
1997-04-01,28.25,32.63,27.75,32.63,26200,9.72,0.14487632508833936
1997-05-01,32.75,34.63,31.37,32.25,24600,9.61,-0.011316872427983626
1997-06-02,32.5,34.38,30.5,30.94,63800,9.25,-0.037460978147762725
1997-07-01,30.94,32.5,29.0,30.37,51700,9.08,-0.018378378378378413
1997-08-01,30.62,30.62,26.5,27.12,19300,8.11,-0.10682819383259923
1997-09-02,27.12,32.44,27.0,30.87,29600,9.27,0.14303329223181271
1997-10-01,30.62,30.75,25.37,27.25,23500,8.18,-0.1175836030204962
1997-11-03,27.12,27.75,24.87,25.12,32600,7.54,-0.0782396088019559
1997-12-01,25.25,25.75,21.87,25.25,36300,7.62,0.010610079575596787
1998-01-02,25.06,29.0,24.87,29.0,56500,8.76,0.14960629921259838
1998-02-02,29.0,30.0,28.87,29.0,31000,8.76,0.0
1998-03-02,28.87,32.75,28.87,32.75,31600,9.93,0.13356164383561642
1998-04-01,33.0,35.88,31.75,32.5,36300,9.85,-0.00805639476334341
1998-05-01,32.5,32.5,27.62,29.0,29400,8.83,-0.10355329949238579
1998-06-01,29.0,30.5,27.5,28.5,30600,8.68,-0.016987542468856254
1998-07-01,28.37,32.13,28.37,31.25,34300,9.51,0.09562211981566815
1998-08-03,31.0,31.12,20.0,20.25,37400,6.16,-0.35226077812828593
1998-09-01,20.0,23.25,18.5,21.37,150900,6.54,0.06168831168831157
1998-10-01,21.25,25.87,20.12,25.69,145100,7.87,0.20336391437308876
1998-11-02,25.87,31.0,25.87,28.12,30700,8.61,0.09402795425667088
1998-12-01,27.62,28.75,25.06,25.87,37900,7.96,-0.07549361207897787
1999-01-04,25.37,25.62,23.62,24.37,39000,7.5,-0.05778894472361806
1999-02-01,24.62,29.56,24.56,28.5,47300,8.77,0.16933333333333334
1999-03-01,28.25,29.44,27.31,29.37,35900,9.07,0.03420752565564422
1999-04-01,29.5,34.75,29.37,32.44,30200,10.02,0.10474090407938252
1999-05-03,32.44,34.5,31.37,32.5,44700,10.1,0.007984031936127733
1999-06-01,32.5,36.44,31.06,36.0,33300,11.19,0.10792079207920802
1999-07-01,36.06,39.06,35.94,36.69,33600,11.41,0.01966041108132277
1999-08-02,36.69,40.38,36.69,38.88,27700,12.09,0.0595968448729185
1999-09-01,38.75,38.94,37.56,37.75,17000,11.77,-0.026468155500413593
1999-10-01,37.63,37.63,32.69,34.5,30800,10.76,-0.0858113848768054
1999-11-01,34.38,38.0,34.38,37.56,31100,11.71,0.0882899628252789
1999-12-01,37.81,39.38,37.81,38.0,28000,11.88,0.014517506404782221
2000-01-03,38.25,43.5,38.25,43.0,27800,13.45,0.13215488215488191
2000-02-01,43.0,43.0,37.38,37.75,55200,11.81,-0.12193308550185866
2000-03-01,38.0,39.88,36.88,38.5,17500,12.08,0.022861981371718798
2000-04-03,38.44,40.0,38.25,38.63,8900,12.12,0.0033112582781456013
2000-05-01,38.63,40.06,36.5,36.5,15900,11.53,-0.048679867986798686
2000-06-01,36.75,38.13,35.94,36.44,15600,11.51,-0.0017346053772766545
2000-07-03,36.19,37.25,35.0,36.38,19900,11.49,-0.0017376194613378804
2000-08-01,36.13,38.19,35.31,35.94,27100,11.35,-0.01218450826805928
2000-09-01,36.0,37.5,35.75,37.0,12700,11.73,0.03348017621145383
2000-10-02,36.88,38.38,36.5,38.38,22600,12.16,0.036658141517476484
2000-11-01,38.38,39.0,36.31,36.44,16000,11.55,-0.05016447368421051
2000-12-01,36.44,39.13,36.44,39.0,10500,12.4,0.07359307359307365
2001-01-02,38.75,42.0,38.5,42.0,11300,13.35,0.0766129032258065
2001-02-01,41.45,42.5,41.24,42.4,5100,13.48,0.009737827715355918
2001-03-01,42.4,45.0,41.3,41.65,13600,13.27,-0.015578635014836806
2001-04-02,41.65,41.65,40.12,41.2,7200,13.13,-0.010550113036925324
2001-05-01,41.2,48.1,40.87,48.1,15400,15.42,0.1744097486671743
2001-06-01,47.85,47.85,42.3,44.55,11100,14.28,-0.07392996108949423
2001-07-02,44.45,46.48,44.2,46.21,16300,14.81,0.03711484593837544
2001-08-01,45.96,47.05,45.21,45.3,7400,14.52,-0.019581363943281582
2001-09-04,45.2,45.72,40.5,40.9,18100,13.15,-0.09435261707988973
2001-10-01,40.9,40.9,38.04,38.55,18300,12.39,-0.057794676806083634
2001-11-01,38.66,42.13,38.65,39.0,9100,12.54,0.012106537530266248
2001-12-03,39.0,39.12,35.0,36.0,16500,11.61,-0.07416267942583732
2002-01-02,36.0,36.0,30.91,33.0,22000,10.64,-0.0835486649440137
2002-02-01,33.14,33.9,32.35,33.15,21200,10.69,0.0046992481203007586
2002-03-01,33.35,38.3,33.35,35.96,16900,11.63,0.087932647333957
2002-04-01,36.15,36.15,33.85,34.0,19800,10.99,-0.05503009458297514
2002-05-01,34.0,35.03,33.5,34.4,17800,11.2,0.019108280254777066
2002-06-03,34.4,34.45,32.85,33.1,22600,10.78,-0.03749999999999998
2002-07-01,33.05,33.05,29.77,30.9,47100,10.06,-0.06679035250463816
2002-08-01,30.9,32.63,30.7,32.55,11500,10.6,0.05367793240556651
2002-09-03,32.55,32.55,28.05,28.42,25100,9.29,-0.12358490566037739
2002-10-01,28.45,31.2,28.45,30.7,13300,10.03,0.07965554359526372
2002-11-01,30.6,31.92,30.6,31.62,6900,10.33,0.0299102691924229
2002-12-02,31.75,34.6,31.45,33.82,17900,11.09,0.07357212003872204
