Date,Open,High,Low,Close,Volume,Adj Close,Return
2000-06-23,10.62,10.62,10.62,10.62,0,3.71,0.0
2000-07-03,10.62,11.0,10.62,10.62,400,3.71,0.0
2000-08-01,10.62,10.75,10.62,10.75,0,3.76,0.013477088948786964
2000-09-01,10.75,11.38,10.75,10.88,100,3.8,0.010638297872340496
2000-10-02,10.88,10.88,10.88,10.88,100,3.8,0.0
2000-11-01,10.88,10.88,10.88,10.88,0,3.8,0.0
2000-12-01,10.88,11.38,10.88,11.0,400,3.84,0.010526315789473717
2001-01-02,11.0,11.25,11.0,11.25,200,3.93,0.0234375
2001-02-01,11.25,13.0,11.25,13.0,100,4.54,0.15521628498727735
2001-03-01,13.0,13.5,12.0,13.5,200,4.72,0.03964757709251088
2001-04-02,12.12,13.3,12.12,12.25,2300,4.28,-0.09322033898305071
2001-05-01,12.25,13.0,12.25,12.63,600,4.41,0.030373831775700966
2001-06-01,12.63,13.5,12.4,13.25,100,4.63,0.049886621315192725
2001-07-02,12.75,13.25,12.75,13.25,0,4.63,0.0
2001-08-01,13.25,15.0,12.55,15.0,200,5.24,0.13174946004319654
2001-09-04,15.0,15.0,15.0,15.0,0,5.24,0.0
2001-10-01,15.0,15.0,13.35,13.5,4900,4.72,-0.0992366412213741
2001-11-01,13.5,15.25,13.5,15.0,600,5.24,0.11016949152542388
2001-12-03,15.0,15.0,15.0,15.0,0,5.24,0.0
2002-01-02,15.0,18.0,14.55,18.0,100,6.29,0.20038167938931295
2002-02-04,18.0,18.5,17.25,18.0,100,6.29,0.0
2002-03-01,18.0,19.4,17.5,19.0,100,6.64,0.055643879173290944
2002-04-01,19.0,21.0,19.0,19.2,400,6.71,0.010542168674698926
2002-05-01,19.2,20.5,19.2,19.4,100,6.78,0.010432190760059745
2002-06-03,19.4,21.25,19.4,19.75,700,6.9,0.017699115044247815
2002-07-01,19.75,21.0,19.7,19.75,100,6.9,0.0
2002-08-01,19.75,21.0,19.75,20.1,300,7.03,0.018840579710144967
2002-09-03,20.1,21.25,20.1,21.0,0,7.34,0.04409672830725464
2002-10-01,21.0,25.0,21.0,25.0,0,8.74,0.19073569482288844
2002-11-01,25.0,26.0,25.0,26.0,0,9.09,0.040045766590389054
2002-12-02,26.0,26.0,26.0,26.0,0,9.09,0.0
2003-01-02,26.0,29.0,26.0,26.5,300,9.26,0.018701870187018743
2003-02-03,26.5,29.0,26.0,26.5,600,9.26,0.0
2003-03-03,26.5,27.25,26.25,26.3,300,9.19,-0.0075593952483801186
2003-04-01,26.3,27.25,26.3,27.24,0,9.52,0.0359085963003265
2003-05-01,27.24,27.25,26.0,26.5,0,9.26,-0.027310924369747913
2003-06-02,26.5,27.25,17.75,17.75,100,9.31,0.005399568034557323
2003-07-01,18.25,18.5,18.0,18.5,200,9.7,0.04189044038668088
2003-08-01,18.5,21.0,18.5,21.0,0,11.01,0.13505154639175254
