Date,Open,High,Low,Close,Volume,Adj Close,Return
2003-10-07,1.52,1.73,1.4,1.45,600,121.75,0.0
2003-11-03,1.49,1.7,1.1,1.2,400,100.76,-0.17240246406570836
2003-12-01,1.18,1.39,0.91,1.22,800,102.44,0.016673283048828758
2004-01-02,1.22,1.44,1.1,1.35,1000,113.35,0.10650136665365095
2004-02-02,1.31,1.44,1.05,1.25,400,104.96,-0.07401852668725184
2004-03-01,1.25,1.25,0.9,0.97,500,81.45,-0.22399009146341453
2004-04-01,0.95,1.39,0.9,1.14,700,95.72,0.1751995089011662
2004-05-03,1.14,1.24,0.74,0.8,700,67.17,-0.29826577517760133
2004-06-01,0.85,1.12,0.67,0.81,1200,68.01,0.01250558284948644
2004-07-01,0.81,0.95,0.65,0.9,300,75.57,0.11116012351124827
2004-08-02,0.73,0.94,0.61,0.65,300,54.58,-0.2777557231705703
2004-09-01,0.63,0.85,0.59,0.64,200,53.74,-0.015390252839868057
2004-10-01,0.59,0.75,0.48,0.55,300,46.18,-0.14067733531819882
2004-11-01,0.52,0.69,0.42,0.5,900,41.98,-0.09094846253789524
2004-12-01,0.51,0.51,0.36,0.44,3100,36.95,-0.11981896141019521
2005-01-03,0.45,6.8,0.43,5.5,1500,38.5,0.04194857916102834
2005-02-01,5.3,6.6,5.25,6.05,500,42.35,0.10000000000000009
2005-03-01,6.2,6.5,5.41,5.95,900,41.65,-0.016528925619834767
2005-04-01,5.95,7.8,4.5,4.95,3600,34.65,-0.16806722689075626
2005-05-02,4.96,6.24,4.5,5.15,1300,36.05,0.04040404040404044
2005-06-01,5.0,7.74,4.32,5.7,27600,39.9,0.10679611650485432
2005-07-01,5.61,9.18,5.5,7.48,52500,52.36,0.31228070175438605
2005-08-01,6.35,7.23,5.58,7.14,11300,49.98,-0.045454545454545525
2005-09-01,7.01,9.03,6.6,6.61,23500,46.27,-0.07422969187675055
2005-10-03,6.55,7.1,5.85,6.41,4200,44.87,-0.030257186081694476
2005-11-01,6.33,7.68,6.12,7.17,4200,50.19,0.11856474258970362
2005-12-01,7.33,11.8,7.05,10.89,43800,76.23,0.5188284518828454
2006-01-03,11.43,12.78,10.07,12.27,19100,85.89,0.1267217630853994
2006-02-01,12.35,12.5,9.32,9.77,10300,68.39,-0.20374898125509378
2006-03-01,9.77,10.6,7.25,7.75,12300,54.25,-0.20675537359263052
2006-04-03,7.75,8.8,7.2,8.43,10000,59.01,0.08774193548387088
2006-05-01,8.4,9.8,7.86,8.64,9500,60.48,0.02491103202846978
2006-06-01,8.68,8.94,6.53,7.43,8100,52.01,-0.14004629629629628
2006-07-03,7.4,8.34,6.55,6.83,9100,47.81,-0.08075370121130543
2006-08-01,6.92,7.88,6.6,7.73,5200,54.11,0.13177159590043908
2006-09-01,7.8,10.43,7.68,9.96,10600,69.72,0.28848641655886165
2006-10-02,9.76,10.75,9.08,10.15,6100,71.05,0.01907630522088355
2006-11-01,10.06,10.38,9.01,9.9,4100,69.3,-0.024630541871921152
2006-12-01,10.06,10.5,8.64,10.29,9100,72.03,0.03939393939393954
2007-01-03,10.29,10.58,9.75,10.25,3800,71.75,-0.0038872691933916625
2007-02-01,11.0,12.19,10.36,10.62,6000,74.34,0.03609756097560979
2007-03-01,10.65,11.87,9.3,11.24,8600,78.68,0.058380414312617646
2007-04-02,11.5,13.74,11.15,13.45,9000,94.15,0.1966192170818506
2007-05-01,13.49,13.8,11.14,12.17,5100,85.19,-0.0951672862453532
2007-06-01,12.18,12.98,11.51,12.97,4800,90.79,0.06573541495480706
2007-07-02,12.85,14.25,12.33,12.5,8700,87.5,-0.03623747108712416
2007-08-01,12.34,12.37,9.51,11.05,7800,77.35,-0.1160000000000001
2007-09-04,11.05,11.23,10.08,10.31,3400,72.17,-0.06696832579185508
2007-10-01,10.4,11.59,10.37,11.44,3900,80.08,0.10960232783705126
2007-11-01,11.42,11.67,10.08,10.2,2800,71.4,-0.10839160839160833
2007-12-03,10.27,10.62,9.01,9.46,4800,66.22,-0.07254901960784321
2008-01-02,9.46,9.63,8.05,8.18,3100,57.26,-0.13530655391120505
2008-02-01,8.26,8.96,6.37,6.48,8500,45.36,-0.2078239608801956
2008-03-03,6.48,6.67,5.15,5.87,4900,41.09,-0.09413580246913567
2008-04-01,5.96,7.0,5.85,6.31,3400,44.17,0.07495741056218064
2008-05-01,6.35,7.23,6.23,7.09,1900,49.63,0.12361331220285265
2008-06-02,7.09,7.6,5.35,5.65,3800,39.55,-0.20310296191819477
2008-07-01,5.67,6.2,5.25,6.06,2200,42.42,0.072566371681416
2008-08-01,6.06,6.08,5.43,5.8,1200,40.6,-0.04290429042904287
2008-09-02,5.69,5.79,3.78,4.05,2200,28.35,-0.3017241379310345
2008-10-01,4.06,4.06,2.05,3.0,3100,21.0,-0.2592592592592593
2008-11-03,3.04,3.38,1.75,2.13,1800,14.91,-0.29000000000000004
2008-12-01,2.09,2.8,1.77,1.97,3400,13.79,-0.07511737089201886
2009-01-02,2.01,2.57,1.63,2.0,3500,14.0,0.015228426395939243
