Date,Open,High,Low,Close,Volume,Adj Close,Return
2003-10-09,25.95,26.8,25.0,26.5,9300,10.67,0.0
2003-11-03,26.5,26.5,25.35,25.55,4300,10.6,-0.006560449859418949
2003-12-01,25.6,25.85,25.1,25.65,16400,10.64,0.0037735849056603765
2004-01-02,25.69,26.1,25.44,25.9,8600,10.74,0.009398496240601517
2004-02-02,25.85,25.9,25.2,25.47,14100,10.57,-0.01582867783985098
2004-03-01,25.47,27.9,25.32,27.0,5900,11.2,0.05960264900662238
2004-04-01,27.5,27.5,23.45,23.64,5900,9.81,-0.12410714285714275
2004-05-03,23.52,23.82,21.8,22.8,16500,9.78,-0.003058103975535298
2004-06-01,22.55,23.35,22.17,22.6,5400,9.69,-0.009202453987730008
2004-07-01,22.55,24.5,22.55,24.09,6000,10.33,0.06604747162022706
2004-08-02,24.0,25.2,23.99,25.0,6300,10.72,0.037754114230396985
2004-09-01,24.85,25.5,24.79,24.8,4200,10.64,-0.007462686567164201
2004-10-01,24.76,25.25,24.46,25.01,5400,10.73,0.008458646616541277
2004-11-01,25.11,26.25,24.89,25.06,3400,11.08,0.032618825722273925
2004-12-01,25.15,25.35,24.5,25.2,5500,11.14,0.005415162454873723
2005-01-03,25.01,25.6,24.96,25.49,4100,11.27,0.011669658886894085
2005-02-01,25.25,25.75,25.02,25.1,4700,11.09,-0.015971606033717833
2005-03-01,25.29,25.45,24.1,24.65,5600,10.9,-0.017132551848512145
2005-04-01,24.55,25.0,23.76,24.1,4500,10.65,-0.022935779816513735
2005-05-02,24.15,25.0,24.03,24.55,4800,11.2,0.05164319248826277
2005-06-01,24.5,25.19,24.3,24.91,17400,11.36,0.014285714285714235
2005-07-01,24.9,25.45,24.72,24.95,10700,11.38,0.0017605633802817433
2005-08-01,24.95,25.55,24.95,25.2,2500,11.49,0.009666080843585112
2005-09-01,25.05,25.15,24.72,25.15,1900,11.47,-0.0017406440382941035
2005-10-03,25.18,25.5,24.31,25.47,2000,11.62,0.013077593722754965
2005-11-01,25.3,25.3,24.0,24.39,2300,11.48,-0.012048192771084265
2005-12-01,24.38,24.75,23.62,24.0,4300,11.3,-0.015679442508710784
2006-01-03,23.97,24.67,23.95,24.06,2000,11.32,0.001769911504424737
2006-02-01,24.06,25.0,24.06,24.61,3100,11.58,0.0229681978798586
2006-03-01,24.5,25.0,24.25,24.67,2600,11.61,0.002590673575129543
2006-04-03,24.7,24.7,23.31,23.81,2500,11.21,-0.034453057708871526
2006-05-01,23.65,24.48,23.3,24.34,3500,11.83,0.05530776092774303
2006-06-01,24.34,24.4,23.0,23.22,2500,11.28,-0.04649196956889268
2006-07-03,23.22,23.66,23.05,23.6,2100,11.47,0.01684397163120588
2006-08-01,23.45,24.55,23.25,24.45,2900,11.88,0.03574542284219695
2006-09-01,24.54,24.9,24.24,24.58,1700,11.94,0.005050505050504972
2006-10-02,24.61,25.2,24.51,24.9,1800,12.1,0.01340033500837512
2006-11-01,24.9,25.6,24.5,24.7,2400,12.37,0.022314049586776852
2006-12-01,24.6,25.1,24.4,25.1,3100,12.57,0.01616814874696848
2007-01-03,25.0,25.66,24.9,25.17,2900,12.61,0.0031821797931581575
2007-02-01,25.39,25.75,25.0,25.68,2700,12.86,0.019825535289452745
2007-03-01,25.43,25.43,25.0,25.16,1500,12.6,-0.02021772939346811
2007-04-02,25.1,25.16,24.75,24.85,1400,12.45,-0.011904761904761973
2007-05-01,24.95,25.05,23.87,23.87,1900,12.34,-0.008835341365461824
2007-06-01,24.0,24.15,22.8,22.96,2500,11.87,-0.038087520259319385
2007-07-02,22.98,23.4,22.29,22.54,1700,11.65,-0.018534119629317503
2007-08-01,22.42,22.68,20.0,22.19,6400,11.47,-0.015450643776824036
2007-09-04,22.19,23.3,22.19,23.1,3300,11.94,0.04097646033129898
2007-10-01,23.1,23.3,21.94,22.65,2600,11.71,-0.019262981574539206
2007-11-01,22.65,22.77,18.74,18.8,5300,10.09,-0.13834329632792497
2007-12-03,18.92,21.25,18.53,19.77,13800,10.61,0.05153617443012881
2008-01-02,19.91,23.12,19.44,22.12,7400,11.87,0.11875589066917991
2008-02-01,22.05,24.18,22.0,22.99,6300,12.34,0.03959561920808774
2008-03-03,22.5,23.25,19.3,19.55,5600,10.49,-0.14991896272285243
2008-04-01,19.8,21.72,19.25,20.3,7700,10.9,0.03908484270734025
2008-05-01,20.15,20.74,19.1,19.94,5500,11.13,0.02110091743119269
2008-06-02,19.94,19.97,16.35,16.75,5800,9.35,-0.15992812219227326
2008-07-01,16.74,17.17,11.78,16.9,10500,9.43,0.00855614973262031
2008-08-01,17.29,17.8,14.11,15.35,6400,8.57,-0.09119830328738066
2008-09-02,14.85,16.0,1.39,4.02,58400,2.24,-0.7386231038506418
2008-10-01,4.11,9.72,2.78,4.0,23000,2.23,-0.0044642857142858094
2008-11-03,4.1,6.5,3.53,4.8,17800,3.12,0.39910313901345296
2008-12-01,4.8,5.87,4.55,5.47,10900,3.56,0.14102564102564097
2009-01-02,5.65,7.22,5.5,6.5,12900,4.23,0.18820224719101142
2009-02-02,6.3,7.25,2.31,3.5,16900,2.28,-0.46099290780141855
2009-03-02,3.5,5.55,2.0,5.35,4800,3.48,0.5263157894736843
2009-04-01,5.3,6.3,5.2,5.7,3200,3.71,0.06609195402298851
2009-05-01,5.7,7.95,5.6,6.99,4500,5.05,0.3611859838274931
2009-06-01,6.99,9.0,6.25,7.14,4500,5.16,0.0217821782178218
2009-07-01,7.15,8.39,5.48,7.02,6000,5.07,-0.0174418604651162
2009-08-03,6.73,13.49,6.73,12.3,10700,8.89,0.7534516765285997
2009-09-01,12.25,12.9,11.3,12.15,6000,8.78,-0.012373453318335392
2009-10-01,12.01,13.95,10.85,13.0,6400,9.39,0.0694760820045559
2009-11-02,13.08,15.34,11.84,12.02,4900,9.17,-0.023429179978700865
2009-12-01,12.01,13.27,11.4,12.19,4000,9.3,0.014176663031624903
2010-01-04,12.33,16.14,12.31,15.9,7500,12.13,0.3043010752688171
2010-02-01,16.08,17.98,16.08,17.35,10200,13.24,0.09150865622423732
2010-03-01,17.33,18.71,17.0,18.15,4600,13.85,0.04607250755287007
2010-04-01,18.5,18.5,17.13,17.26,2500,13.17,-0.04909747292418776
2010-05-03,17.26,18.1,14.43,15.0,2900,12.06,-0.08428246013667418
2010-06-01,15.05,15.68,13.71,13.85,6200,11.14,-0.07628524046434493
2010-07-01,13.75,15.62,13.61,15.05,10100,12.1,0.08617594254937155
2010-08-02,15.29,17.5,15.21,16.6,5300,13.35,0.10330578512396693
2010-09-01,16.6,18.68,16.49,18.58,16400,14.94,0.11910112359550551
2010-10-01,18.63,19.39,18.46,19.25,14600,15.48,0.03614457831325302
2010-11-01,19.15,19.49,18.14,18.14,12000,15.19,-0.018733850129199037
2010-12-01,18.32,18.85,17.64,18.75,5800,15.7,0.03357472021066488
2011-01-03,18.6,20.23,18.14,20.1,10600,16.83,0.0719745222929935
2011-02-01,20.01,21.16,20.01,20.77,9000,17.39,0.03327391562685689
2011-03-01,20.76,21.35,20.25,20.36,6000,17.05,-0.019551466359976954
2011-04-01,20.52,20.98,20.41,20.85,2600,17.46,0.02404692082111448
2011-05-02,20.92,21.48,20.54,20.62,7300,17.91,0.025773195876288568
