Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-09-14,11.0,11.75,10.5,11.25,19900,3.75,0.0
1994-10-03,11.25,13.0,11.0,12.5,12500,4.17,0.11199999999999988
1994-11-01,12.5,13.25,11.25,11.38,20500,3.79,-0.09112709832134291
1994-12-02,11.25,11.5,10.0,11.0,41700,3.67,-0.0316622691292876
1995-01-03,11.0,14.0,10.25,12.25,42400,4.08,0.11171662125340598
1995-02-01,12.25,15.5,12.0,14.25,48800,4.75,0.1642156862745099
1995-03-01,14.25,15.0,13.25,14.75,20100,4.92,0.03578947368421059
1995-04-03,14.5,18.75,14.5,18.5,58500,6.17,0.2540650406504066
1995-05-01,18.5,20.5,17.75,18.75,31900,6.25,0.01296596434359798
1995-06-01,18.75,27.62,18.38,24.75,73900,8.25,0.32000000000000006
1995-07-03,24.75,31.5,24.62,31.37,75500,10.46,0.26787878787878805
1995-08-01,31.5,38.75,26.75,28.75,86200,9.58,-0.08413001912045892
1995-09-01,30.0,30.0,19.0,24.75,105400,8.25,-0.13883089770354906
1995-10-02,15.75,18.0,13.0,15.5,30600,7.75,-0.06060606060606055
1995-11-01,15.5,17.75,13.62,14.0,181800,7.0,-0.09677419354838712
1995-12-01,14.13,17.62,13.75,16.75,118400,8.38,0.1971428571428573
1996-01-02,16.0,24.25,15.75,22.75,126900,11.38,0.35799522673031015
1996-02-01,22.25,28.5,21.0,24.5,185900,12.25,0.07644991212653762
1996-03-01,24.5,47.5,23.5,47.37,634800,23.69,0.9338775510204083
1996-04-01,47.5,88.5,42.25,77.25,1569000,38.62,0.6302237230899113
1996-05-01,79.75,94.5,71.25,84.52,816700,42.26,0.09425168306576914
1996-06-03,85.5,87.0,23.5,34.25,781900,34.25,-0.18954093705631803
1996-07-01,34.0,36.75,21.0,23.75,278800,23.75,-0.3065693430656934
1996-08-01,24.25,34.25,23.75,31.88,152800,31.88,0.34231578947368413
1996-09-03,31.0,39.75,30.25,38.0,363500,38.0,0.19196988707653695
1996-10-01,37.75,38.0,26.0,29.5,228400,29.5,-0.22368421052631582
1996-11-01,29.75,36.75,26.0,35.75,255100,35.75,0.21186440677966112
1996-12-02,35.25,44.5,35.0,36.38,266500,36.38,0.017622377622377616
1997-01-02,35.75,39.75,30.5,37.75,234800,37.75,0.037658053875755826
1997-02-03,37.75,38.12,25.0,25.94,329400,25.94,-0.3128476821192052
