Date,Open,High,Low,Close,Volume,Adj Close,Return
1984-09-07,16.5,16.75,16.5,16.75,195800,0.79,0.0
1984-09-10,16.75,17.0,16.75,16.75,280800,0.79,0.0
1984-09-11,16.75,16.75,16.75,16.75,122800,0.79,0.0
1984-09-12,16.75,16.75,16.75,16.75,0,0.79,0.0
1984-09-13,16.5,16.5,16.5,16.5,4000,0.77,-0.025316455696202556
1984-09-14,16.5,16.75,16.5,16.75,176800,0.79,0.025974025974025983
1984-09-17,16.75,17.25,16.5,16.5,8100,0.77,-0.025316455696202556
1984-09-18,16.75,16.87,16.75,16.75,1196100,0.79,0.025974025974025983
1984-09-19,17.25,17.25,17.25,17.25,21600,0.81,0.025316455696202445
1984-09-20,17.5,17.5,17.5,17.5,183600,0.82,0.012345679012345512
1984-09-21,17.0,17.0,16.75,16.75,16200,0.79,-0.03658536585365846
1984-09-24,16.75,17.25,16.75,16.75,137700,0.79,0.0
1984-09-25,16.87,16.87,16.87,16.87,41800,0.79,0.0
1984-09-26,16.5,16.5,16.5,16.5,86400,0.77,-0.025316455696202556
1984-09-27,16.5,16.5,16.5,16.5,2700,0.77,0.0
1984-09-28,16.5,16.75,16.37,16.5,27000,0.77,0.0
1984-10-01,16.75,16.75,16.75,16.75,16200,0.79,0.025974025974025983
1984-10-02,16.62,16.62,16.62,16.62,6800,0.78,-0.012658227848101222
1984-10-03,16.75,16.75,16.75,16.75,8100,0.79,0.012820512820512775
1984-10-04,16.5,16.5,16.5,16.5,12200,0.77,-0.025316455696202556
1984-10-05,16.25,16.25,16.25,16.25,29700,0.76,-0.012987012987012991
1984-10-08,16.25,16.25,16.25,16.25,10800,0.76,0.0
1984-10-09,16.75,16.75,16.75,16.75,2700,0.79,0.03947368421052633
1984-10-10,16.5,16.5,16.5,16.5,14800,0.77,-0.025316455696202556
1984-10-11,16.75,16.75,16.75,16.75,2700,0.79,0.025974025974025983
1984-10-12,16.75,16.75,16.75,16.75,0,0.79,0.0
1984-10-15,16.75,16.75,16.5,16.5,33800,0.77,-0.025316455696202556
1984-10-16,16.25,16.25,16.25,16.25,14800,0.76,-0.012987012987012991
1984-10-17,16.0,16.0,16.0,16.0,4000,0.75,-0.013157894736842146
1984-10-18,16.75,16.75,16.75,16.75,122800,0.79,0.053333333333333455
1984-10-19,16.75,16.75,16.25,16.25,27000,0.76,-0.03797468354430378
1984-10-22,16.25,16.62,16.25,16.25,63400,0.76,0.0
1984-10-23,16.75,16.75,16.75,16.75,78300,0.79,0.03947368421052633
1984-10-24,16.62,16.62,16.25,16.25,67500,0.76,-0.03797468354430378
1984-10-25,16.62,16.62,16.62,16.62,31000,0.78,0.026315789473684292
1984-10-26,16.62,16.62,16.62,16.62,0,0.78,0.0
1984-10-29,16.25,16.25,16.25,16.25,4000,0.76,-0.02564102564102566
1984-10-30,16.5,16.5,16.5,16.5,164700,0.77,0.013157894736842035
1984-10-31,16.5,16.5,16.5,16.5,36400,0.77,0.0
1984-11-01,16.25,16.25,16.25,16.25,21600,0.76,-0.012987012987012991
1984-11-02,16.5,16.5,16.5,16.5,4000,0.77,0.013157894736842035
1984-11-05,16.62,16.62,16.62,16.62,137700,0.78,0.012987012987013102
1984-11-06,16.62,16.75,16.25,16.25,190400,0.76,-0.02564102564102566
1984-11-07,16.25,16.75,16.25,16.25,98600,0.76,0.0
1984-11-08,16.25,16.25,16.25,16.25,27000,0.76,0.0
1984-11-09,16.25,16.75,16.25,16.25,55400,0.76,0.0
1984-11-12,16.25,16.75,16.25,16.25,171400,0.76,0.0
1984-11-13,16.75,16.75,16.75,16.75,282200,0.79,0.03947368421052633
1984-11-14,16.75,16.75,16.62,16.62,45900,0.78,-0.012658227848101222
1984-11-15,16.62,17.0,16.62,16.62,434700,0.78,0.0
1984-11-16,16.62,17.25,16.5,16.75,156600,0.79,0.012820512820512775
1984-11-19,17.5,17.5,17.5,17.5,198400,0.82,0.03797468354430378
1984-11-20,17.12,17.12,17.0,17.0,14800,0.8,-0.024390243902438935
1984-11-21,17.5,17.5,17.5,17.5,2700,0.82,0.02499999999999991
1984-11-23,17.5,17.62,17.0,17.62,914000,0.83,0.012195121951219523
1984-11-26,17.5,17.5,17.5,17.5,12200,0.82,-0.012048192771084376
1984-11-27,17.25,17.25,17.25,17.25,6800,0.81,-0.012195121951219412
1984-11-28,17.75,17.75,17.75,17.75,55400,0.83,0.024691358024691246
1984-11-29,17.25,17.25,17.25,17.25,10800,0.81,-0.02409638554216853
1984-11-30,17.25,17.25,17.25,17.25,0,0.81,0.0
1984-12-03,17.5,17.5,17.5,17.5,21600,0.82,0.012345679012345512
1984-12-04,17.5,17.5,17.25,17.25,21600,0.81,-0.012195121951219412
1984-12-05,17.25,17.25,17.25,17.25,6800,0.81,0.0
1984-12-06,17.5,17.5,17.5,17.5,128200,0.82,0.012345679012345512
1984-12-07,17.25,17.25,17.25,17.25,27000,0.81,-0.012195121951219412
1984-12-10,17.0,17.0,16.87,16.87,171400,0.79,-0.024691358024691357
1984-12-11,17.25,17.25,17.25,17.25,2700,0.81,0.025316455696202445
1984-12-12,17.12,17.12,17.12,17.12,8100,0.8,-0.012345679012345734
1984-12-13,17.0,17.0,17.0,17.0,64800,0.8,0.0
1984-12-14,16.75,16.75,16.75,16.75,23000,0.79,-0.012499999999999956
1984-12-17,16.75,17.25,16.75,16.75,176800,0.79,0.0
1984-12-18,17.25,17.25,17.25,17.25,63400,0.81,0.025316455696202445
1984-12-19,17.5,17.5,17.5,17.5,175500,0.82,0.012345679012345512
1984-12-20,17.5,17.5,17.5,17.5,55400,0.82,0.0
1984-12-21,17.5,17.5,17.0,17.0,45900,0.8,-0.024390243902438935
1984-12-24,17.0,17.0,17.0,17.0,2700,0.8,0.0
1984-12-26,17.0,17.0,17.0,17.0,12200,0.8,0.0
1984-12-27,17.0,17.0,17.0,17.0,8100,0.8,0.0
1984-12-28,17.0,17.5,17.0,17.5,82400,0.82,0.02499999999999991
1984-12-31,17.5,17.75,17.25,17.25,89100,0.81,-0.012195121951219412
1985-01-02,17.5,17.75,17.5,17.5,287600,0.82,0.012345679012345512
1985-01-03,17.75,17.87,17.75,17.75,2388200,0.83,0.012195121951219523
1985-01-04,17.75,18.0,17.75,18.0,60800,0.85,0.024096385542168752
1985-01-07,18.0,18.0,17.75,17.75,63400,0.83,-0.02352941176470591
1985-01-08,17.75,17.87,17.75,17.75,29700,0.83,0.0
1985-01-09,18.0,18.0,18.0,18.0,378000,0.85,0.024096385542168752
1985-01-10,18.5,18.5,18.5,18.5,337500,0.87,0.0235294117647058
1985-01-11,18.5,18.75,18.25,18.5,147200,0.87,0.0
1985-01-14,19.0,19.25,19.0,19.0,225400,0.89,0.02298850574712641
1985-01-15,19.0,19.5,19.0,19.0,160600,0.89,0.0
1985-01-16,19.0,19.5,19.0,19.0,175500,0.89,0.0
1985-01-17,19.0,19.0,19.0,19.0,10800,0.89,0.0
1985-01-18,19.0,19.5,19.0,19.5,122800,0.92,0.03370786516853941
1985-01-21,19.75,19.75,19.75,19.75,143100,0.93,0.010869565217391353
1985-01-22,20.25,20.75,20.25,20.25,423900,0.95,0.021505376344086002
1985-01-23,20.5,20.75,20.5,20.5,229500,0.96,0.010526315789473717
1985-01-24,21.5,21.5,21.5,21.5,278100,1.01,0.05208333333333348
1985-01-25,21.5,21.5,20.75,21.5,6800,1.01,0.0
1985-01-28,21.25,21.25,21.25,21.25,344200,1.0,-0.00990099009900991
1985-01-29,21.25,21.25,20.75,20.75,143100,0.97,-0.030000000000000027
1985-01-30,21.25,21.5,21.25,21.25,89100,1.0,0.030927835051546504
1985-01-31,21.5,21.5,21.5,21.5,40500,1.01,0.010000000000000009
1985-02-01,21.5,21.5,20.87,21.0,880200,0.99,-0.01980198019801982
1985-02-04,21.25,21.75,21.25,21.25,101200,1.0,0.010101010101010166
1985-02-05,21.75,21.75,21.75,21.75,325400,1.02,0.020000000000000018
1985-02-06,21.75,21.75,21.75,21.75,145800,1.02,0.0
1985-02-07,22.25,22.25,22.25,22.25,149800,1.04,0.019607843137254832
1985-02-08,22.25,22.25,21.75,21.75,79600,1.02,-0.019230769230769273
1985-02-11,21.75,22.25,21.75,21.75,98600,1.02,0.0
1985-02-12,22.25,22.25,22.25,22.25,48600,1.04,0.019607843137254832
1985-02-13,22.12,22.12,21.75,21.75,93200,1.02,-0.019230769230769273
